,P7,O1,O2,P8,TIME
0,4622.564,3947.179,3894.359,4343.077,1607035902.6056
1,4634.872,3952.821,3895.897,4344.103,1607035902.6134
2,4646.667,3962.051,3902.051,4345.641,1607035902.6212
3,4639.487,3960.0,3909.231,4353.333,1607035902.629
4,4632.821,3957.436,3915.897,4363.59,1607035902.6367
5,4637.949,3961.026,3918.974,4360.513,1607035902.6445
6,4641.026,3967.179,3919.487,4353.333,1607035902.6522
7,4635.897,3963.59,3912.821,4352.821,1607035902.6601
8,4630.769,3953.333,3899.487,4345.128,1607035902.6678
9,4631.282,3953.333,3897.949,4337.436,1607035902.6756
10,4636.41,3960.513,3907.692,4349.744,1607035902.6833
11,4640.513,3961.026,3914.872,4363.59,1607035902.6912
12,4638.462,3956.923,3910.769,4352.308,1607035902.6989
13,4632.308,3955.385,3900.0,4338.462,1607035902.7067
14,4634.359,3956.41,3898.462,4344.615,1607035902.7144
15,4636.923,3956.923,3905.128,4349.744,1607035902.7223
16,4631.795,3956.923,3906.667,4344.103,1607035902.7302
17,4637.436,3956.923,3904.615,4351.795,1607035902.7381
18,4644.103,3957.949,3909.231,4359.487,1607035902.7459
19,4636.41,3958.974,3908.718,4347.692,1607035902.7538
20,4637.949,3956.923,3907.692,4344.103,1607035902.7616
21,4646.667,3950.769,3911.795,4350.256,1607035902.7696
22,4637.949,3948.718,3908.205,4348.205,1607035902.7774
23,4631.795,3959.487,3898.462,4344.615,1607035902.7853
24,4633.846,3958.462,3895.385,4337.949,1607035902.7931
25,4624.615,3941.538,3894.872,4327.179,1607035902.801
26,4620.0,3943.59,3894.872,4330.769,1607035902.8089
27,4632.308,3956.41,3894.872,4334.872,1607035902.8166
28,4643.077,3959.487,3897.436,4333.846,1607035902.8244
29,4644.615,3960.513,3902.564,4345.128,1607035902.8321
30,4647.692,3962.564,3903.077,4346.154,1607035902.8399
31,4644.103,3961.538,3898.462,4331.282,1607035902.8477
32,4630.769,3953.333,3894.359,4330.256,1607035902.8555
33,4627.179,3947.692,3895.897,4340.513,1607035902.8632
34,4634.872,3951.795,3899.487,4343.077,1607035902.871
35,4637.436,3955.385,3895.897,4341.538,1607035902.8787
36,4632.821,3951.282,3892.308,4340.513,1607035902.8866
37,4629.744,3951.282,3896.923,4342.564,1607035902.8943
38,4630.256,3962.051,3897.436,4344.615,1607035902.9022
39,4631.795,3960.513,3891.282,4338.462,1607035902.91
40,4631.795,3948.205,3891.795,4337.949,1607035902.9179
41,4630.256,3946.667,3896.41,4345.641,1607035902.9258
42,4631.795,3954.359,3896.923,4346.154,1607035902.9337
43,4631.795,3958.462,3894.872,4340.513,1607035902.9415
44,4631.282,3955.385,3896.923,4336.41,1607035902.9494
45,4630.256,3956.41,3893.846,4331.282,1607035902.9572
46,4624.615,3953.333,3885.641,4328.718,1607035902.9652
47,4622.051,3944.615,3886.154,4333.333,1607035902.973
48,4617.949,3939.487,3884.103,4327.692,1607035902.9809
49,4608.718,3937.436,3870.769,4314.872,1607035902.9887
50,4615.385,3944.615,3873.333,4324.103,1607035902.9964
51,4633.846,3954.872,3893.846,4343.59,1607035903.0043
52,4635.385,3955.385,3894.872,4338.974,1607035903.012
53,4629.744,3954.359,3886.154,4333.333,1607035903.0198
54,4629.231,3959.487,3893.846,4340.0,1607035903.0275
55,4622.051,3958.462,3897.949,4335.897,1607035903.0353
56,4621.538,3953.333,3892.308,4334.359,1607035903.0431
57,4629.744,3955.897,3895.385,4350.769,1607035903.0509
58,4632.308,3957.436,3904.103,4355.385,1607035903.0586
59,4632.308,3952.308,3898.462,4341.026,1607035903.0664
60,4632.308,3949.231,3890.256,4336.923,1607035903.0741
61,4628.718,3951.282,3892.308,4344.103,1607035903.0821
62,4630.769,3954.872,3894.872,4349.744,1607035903.0899
63,4635.385,3956.41,3893.846,4349.744,1607035903.0978
64,4631.795,3954.872,3890.769,4341.026,1607035903.1056
65,4628.205,3957.436,3892.308,4334.359,1607035903.1135
66,4630.769,3957.949,3896.923,4342.051,1607035903.1214
67,4633.333,3957.436,3897.949,4346.154,1607035903.1293
68,4631.795,3963.59,3900.513,4344.615,1607035903.1371
69,4638.462,3972.821,3912.308,4354.872,1607035903.145
70,4650.256,3975.385,3918.974,4364.615,1607035903.1528
71,4644.615,3969.231,3907.692,4353.333,1607035903.1608
72,4630.256,3959.487,3897.436,4343.077,1607035903.1686
73,4632.308,3956.923,3896.923,4344.615,1607035903.1763
74,4637.436,3957.949,3896.923,4343.59,1607035903.1841
75,4631.795,3954.872,3901.026,4342.564,1607035903.1918
76,4632.308,3957.436,3905.641,4346.667,1607035903.1997
77,4634.872,3959.487,3901.026,4350.256,1607035903.2074
78,4624.103,3941.538,3887.179,4343.077,1607035903.2152
79,4612.821,3928.718,3883.077,4326.154,1607035903.2229
80,4612.308,3938.974,3887.692,4322.564,1607035903.2307
