,P7,O1,O2,P8,TIME
0,4646.154,3995.897,3915.897,4313.846,1606508903.8523
1,4662.564,4011.795,3923.59,4343.077,1606508903.8601
2,4637.436,3984.103,3908.205,4317.436,1606508903.8681
3,4622.564,3973.846,3897.436,4296.41,1606508903.8759
4,4651.282,4014.872,3916.923,4328.718,1606508903.8838
5,4651.282,4006.667,3915.897,4335.897,1606508903.8916
6,4632.308,3991.795,3914.359,4323.077,1606508903.8995
7,4603.077,3991.282,3903.077,4293.333,1606508903.9074
8,4618.462,3986.667,3895.897,4293.846,1606508903.9153
9,4640.0,3962.051,3895.897,4317.436,1606508903.9231
10,4602.564,3927.179,3880.513,4296.923,1606508903.931
11,4588.718,3936.923,3893.846,4294.872,1606508903.9388
12,4613.333,3964.103,3905.641,4315.385,1606508903.9466
13,4660.0,4005.128,3910.769,4345.128,1606508903.9544
14,4634.359,3984.615,3881.026,4303.59,1606508903.9621
15,4640.513,4001.538,3917.949,4324.615,1606508903.9699
16,4596.923,3969.231,3888.205,4287.179,1606508903.9776
17,4622.051,3979.487,3881.026,4286.154,1606508903.9855
18,4663.59,4013.846,3918.974,4331.282,1606508903.9932
19,4654.872,4012.308,3929.231,4342.051,1606508904.001
20,4620.513,3978.462,3896.923,4306.154,1606508904.0087
21,4656.923,4006.667,3923.077,4337.436,1606508904.0165
22,4641.026,3989.744,3918.462,4338.462,1606508904.0243
23,4614.359,3965.641,3886.667,4301.026,1606508904.0321
24,4682.051,4025.128,3927.179,4349.231,1606508904.0398
25,4661.026,4005.128,3911.795,4331.795,1606508904.0477
26,4604.615,3964.103,3876.41,4288.205,1606508904.0555
27,4606.667,3974.359,3882.051,4291.795,1606508904.0635
28,4660.513,4008.718,3914.872,4331.795,1606508904.0713
29,4664.103,4004.615,3903.077,4320.0,1606508904.0792
30,4671.282,4024.615,3920.513,4340.513,1606508904.087
31,4641.026,3995.385,3916.41,4335.385,1606508904.0949
32,4650.256,3983.59,3911.795,4332.821,1606508904.1028
33,4657.949,3992.821,3905.128,4323.077,1606508904.1107
34,4622.051,3984.103,3894.359,4292.821,1606508904.1185
35,4617.949,3980.513,3901.538,4298.462,1606508904.1264
36,4635.897,3981.026,3908.718,4321.026,1606508904.1342
37,4629.744,3977.949,3897.949,4309.231,1606508904.142
38,4643.077,3993.846,3890.769,4295.385,1606508904.1498
39,4677.949,4011.282,3904.615,4313.846,1606508904.1575
40,4652.821,3980.513,3902.051,4310.769,1606508904.1653
41,4610.769,3951.282,3887.692,4286.667,1606508904.173
42,4633.333,3977.436,3899.487,4297.949,1606508904.1809
43,4667.179,4008.205,3919.487,4322.564,1606508904.1886
44,4630.256,3982.051,3900.513,4304.103,1606508904.1964
45,4596.923,3956.41,3886.667,4289.744,1606508904.2041
46,4637.949,3987.179,3908.205,4315.385,1606508904.2119
47,4683.59,4020.513,3922.051,4337.436,1606508904.2197
48,4657.436,3996.923,3907.179,4319.487,1606508904.2276
49,4624.615,3971.282,3893.333,4302.051,1606508904.2354
50,4639.487,3990.256,3901.026,4311.795,1606508904.2433
51,4649.744,4003.077,3906.667,4313.846,1606508904.2511
52,4652.308,4000.513,3905.128,4307.179,1606508904.2591
53,4662.051,4005.641,3906.154,4312.821,1606508904.2669
54,4662.051,4005.641,3916.41,4329.744,1606508904.2748
55,4645.641,3991.795,3921.026,4334.359,1606508904.2826
56,4629.231,3985.128,3908.205,4323.59,1606508904.2905
57,4626.667,3990.769,3901.026,4318.974,1606508904.2984
58,4644.103,4002.564,3908.718,4326.667,1606508904.3063
59,4654.359,4007.179,3908.718,4324.615,1606508904.3141
60,4626.154,3991.795,3893.846,4305.128,1606508904.3218
61,4606.667,3972.308,3890.769,4297.436,1606508904.3296
62,4625.641,3961.538,3896.923,4302.051,1606508904.3374
63,4657.436,3975.897,3897.436,4308.718,1606508904.3452
64,4648.205,3987.692,3895.897,4306.154,1606508904.3529
65,4623.077,3977.949,3899.487,4306.154,1606508904.3607
66,4639.487,3988.718,3905.128,4319.487,1606508904.3684
67,4669.744,4027.179,3913.333,4329.231,1606508904.3763
68,4646.667,4008.718,3905.641,4313.846,1606508904.384
69,4617.436,3964.615,3897.949,4307.179,1606508904.3918
70,4627.179,3973.333,3904.615,4316.923,1606508904.3995
71,4640.513,3995.385,3910.769,4315.385,1606508904.4074
72,4642.564,3988.718,3910.769,4312.821,1606508904.4153
73,4640.0,3982.051,3907.179,4314.872,1606508904.4232
74,4636.923,3991.795,3903.077,4311.795,1606508904.431
75,4627.179,3988.718,3897.436,4303.59,1606508904.4389
76,4625.128,3983.077,3897.436,4304.615,1606508904.4467
77,4643.59,3990.256,3894.359,4310.256,1606508904.4546
78,4637.949,3986.154,3889.744,4308.718,1606508904.4625
79,4606.667,3969.231,3885.128,4296.923,1606508904.4704
80,4621.538,3975.897,3885.641,4293.333,1606508904.4782
81,4639.487,3980.0,3880.513,4287.692,1606508904.4861
82,4606.154,3960.513,3870.769,4278.462,1606508904.4939
83,4600.0,3962.051,3876.923,4286.667,1606508904.5017
84,4654.359,3997.436,3904.615,4314.872,1606508904.5095
85,4669.744,4006.154,3911.795,4314.359,1606508904.5172
86,4632.821,3986.154,3888.205,4283.59,1606508904.525
87,4611.795,3971.795,3876.923,4270.256,1606508904.5327
88,4618.462,3967.179,3884.103,4282.564,1606508904.5406
89,4618.974,3959.487,3882.051,4291.795,1606508904.5483
90,4610.256,3956.41,3875.385,4285.641,1606508904.5561
91,4629.744,3976.41,3889.744,4294.872,1606508904.5638
92,4639.487,3988.205,3898.462,4310.769,1606508904.5716
93,4621.538,3981.026,3888.718,4307.692,1606508904.5794
