,O1/theta,O1/alpha,O1/betaL,O1/betaH,O1/gamma,O2/theta,O2/alpha,O2/betaL,O2/betaH,O2/gamma,TIME
273,0.797,0.427,0.157,0.375,0.355,0.659,0.363,0.246,0.302,0.269,1606228800.2983
274,1.025,0.528,0.131,0.335,0.327,0.792,0.344,0.242,0.273,0.264,1606228800.4238
275,1.164,0.651,0.112,0.311,0.308,0.886,0.368,0.228,0.228,0.253,1606228800.5488
276,1.171,0.758,0.103,0.317,0.308,0.9,0.414,0.206,0.184,0.244,1606228800.6733
277,1.054,0.821,0.109,0.35,0.328,0.827,0.46,0.183,0.149,0.242,1606228800.7987
278,0.866,0.83,0.133,0.392,0.359,0.69,0.487,0.17,0.128,0.245,1606228800.924
279,0.677,0.795,0.176,0.422,0.391,0.531,0.488,0.171,0.116,0.248,1606228801.0491
280,0.534,0.731,0.23,0.422,0.415,0.387,0.464,0.183,0.108,0.246,1606228801.1746
281,0.446,0.653,0.284,0.39,0.431,0.279,0.42,0.196,0.099,0.239,1606228801.3004
282,0.394,0.57,0.321,0.341,0.437,0.206,0.365,0.198,0.092,0.229,1606228801.4249
283,0.349,0.487,0.331,0.296,0.431,0.163,0.305,0.186,0.092,0.219,1606228801.5499
284,0.289,0.406,0.318,0.268,0.413,0.137,0.245,0.163,0.105,0.207,1606228801.6751
285,0.221,0.343,0.308,0.261,0.385,0.128,0.199,0.147,0.129,0.195,1606228801.7998
286,0.167,0.319,0.333,0.267,0.358,0.131,0.183,0.169,0.16,0.181,1606228801.9249
287,0.145,0.343,0.414,0.278,0.347,0.149,0.211,0.242,0.189,0.173,1606228802.0503
288,0.792,0.401,0.453,0.682,0.384,0.672,0.546,0.407,0.266,0.188,1606228805.4279
289,0.716,0.369,0.421,0.715,0.403,0.66,0.493,0.442,0.298,0.199,1606228805.5533
290,0.631,0.342,0.398,0.737,0.421,0.632,0.408,0.471,0.336,0.204,1606228805.6785
291,0.557,0.317,0.377,0.735,0.433,0.592,0.317,0.479,0.364,0.205,1606228805.8031
292,0.501,0.299,0.353,0.704,0.435,0.537,0.248,0.458,0.377,0.201,1606228805.9288
293,0.458,0.296,0.332,0.651,0.428,0.468,0.223,0.417,0.376,0.195,1606228806.054
294,0.416,0.319,0.324,0.588,0.423,0.386,0.251,0.373,0.371,0.188,1606228806.1785
295,0.379,0.386,0.33,0.533,0.431,0.305,0.336,0.344,0.368,0.185,1606228806.3039
296,0.359,0.504,0.356,0.492,0.459,0.245,0.475,0.342,0.372,0.192,1606228806.4291
297,0.363,0.659,0.407,0.466,0.502,0.22,0.663,0.373,0.383,0.211,1606228806.5538
298,0.381,0.818,0.483,0.448,0.546,0.232,0.876,0.432,0.397,0.238,1606228806.679
299,0.399,0.937,0.581,0.435,0.571,0.27,1.073,0.507,0.409,0.263,1606228806.8046
300,0.4,0.979,0.687,0.424,0.565,0.31,1.202,0.577,0.413,0.273,1606228806.9294
301,0.379,0.933,0.775,0.411,0.527,0.334,1.23,0.621,0.404,0.263,1606228807.0545
302,0.34,0.811,0.816,0.393,0.468,0.327,1.143,0.622,0.376,0.233,1606228807.1799
303,0.295,0.647,0.794,0.365,0.404,0.296,0.964,0.58,0.33,0.191,1606228807.3046
304,0.255,0.483,0.71,0.325,0.346,0.253,0.744,0.503,0.274,0.148,1606228807.4296
305,0.223,0.352,0.578,0.281,0.298,0.215,0.537,0.408,0.217,0.115,1606228807.5551
306,0.194,0.274,0.426,0.24,0.258,0.192,0.386,0.314,0.172,0.094,1606228807.6806
307,0.164,0.25,0.284,0.214,0.225,0.185,0.304,0.24,0.146,0.084,1606228807.8056
308,0.137,0.271,0.175,0.211,0.198,0.188,0.277,0.197,0.138,0.079,1606228807.9308
309,0.121,0.319,0.106,0.234,0.181,0.188,0.274,0.178,0.141,0.075,1606228808.0562
310,0.125,0.376,0.069,0.278,0.179,0.18,0.267,0.168,0.146,0.07,1606228808.1815
311,0.149,0.419,0.053,0.33,0.191,0.167,0.24,0.153,0.147,0.065,1606228808.3064
312,0.273,0.423,0.434,0.363,0.548,0.067,0.248,0.152,0.164,0.188,1606228814.8126
313,0.261,0.529,0.472,0.392,0.507,0.091,0.346,0.202,0.206,0.205,1606228814.9377
314,0.266,0.617,0.517,0.399,0.468,0.133,0.423,0.25,0.243,0.228,1606228815.0633
315,0.282,0.652,0.553,0.385,0.434,0.185,0.461,0.284,0.26,0.247,1606228815.1883
316,0.302,0.62,0.559,0.36,0.406,0.238,0.449,0.295,0.256,0.255,1606228815.3137
317,0.315,0.531,0.528,0.343,0.384,0.281,0.395,0.29,0.239,0.25,1606228815.4389
318,0.319,0.413,0.477,0.344,0.368,0.307,0.318,0.288,0.227,0.236,1606228815.5641
319,0.313,0.304,0.435,0.372,0.36,0.313,0.244,0.308,0.231,0.22,1606228815.6888
320,0.301,0.225,0.424,0.422,0.363,0.304,0.186,0.358,0.256,0.211,1606228815.8139
321,0.283,0.183,0.45,0.481,0.375,0.285,0.149,0.432,0.29,0.211,1606228815.9393
322,0.26,0.165,0.495,0.529,0.398,0.263,0.126,0.507,0.319,0.221,1606228816.0638
323,0.231,0.156,0.526,0.551,0.432,0.242,0.11,0.558,0.328,0.238,1606228816.189
324,0.198,0.146,0.521,0.538,0.478,0.225,0.099,0.57,0.314,0.258,1606228816.3144
325,0.171,0.142,0.48,0.496,0.534,0.218,0.096,0.545,0.286,0.275,1606228816.4394
326,0.161,0.159,0.432,0.441,0.595,0.22,0.103,0.503,0.257,0.284,1606228816.5649
327,0.176,0.205,0.411,0.392,0.65,0.224,0.125,0.471,0.241,0.285,1606228816.6901
328,0.21,0.276,0.431,0.366,0.689,0.22,0.163,0.462,0.243,0.276,1606228816.8151
329,0.251,0.351,0.476,0.37,0.704,0.202,0.215,0.472,0.257,0.257,1606228816.94
330,0.283,0.41,0.516,0.401,0.696,0.173,0.271,0.485,0.274,0.233,1606228817.0653
331,0.293,0.447,0.525,0.446,0.667,0.139,0.317,0.486,0.286,0.206,1606228817.1902
332,0.279,0.476,0.506,0.494,0.623,0.112,0.35,0.483,0.29,0.182,1606228817.3151
333,0.241,0.52,0.477,0.532,0.573,0.097,0.379,0.486,0.29,0.164,1606228817.4405
334,0.193,0.597,0.453,0.55,0.523,0.097,0.417,0.507,0.289,0.154,1606228817.5654
335,0.15,0.708,0.441,0.542,0.481,0.115,0.478,0.54,0.287,0.157,1606228817.6902
336,0.949,0.303,0.328,0.395,0.554,0.265,0.449,0.414,0.343,0.3,1606228836.7086
337,0.874,0.29,0.294,0.41,0.479,0.271,0.418,0.422,0.348,0.287,1606228836.8336
338,0.779,0.314,0.254,0.414,0.426,0.275,0.39,0.402,0.33,0.265,1606228836.9583
339,0.699,0.358,0.228,0.407,0.395,0.281,0.36,0.374,0.292,0.239,1606228837.084
340,0.647,0.395,0.238,0.389,0.377,0.287,0.321,0.359,0.246,0.218,1606228837.2093
341,0.615,0.404,0.29,0.368,0.36,0.29,0.273,0.371,0.206,0.205,1606228837.334
342,0.587,0.386,0.374,0.348,0.341,0.288,0.231,0.406,0.177,0.2,1606228837.4595
343,0.55,0.364,0.47,0.326,0.321,0.281,0.211,0.448,0.16,0.201,1606228837.5849
344,0.513,0.374,0.56,0.302,0.306,0.272,0.229,0.483,0.148,0.202,1606228837.7104
345,0.477,0.436,0.642,0.275,0.302,0.261,0.286,0.513,0.135,0.202,1606228837.8353
346,0.444,0.553,0.718,0.251,0.309,0.244,0.369,0.556,0.124,0.199,1606228837.9606
347,0.41,0.698,0.785,0.237,0.324,0.22,0.465,0.631,0.122,0.194,1606228838.0852
348,0.379,0.83,0.835,0.239,0.339,0.194,0.571,0.732,0.138,0.188,1606228838.2101
349,0.349,0.906,0.854,0.256,0.347,0.169,0.69,0.833,0.172,0.183,1606228838.3354
350,0.322,0.902,0.829,0.28,0.343,0.151,0.825,0.891,0.214,0.179,1606228838.4605
351,0.297,0.825,0.759,0.302,0.325,0.145,0.969,0.874,0.251,0.174,1606228838.5854
352,0.274,0.703,0.654,0.317,0.301,0.154,1.093,0.772,0.271,0.169,1606228838.7107
353,0.253,0.57,0.536,0.333,0.276,0.177,1.159,0.606,0.271,0.162,1606228838.8355
354,0.234,0.449,0.436,0.355,0.258,0.211,1.134,0.42,0.252,0.153,1606228838.9604
355,0.217,0.353,0.373,0.383,0.252,0.258,1.01,0.258,0.224,0.141,1606228839.0857
356,0.202,0.286,0.348,0.412,0.257,0.318,0.814,0.145,0.199,0.128,1606228839.2106
357,0.191,0.247,0.347,0.432,0.265,0.394,0.6,0.085,0.189,0.116,1606228839.3355
358,0.187,0.236,0.348,0.438,0.27,0.477,0.426,0.069,0.201,0.11,1606228839.461
359,0.193,0.248,0.334,0.432,0.268,0.551,0.338,0.08,0.232,0.113,1606228839.5859
360,0.389,0.823,0.369,0.748,0.377,0.23,0.282,0.226,0.48,0.181,1606228846.0925
361,0.365,0.774,0.415,0.714,0.343,0.197,0.354,0.285,0.455,0.178,1606228846.218
362,0.361,0.711,0.474,0.67,0.314,0.18,0.477,0.382,0.427,0.183,1606228846.3432
363,0.398,0.659,0.543,0.621,0.296,0.194,0.641,0.501,0.398,0.194,1606228846.4677
364,0.469,0.627,0.604,0.576,0.29,0.234,0.815,0.607,0.365,0.206,1606228846.5935
365,0.548,0.603,0.631,0.536,0.298,0.286,0.953,0.66,0.325,0.213,1606228846.719
366,0.607,0.57,0.61,0.505,0.324,0.331,1.009,0.637,0.278,0.214,1606228846.8442
367,0.626,0.511,0.544,0.491,0.375,0.357,0.959,0.542,0.23,0.209,1606228846.9691
368,0.605,0.428,0.455,0.506,0.448,0.357,0.814,0.408,0.19,0.203,1606228847.0943
369,0.559,0.345,0.379,0.553,0.533,0.336,0.616,0.284,0.171,0.202,1606228847.219
370,0.51,0.296,0.345,0.622,0.611,0.3,0.424,0.207,0.175,0.205,1606228847.3441
371,0.47,0.306,0.357,0.684,0.659,0.259,0.286,0.187,0.194,0.209,1606228847.4694
372,0.439,0.373,0.402,0.707,0.666,0.224,0.222,0.21,0.216,0.21,1606228847.594
373,0.408,0.466,0.455,0.672,0.633,0.2,0.22,0.247,0.23,0.203,1606228847.7191
374,0.381,0.545,0.493,0.586,0.574,0.197,0.249,0.27,0.23,0.187,1606228847.8448
375,0.368,0.586,0.506,0.474,0.51,0.225,0.279,0.272,0.219,0.168,1606228847.9698
376,0.39,0.6,0.496,0.368,0.456,0.287,0.304,0.26,0.203,0.152,1606228848.0947
377,0.449,0.613,0.47,0.294,0.418,0.374,0.33,0.245,0.19,0.146,1606228848.2201
378,0.527,0.675,0.432,0.257,0.391,0.465,0.378,0.235,0.182,0.152,1606228848.345
379,0.592,0.836,0.382,0.249,0.37,0.536,0.476,0.232,0.18,0.167,1606228848.4697
380,0.618,1.109,0.324,0.25,0.352,0.569,0.637,0.234,0.179,0.185,1606228848.5952
381,0.609,1.444,0.266,0.249,0.339,0.561,0.837,0.234,0.176,0.198,1606228848.7205
382,0.594,1.739,0.221,0.25,0.333,0.523,1.021,0.225,0.172,0.204,1606228848.8453
383,0.599,1.888,0.204,0.267,0.333,0.473,1.125,0.207,0.173,0.201,1606228848.971
384,0.118,0.125,0.209,0.245,0.751,0.118,0.156,0.271,0.186,0.477,1606228855.4774
385,0.119,0.162,0.177,0.206,0.745,0.112,0.198,0.334,0.199,0.486,1606228855.6028
386,0.143,0.217,0.17,0.189,0.686,0.121,0.297,0.422,0.21,0.465,1606228855.7282
387,0.176,0.274,0.176,0.189,0.603,0.135,0.443,0.514,0.216,0.42,1606228855.8534
388,0.205,0.322,0.186,0.193,0.527,0.145,0.611,0.59,0.216,0.367,1606228855.9779
389,0.231,0.365,0.198,0.192,0.479,0.149,0.778,0.638,0.208,0.325,1606228856.1032
390,0.266,0.413,0.217,0.182,0.46,0.157,0.931,0.649,0.192,0.307,1606228856.2284
391,0.317,0.488,0.25,0.168,0.459,0.178,1.086,0.619,0.171,0.317,1606228856.3532
392,0.381,0.602,0.3,0.163,0.46,0.215,1.273,0.563,0.151,0.346,1606228856.4786
393,0.44,0.749,0.36,0.178,0.45,0.263,1.508,0.503,0.14,0.379,1606228856.6041
394,0.474,0.895,0.412,0.216,0.429,0.304,1.776,0.461,0.142,0.4,1606228856.729
395,0.466,0.997,0.435,0.27,0.404,0.321,2.021,0.455,0.159,0.398,1606228856.8545
396,0.42,1.021,0.419,0.331,0.387,0.306,2.168,0.479,0.186,0.371,1606228856.9797
397,0.355,0.959,0.368,0.391,0.389,0.265,2.157,0.502,0.218,0.328,1606228857.1044
398,0.295,0.83,0.296,0.451,0.415,0.212,1.97,0.496,0.247,0.283,1606228857.2293
399,0.26,0.675,0.229,0.509,0.458,0.168,1.651,0.456,0.267,0.249,1606228857.3546
400,0.257,0.535,0.184,0.554,0.503,0.15,1.285,0.39,0.274,0.232,1606228857.4796
401,0.275,0.433,0.166,0.57,0.528,0.161,0.949,0.316,0.265,0.226,1606228857.6045
402,0.294,0.373,0.166,0.547,0.52,0.186,0.689,0.249,0.241,0.225,1606228857.7297
403,0.303,0.339,0.169,0.488,0.481,0.212,0.505,0.203,0.208,0.219,1606228857.855
404,0.303,0.317,0.166,0.407,0.425,0.227,0.378,0.181,0.173,0.206,1606228857.9799
405,0.31,0.304,0.157,0.33,0.375,0.231,0.288,0.173,0.145,0.187,1606228858.1053
406,0.334,0.305,0.146,0.279,0.343,0.225,0.229,0.169,0.13,0.165,1606228858.2304
407,0.38,0.317,0.14,0.258,0.329,0.22,0.192,0.162,0.128,0.145,1606228858.3551
408,0.99,0.722,0.412,0.484,0.315,0.753,0.836,0.828,0.174,0.186,1606228874.2468
409,0.996,0.691,0.285,0.442,0.315,0.69,0.729,0.858,0.175,0.186,1606228874.3724
410,0.926,0.644,0.199,0.415,0.311,0.62,0.592,0.834,0.182,0.19,1606228874.4974
411,0.808,0.591,0.16,0.41,0.314,0.574,0.463,0.76,0.194,0.201,1606228874.6221
412,0.68,0.536,0.153,0.418,0.328,0.564,0.371,0.654,0.205,0.218,1606228874.7475
413,0.571,0.484,0.157,0.424,0.352,0.577,0.329,0.541,0.211,0.236,1606228874.8726
414,0.498,0.436,0.153,0.414,0.378,0.593,0.34,0.451,0.214,0.248,1606228874.9973
415,0.456,0.406,0.14,0.385,0.393,0.594,0.403,0.398,0.215,0.249,1606228875.1228
416,0.437,0.403,0.124,0.343,0.388,0.569,0.503,0.378,0.222,0.238,1606228875.2478
417,0.425,0.423,0.109,0.297,0.365,0.519,0.609,0.372,0.237,0.216,1606228875.3724
418,0.407,0.452,0.103,0.253,0.331,0.459,0.685,0.359,0.256,0.19,1606228875.498
419,0.377,0.469,0.11,0.216,0.297,0.405,0.703,0.331,0.272,0.165,1606228875.6234
420,0.334,0.459,0.131,0.184,0.27,0.361,0.655,0.298,0.276,0.145,1606228875.7481
421,0.289,0.419,0.161,0.16,0.253,0.329,0.556,0.277,0.265,0.131,1606228875.8734
422,0.256,0.362,0.2,0.147,0.242,0.302,0.437,0.279,0.245,0.123,1606228875.9986
423,0.245,0.311,0.251,0.149,0.232,0.278,0.329,0.305,0.227,0.118,1606228876.1234
424,0.264,0.293,0.316,0.165,0.222,0.258,0.254,0.343,0.215,0.118,1606228876.2489
425,0.313,0.32,0.388,0.195,0.215,0.251,0.218,0.377,0.21,0.122,1606228876.3741
426,0.388,0.385,0.449,0.236,0.213,0.267,0.209,0.394,0.207,0.129,1606228876.4988
427,0.475,0.466,0.482,0.284,0.219,0.307,0.213,0.393,0.202,0.136,1606228876.6242
428,0.553,0.54,0.482,0.333,0.232,0.361,0.218,0.376,0.188,0.139,1606228876.7497
429,0.609,0.582,0.452,0.374,0.25,0.412,0.21,0.347,0.168,0.138,1606228876.8746
430,0.635,0.589,0.41,0.395,0.271,0.437,0.189,0.315,0.145,0.132,1606228876.9995
431,0.64,0.579,0.373,0.393,0.292,0.428,0.163,0.289,0.126,0.125,1606228877.1247
432,0.259,0.233,0.329,0.306,0.35,0.082,0.101,0.288,0.121,0.139,1606228886.7586
433,0.318,0.323,0.441,0.319,0.357,0.099,0.121,0.31,0.129,0.152,1606228886.8839
434,0.387,0.422,0.526,0.312,0.375,0.123,0.149,0.314,0.138,0.163,1606228887.0092
435,0.45,0.502,0.557,0.285,0.397,0.153,0.179,0.298,0.144,0.173,1606228887.1341
436,0.495,0.535,0.525,0.249,0.415,0.189,0.201,0.27,0.148,0.182,1606228887.2596
437,0.511,0.508,0.449,0.225,0.418,0.23,0.209,0.244,0.151,0.195,1606228887.385
438,0.5,0.429,0.36,0.228,0.405,0.271,0.201,0.239,0.154,0.214,1606228887.5099
439,0.467,0.323,0.299,0.264,0.38,0.303,0.178,0.271,0.162,0.238,1606228887.635
440,0.428,0.226,0.29,0.324,0.351,0.322,0.145,0.345,0.178,0.262,1606228887.7604
441,0.384,0.165,0.333,0.385,0.324,0.316,0.114,0.451,0.201,0.279,1606228887.8851
442,0.338,0.152,0.407,0.425,0.304,0.286,0.093,0.563,0.228,0.285,1606228888.01
443,0.288,0.174,0.478,0.433,0.291,0.236,0.084,0.649,0.257,0.279,1606228888.1355
444,0.243,0.207,0.515,0.411,0.282,0.19,0.085,0.684,0.282,0.266,1606228888.2606
445,0.199,0.235,0.507,0.368,0.277,0.154,0.093,0.659,0.299,0.251,1606228888.3855
446,0.162,0.253,0.465,0.319,0.272,0.142,0.1,0.584,0.303,0.238,1606228888.5109
447,0.14,0.268,0.414,0.278,0.27,0.152,0.106,0.483,0.29,0.227,1606228888.6362
448,0.132,0.284,0.375,0.257,0.269,0.18,0.109,0.382,0.267,0.22,1606228888.761
449,0.134,0.304,0.357,0.26,0.273,0.211,0.112,0.299,0.244,0.215,1606228888.8862
450,0.136,0.321,0.358,0.289,0.281,0.232,0.119,0.237,0.237,0.214,1606228889.0113
451,0.133,0.33,0.37,0.341,0.294,0.235,0.138,0.195,0.256,0.213,1606228889.1361
452,0.125,0.327,0.389,0.41,0.307,0.22,0.175,0.172,0.3,0.212,1606228889.2615
453,0.118,0.317,0.416,0.482,0.316,0.196,0.228,0.167,0.36,0.206,1606228889.3868
454,0.117,0.306,0.456,0.536,0.316,0.173,0.291,0.183,0.416,0.194,1606228889.5118
455,0.126,0.302,0.506,0.556,0.307,0.161,0.35,0.216,0.448,0.179,1606228889.6371
456,0.511,0.253,0.252,0.264,0.192,0.092,0.084,0.053,0.125,0.112,1606228899.2721
457,0.561,0.345,0.247,0.27,0.202,0.11,0.097,0.046,0.112,0.11,1606228899.3969
458,0.576,0.443,0.238,0.282,0.206,0.132,0.117,0.044,0.095,0.104,1606228899.5221
459,0.561,0.548,0.224,0.305,0.204,0.153,0.144,0.046,0.081,0.097,1606228899.6476
460,0.529,0.678,0.205,0.343,0.199,0.169,0.191,0.05,0.077,0.091,1606228899.7722
461,0.494,0.839,0.184,0.393,0.191,0.178,0.275,0.057,0.087,0.086,1606228899.8971
462,0.466,1.019,0.165,0.44,0.183,0.181,0.403,0.066,0.112,0.083,1606228900.0226
463,0.455,1.178,0.149,0.47,0.176,0.184,0.563,0.078,0.144,0.08,1606228900.1475
464,0.467,1.265,0.139,0.469,0.172,0.193,0.72,0.091,0.173,0.077,1606228900.2724
465,0.513,1.244,0.14,0.437,0.17,0.212,0.831,0.1,0.191,0.072,1606228900.3979
466,0.589,1.115,0.155,0.384,0.172,0.236,0.864,0.105,0.191,0.068,1606228900.5233
467,0.679,0.917,0.185,0.327,0.179,0.257,0.817,0.107,0.176,0.065,1606228900.6481
468,0.754,0.715,0.229,0.279,0.192,0.266,0.718,0.112,0.152,0.067,1606228900.7734
469,0.787,0.57,0.288,0.252,0.209,0.258,0.613,0.126,0.13,0.074,1606228900.8988
470,0.764,0.513,0.361,0.252,0.225,0.232,0.548,0.155,0.12,0.084,1606228901.0233
471,0.687,0.531,0.441,0.28,0.235,0.197,0.542,0.204,0.132,0.098,1606228901.1486
472,0.575,0.584,0.52,0.332,0.234,0.169,0.585,0.272,0.164,0.111,1606228901.2741
473,0.458,0.641,0.588,0.395,0.224,0.157,0.647,0.347,0.207,0.124,1606228901.3988
474,0.368,0.682,0.638,0.456,0.206,0.164,0.694,0.411,0.246,0.134,1606228901.5239
475,0.336,0.709,0.662,0.498,0.189,0.186,0.705,0.442,0.268,0.142,1606228901.6495
476,0.376,0.733,0.656,0.509,0.174,0.218,0.679,0.428,0.267,0.148,1606228901.7744
477,0.469,0.763,0.623,0.491,0.165,0.248,0.631,0.378,0.246,0.15,1606228901.8994
478,0.579,0.796,0.569,0.451,0.156,0.271,0.577,0.305,0.217,0.146,1606228902.0247
479,0.659,0.81,0.503,0.402,0.146,0.279,0.525,0.229,0.187,0.137,1606228902.1498
480,0.435,0.591,0.181,0.172,0.206,0.364,1.147,0.147,0.217,0.189,1606228905.528
481,0.536,0.676,0.153,0.233,0.237,0.417,1.245,0.18,0.233,0.162,1606228905.6534
482,0.606,0.714,0.139,0.306,0.276,0.447,1.218,0.216,0.258,0.137,1606228905.7782
483,0.62,0.698,0.14,0.374,0.311,0.446,1.079,0.256,0.286,0.124,1606228905.9035
484,0.575,0.641,0.16,0.423,0.334,0.412,0.881,0.306,0.308,0.127,1606228906.0289
485,0.482,0.571,0.21,0.445,0.341,0.352,0.681,0.367,0.315,0.144,1606228906.1536
486,0.37,0.51,0.298,0.441,0.336,0.282,0.521,0.442,0.304,0.168,1606228906.2787
487,0.265,0.475,0.422,0.424,0.329,0.218,0.416,0.528,0.279,0.192,1606228906.4046
488,0.188,0.471,0.56,0.404,0.328,0.173,0.363,0.615,0.249,0.208,1606228906.5297
489,0.138,0.49,0.679,0.394,0.34,0.149,0.346,0.681,0.222,0.217,1606228906.6546
490,0.112,0.516,0.747,0.403,0.366,0.14,0.358,0.707,0.206,0.22,1606228906.7798
491,0.095,0.535,0.753,0.435,0.405,0.137,0.394,0.69,0.206,0.223,1606228906.9048
492,0.084,0.537,0.702,0.482,0.456,0.137,0.445,0.634,0.218,0.227,1606228907.0299
493,0.078,0.515,0.623,0.534,0.518,0.137,0.488,0.556,0.238,0.236,1606228907.1553
494,0.075,0.472,0.55,0.58,0.585,0.132,0.503,0.476,0.258,0.245,1606228907.2804
495,0.074,0.417,0.504,0.615,0.648,0.124,0.475,0.413,0.277,0.253,1606228907.4052
496,0.076,0.363,0.484,0.636,0.696,0.113,0.41,0.373,0.293,0.258,1606228907.5306
497,0.088,0.327,0.476,0.643,0.72,0.102,0.333,0.353,0.309,0.258,1606228907.6557
498,0.115,0.323,0.47,0.633,0.718,0.094,0.273,0.345,0.324,0.255,1606228907.7807
499,0.166,0.36,0.462,0.603,0.699,0.1,0.254,0.342,0.334,0.252,1606228907.9058
500,0.239,0.433,0.453,0.556,0.677,0.126,0.287,0.341,0.337,0.254,1606228908.0314
501,0.319,0.525,0.441,0.503,0.664,0.175,0.363,0.343,0.335,0.265,1606228908.1565
502,0.385,0.615,0.42,0.458,0.661,0.24,0.456,0.347,0.333,0.28,1606228908.2814
503,0.425,0.677,0.382,0.435,0.662,0.306,0.536,0.348,0.335,0.297,1606228908.4069
504,0.232,0.247,0.247,0.272,0.273,0.165,0.146,0.099,0.193,0.119,1606228921.1703
505,0.24,0.267,0.242,0.241,0.272,0.131,0.139,0.086,0.162,0.099,1606228921.2954
506,0.238,0.265,0.235,0.215,0.268,0.122,0.135,0.078,0.138,0.086,1606228921.4206
507,0.228,0.24,0.228,0.197,0.26,0.133,0.133,0.075,0.12,0.08,1606228921.5457
508,0.214,0.205,0.222,0.187,0.254,0.16,0.132,0.079,0.106,0.08,1606228921.6705
509,0.209,0.175,0.216,0.189,0.25,0.198,0.133,0.084,0.096,0.085,1606228921.7957
510,0.224,0.166,0.219,0.203,0.25,0.253,0.135,0.09,0.088,0.093,1606228921.921
511,0.257,0.189,0.24,0.226,0.251,0.322,0.14,0.097,0.084,0.103,1606228922.046
512,0.303,0.246,0.291,0.246,0.251,0.4,0.151,0.115,0.085,0.113,1606228922.1713
513,0.343,0.323,0.377,0.253,0.252,0.469,0.173,0.154,0.089,0.12,1606228922.2971
514,0.369,0.404,0.492,0.243,0.259,0.511,0.21,0.219,0.095,0.126,1606228922.4217
515,0.377,0.47,0.611,0.219,0.275,0.513,0.261,0.297,0.097,0.13,1606228922.5468
516,0.374,0.504,0.7,0.192,0.298,0.471,0.315,0.368,0.094,0.132,1606228922.6723
517,0.368,0.499,0.732,0.174,0.324,0.399,0.36,0.407,0.086,0.13,1606228922.797
518,0.366,0.458,0.697,0.173,0.346,0.31,0.383,0.403,0.08,0.125,1606228922.9219
519,0.372,0.392,0.604,0.19,0.358,0.228,0.378,0.362,0.084,0.118,1606228923.0474
520,0.38,0.318,0.478,0.221,0.358,0.164,0.348,0.302,0.105,0.111,1606228923.1722
521,0.379,0.26,0.35,0.253,0.345,0.123,0.304,0.243,0.139,0.107,1606228923.2971
522,0.363,0.23,0.249,0.276,0.325,0.096,0.256,0.201,0.179,0.107,1606228923.4229
523,0.332,0.235,0.193,0.284,0.299,0.081,0.214,0.182,0.212,0.112,1606228923.5481
524,0.299,0.273,0.187,0.273,0.272,0.075,0.184,0.188,0.226,0.12,1606228923.673
525,0.277,0.33,0.229,0.249,0.247,0.077,0.173,0.213,0.218,0.129,1606228923.7985
526,0.277,0.387,0.305,0.218,0.225,0.086,0.183,0.248,0.194,0.135,1606228923.9234
527,0.298,0.422,0.388,0.188,0.211,0.1,0.211,0.282,0.164,0.137,1606228924.0481
528,0.168,0.38,0.465,0.233,0.176,0.208,0.22,0.368,0.144,0.193,1606228933.6825
529,0.176,0.298,0.481,0.207,0.176,0.183,0.214,0.409,0.147,0.188,1606228933.8075
530,0.187,0.239,0.489,0.181,0.191,0.147,0.206,0.423,0.145,0.177,1606228933.9324
531,0.198,0.215,0.478,0.158,0.209,0.11,0.196,0.401,0.139,0.162,1606228934.0582
532,0.208,0.226,0.442,0.144,0.221,0.083,0.187,0.349,0.13,0.144,1606228934.1834
533,0.212,0.262,0.387,0.142,0.221,0.072,0.181,0.282,0.117,0.128,1606228934.3083
534,0.211,0.308,0.325,0.151,0.214,0.074,0.181,0.218,0.103,0.116,1606228934.4337
535,0.203,0.352,0.267,0.165,0.206,0.082,0.185,0.17,0.088,0.109,1606228934.5587
536,0.19,0.387,0.224,0.18,0.204,0.087,0.192,0.142,0.075,0.104,1606228934.6833
537,0.18,0.411,0.203,0.194,0.209,0.085,0.197,0.128,0.065,0.099,1606228934.8088
538,0.18,0.421,0.201,0.207,0.217,0.08,0.2,0.12,0.059,0.094,1606228934.9338
539,0.202,0.425,0.214,0.216,0.223,0.077,0.208,0.114,0.057,0.089,1606228935.0583
540,0.248,0.431,0.233,0.218,0.221,0.082,0.227,0.107,0.06,0.086,1606228935.1839
541,0.318,0.441,0.253,0.208,0.213,0.102,0.262,0.102,0.066,0.088,1606228935.3095
542,0.4,0.451,0.277,0.189,0.201,0.143,0.309,0.104,0.077,0.096,1606228935.4342
543,0.48,0.455,0.306,0.165,0.188,0.21,0.369,0.117,0.094,0.111,1606228935.5595
544,0.543,0.449,0.335,0.146,0.179,0.309,0.448,0.139,0.118,0.129,1606228935.6851
545,0.584,0.432,0.353,0.138,0.173,0.431,0.553,0.16,0.148,0.147,1606228935.8099
546,0.61,0.407,0.351,0.149,0.173,0.562,0.674,0.178,0.184,0.163,1606228935.9348
547,0.641,0.382,0.333,0.178,0.179,0.686,0.79,0.194,0.219,0.176,1606228936.06
548,0.699,0.366,0.305,0.218,0.19,0.79,0.876,0.211,0.248,0.185,1606228936.1847
549,0.787,0.368,0.277,0.256,0.208,0.864,0.906,0.229,0.266,0.191,1606228936.3098
550,0.892,0.395,0.255,0.279,0.242,0.904,0.876,0.242,0.269,0.196,1606228936.4354
551,0.996,0.445,0.235,0.286,0.294,0.911,0.797,0.247,0.258,0.2,1606228936.5604
