,O1/theta,O1/alpha,O1/betaL,O1/betaH,O1/gamma,O2/theta,O2/alpha,O2/betaL,O2/betaH,O2/gamma,TIME
62,0.209,0.275,0.277,0.611,0.503,0.114,0.178,0.279,0.316,0.192,1606228678.9327
63,0.204,0.287,0.278,0.638,0.474,0.138,0.19,0.283,0.387,0.195,1606228679.0582
64,0.206,0.326,0.276,0.634,0.44,0.169,0.226,0.273,0.451,0.191,1606228679.1834
65,0.217,0.392,0.282,0.601,0.409,0.202,0.29,0.256,0.492,0.185,1606228679.3081
66,0.236,0.488,0.304,0.548,0.389,0.231,0.375,0.244,0.506,0.183,1606228679.4336
67,0.263,0.616,0.338,0.493,0.387,0.257,0.473,0.248,0.494,0.188,1606228679.5589
68,0.288,0.767,0.369,0.456,0.404,0.281,0.572,0.268,0.463,0.198,1606228679.6834
69,0.305,0.931,0.379,0.447,0.437,0.307,0.664,0.296,0.421,0.211,1606228679.8088
70,0.311,1.087,0.365,0.462,0.481,0.338,0.739,0.321,0.373,0.219,1606228679.934
71,0.304,1.205,0.334,0.487,0.533,0.366,0.789,0.337,0.319,0.22,1606228680.0588
72,0.171,0.411,0.243,0.535,0.505,0.122,0.222,0.052,0.328,0.311,1606228695.9487
73,0.235,0.511,0.307,0.51,0.527,0.147,0.205,0.054,0.329,0.263,1606228696.0739
74,0.301,0.642,0.395,0.494,0.563,0.186,0.235,0.074,0.307,0.225,1606228696.1987
75,0.35,0.788,0.497,0.48,0.605,0.233,0.294,0.104,0.272,0.199,1606228696.324
76,0.367,0.923,0.596,0.465,0.64,0.28,0.362,0.132,0.237,0.187,1606228696.4494
77,0.354,1.039,0.667,0.447,0.66,0.314,0.434,0.151,0.209,0.189,1606228696.5743
78,0.336,1.15,0.693,0.431,0.659,0.325,0.505,0.155,0.194,0.2,1606228696.6994
79,0.354,1.281,0.668,0.423,0.643,0.308,0.573,0.146,0.193,0.216,1606228696.8247
80,0.439,1.445,0.606,0.426,0.62,0.273,0.627,0.132,0.209,0.23,1606228696.9496
81,0.584,1.631,0.535,0.437,0.6,0.23,0.653,0.119,0.239,0.238,1606228697.0747
82,0.752,1.795,0.48,0.445,0.589,0.194,0.639,0.11,0.278,0.239,1606228697.2001
83,0.888,1.885,0.453,0.443,0.587,0.173,0.586,0.106,0.317,0.232,1606228697.3248
84,0.951,1.864,0.45,0.435,0.588,0.177,0.519,0.102,0.346,0.218,1606228697.4498
85,0.932,1.751,0.463,0.433,0.586,0.214,0.486,0.094,0.355,0.2,1606228697.5752
86,0.87,1.613,0.479,0.452,0.576,0.287,0.528,0.083,0.344,0.179,1606228697.7001
87,0.797,1.507,0.481,0.501,0.561,0.385,0.659,0.077,0.32,0.159,1606228697.825
88,0.735,1.456,0.454,0.575,0.549,0.479,0.843,0.079,0.296,0.142,1606228697.9502
89,0.683,1.442,0.397,0.663,0.552,0.54,1.033,0.092,0.286,0.13,1606228698.0752
90,0.631,1.435,0.328,0.746,0.573,0.545,1.191,0.115,0.297,0.123,1606228698.2004
91,0.568,1.406,0.277,0.807,0.608,0.507,1.305,0.153,0.33,0.122,1606228698.3257
92,0.488,1.348,0.269,0.832,0.642,0.446,1.383,0.205,0.372,0.126,1606228698.4508
93,0.409,1.267,0.307,0.814,0.656,0.398,1.439,0.267,0.407,0.133,1606228698.5759
94,0.347,1.18,0.372,0.75,0.635,0.381,1.481,0.32,0.422,0.142,1606228698.7011
95,0.3,1.101,0.449,0.648,0.584,0.386,1.527,0.352,0.409,0.153,1606228698.8266
96,0.402,0.961,0.749,0.643,0.511,0.325,0.464,0.585,0.246,0.196,1606228711.5879
97,0.258,0.882,0.799,0.691,0.513,0.27,0.552,0.508,0.263,0.188,1606228711.7133
98,0.168,0.831,0.851,0.751,0.54,0.218,0.682,0.489,0.284,0.184,1606228711.8387
99,0.127,0.821,0.894,0.821,0.579,0.173,0.851,0.583,0.296,0.184,1606228711.9635
100,0.12,0.829,0.923,0.887,0.607,0.137,1.031,0.834,0.297,0.184,1606228712.0888
101,0.132,0.818,0.932,0.922,0.603,0.119,1.18,1.238,0.286,0.18,1606228712.214
102,0.157,0.756,0.915,0.903,0.562,0.113,1.267,1.736,0.268,0.173,1606228712.3385
103,0.198,0.643,0.877,0.823,0.492,0.133,1.289,2.217,0.25,0.166,1606228712.4638
104,0.262,0.503,0.825,0.706,0.416,0.176,1.258,2.543,0.241,0.162,1606228712.5893
105,0.351,0.373,0.768,0.596,0.358,0.247,1.2,2.614,0.248,0.168,1606228712.7138
106,0.454,0.277,0.704,0.527,0.336,0.335,1.134,2.396,0.272,0.186,1606228712.8391
107,0.551,0.225,0.626,0.51,0.352,0.418,1.075,1.952,0.309,0.213,1606228712.9645
108,0.618,0.214,0.537,0.528,0.393,0.479,1.024,1.402,0.347,0.245,1606228713.089
109,0.644,0.237,0.45,0.551,0.436,0.51,0.973,0.884,0.374,0.272,1606228713.2144
110,0.634,0.279,0.385,0.559,0.458,0.519,0.905,0.491,0.381,0.288,1606228713.3397
111,0.61,0.319,0.354,0.551,0.45,0.525,0.813,0.251,0.368,0.291,1606228713.4644
112,0.587,0.34,0.353,0.534,0.416,0.548,0.706,0.141,0.339,0.284,1606228713.5896
113,0.572,0.337,0.37,0.522,0.369,0.582,0.589,0.117,0.304,0.269,1606228713.7153
114,0.549,0.309,0.397,0.52,0.33,0.604,0.463,0.136,0.269,0.252,1606228713.8405
115,0.515,0.264,0.424,0.523,0.311,0.598,0.336,0.177,0.24,0.235,1606228713.9655
116,0.458,0.212,0.454,0.522,0.314,0.551,0.232,0.227,0.217,0.216,1606228714.0909
117,0.391,0.166,0.486,0.51,0.331,0.482,0.166,0.271,0.204,0.196,1606228714.216
118,0.324,0.133,0.516,0.486,0.35,0.411,0.139,0.297,0.198,0.172,1606228714.3407
119,0.271,0.115,0.53,0.455,0.361,0.36,0.136,0.296,0.199,0.148,1606228714.466
120,0.431,0.365,0.23,0.227,0.631,0.147,0.329,0.344,0.216,0.16,1606228720.9724
121,0.411,0.372,0.274,0.298,0.727,0.14,0.243,0.335,0.205,0.189,1606228721.0974
122,0.399,0.416,0.315,0.388,0.783,0.157,0.189,0.331,0.194,0.217,1606228721.2229
123,0.385,0.476,0.342,0.479,0.788,0.183,0.17,0.329,0.184,0.237,1606228721.3481
124,0.365,0.528,0.347,0.547,0.746,0.203,0.183,0.327,0.175,0.246,1606228721.4728
125,0.332,0.551,0.329,0.576,0.669,0.213,0.227,0.318,0.167,0.242,1606228721.5983
126,0.28,0.536,0.292,0.558,0.576,0.212,0.294,0.297,0.159,0.228,1606228721.7233
127,0.216,0.495,0.246,0.497,0.483,0.205,0.37,0.263,0.15,0.207,1606228721.848
128,0.16,0.455,0.203,0.408,0.401,0.198,0.441,0.222,0.141,0.183,1606228721.9735
129,0.137,0.447,0.172,0.313,0.334,0.198,0.496,0.185,0.132,0.161,1606228722.0985
130,0.153,0.487,0.162,0.233,0.286,0.206,0.533,0.168,0.127,0.142,1606228722.2233
131,0.198,0.571,0.178,0.187,0.253,0.219,0.559,0.178,0.127,0.126,1606228722.3489
132,0.252,0.687,0.212,0.185,0.236,0.234,0.591,0.214,0.133,0.112,1606228722.4744
133,0.301,0.813,0.248,0.225,0.234,0.25,0.637,0.262,0.148,0.101,1606228722.5989
134,0.332,0.92,0.278,0.3,0.249,0.265,0.692,0.306,0.176,0.096,1606228722.7242
135,0.348,0.99,0.288,0.388,0.278,0.278,0.749,0.327,0.216,0.099,1606228722.8495
136,0.359,1.021,0.273,0.468,0.313,0.288,0.8,0.319,0.266,0.112,1606228722.974
137,0.376,1.023,0.24,0.528,0.345,0.295,0.84,0.289,0.315,0.134,1606228723.0993
