,O1/theta,O1/alpha,O1/betaL,O1/betaH,O1/gamma,O2/theta,O2/alpha,O2/betaL,O2/betaH,O2/gamma,TIME
0,0.378,1.599,1.394,0.478,0.557,0.309,0.63,0.535,0.273,0.285,1606228661.5415
1,0.37,1.926,1.623,0.582,0.562,0.266,0.564,0.567,0.319,0.283,1606228661.6666
2,0.352,2.193,1.813,0.696,0.559,0.233,0.487,0.616,0.349,0.265,1606228661.7921
3,0.329,2.303,1.908,0.783,0.546,0.214,0.421,0.674,0.357,0.236,1606228661.917
4,0.309,2.213,1.872,0.818,0.523,0.208,0.384,0.719,0.346,0.204,1606228662.0419
5,0.29,1.954,1.697,0.792,0.5,0.213,0.382,0.724,0.327,0.18,1606228662.1674
6,0.275,1.621,1.426,0.718,0.486,0.223,0.413,0.682,0.308,0.166,1606228662.2922
7,0.268,1.335,1.135,0.621,0.489,0.238,0.466,0.609,0.298,0.164,1606228662.4172
8,0.283,1.173,0.916,0.532,0.507,0.264,0.529,0.546,0.303,0.169,1606228662.5427
9,0.325,1.142,0.83,0.474,0.531,0.303,0.585,0.527,0.323,0.177,1606228662.6677
10,0.391,1.18,0.883,0.455,0.552,0.345,0.62,0.568,0.355,0.187,1606228662.7924
11,0.464,1.197,1.03,0.472,0.562,0.376,0.627,0.659,0.392,0.199,1606228662.9179
12,0.521,1.129,1.194,0.513,0.559,0.388,0.606,0.764,0.424,0.21,1606228663.043
13,0.537,0.979,1.297,0.565,0.545,0.377,0.567,0.838,0.444,0.219,1606228663.1677
14,0.506,0.787,1.288,0.61,0.524,0.347,0.525,0.846,0.447,0.222,1606228663.2932
15,0.44,0.603,1.171,0.631,0.504,0.311,0.483,0.782,0.43,0.219,1606228663.4184
16,0.364,0.463,0.992,0.612,0.489,0.276,0.445,0.667,0.396,0.214,1606228663.5431
17,0.304,0.377,0.813,0.552,0.482,0.258,0.405,0.538,0.349,0.212,1606228663.6686
18,0.273,0.331,0.676,0.465,0.482,0.26,0.366,0.428,0.295,0.216,1606228663.7938
19,0.274,0.307,0.591,0.376,0.489,0.291,0.331,0.36,0.242,0.228,1606228663.9185
20,0.293,0.299,0.541,0.307,0.497,0.334,0.307,0.333,0.197,0.245,1606228664.0438
21,0.316,0.318,0.502,0.267,0.499,0.379,0.297,0.331,0.163,0.261,1606228664.1694
22,0.338,0.373,0.469,0.251,0.492,0.409,0.296,0.339,0.143,0.27,1606228664.2944
23,0.355,0.453,0.448,0.241,0.477,0.414,0.299,0.347,0.135,0.27,1606228664.4195
24,0.449,0.274,0.354,0.54,0.655,0.231,0.272,0.22,0.28,0.23,1606228670.9256
25,0.523,0.36,0.323,0.456,0.649,0.275,0.373,0.305,0.279,0.237,1606228671.0504
26,0.575,0.457,0.294,0.378,0.618,0.301,0.497,0.416,0.299,0.235,1606228671.1757
27,0.584,0.531,0.272,0.316,0.568,0.298,0.603,0.519,0.33,0.232,1606228671.3009
28,0.548,0.558,0.261,0.276,0.508,0.274,0.653,0.579,0.363,0.237,1606228671.4259
29,0.486,0.537,0.259,0.262,0.453,0.252,0.626,0.576,0.384,0.254,1606228671.5512
30,0.429,0.484,0.267,0.273,0.419,0.254,0.527,0.514,0.389,0.279,1606228671.6767
31,0.401,0.426,0.296,0.307,0.415,0.29,0.387,0.419,0.377,0.3,1606228671.8016
32,0.406,0.38,0.351,0.355,0.444,0.35,0.249,0.328,0.351,0.308,1606228671.9267
33,0.431,0.347,0.426,0.404,0.497,0.412,0.148,0.27,0.317,0.298,1606228672.0522
34,0.457,0.322,0.507,0.437,0.556,0.451,0.098,0.256,0.278,0.27,1606228672.1768
35,0.477,0.299,0.571,0.441,0.601,0.456,0.089,0.272,0.239,0.23,1606228672.3017
36,0.493,0.275,0.597,0.416,0.62,0.433,0.097,0.292,0.203,0.188,1606228672.4273
37,0.505,0.263,0.574,0.376,0.608,0.395,0.106,0.296,0.174,0.149,1606228672.5521
38,0.509,0.285,0.506,0.348,0.58,0.353,0.113,0.277,0.155,0.118,1606228672.677
39,0.5,0.364,0.411,0.352,0.554,0.312,0.118,0.236,0.145,0.095,1606228672.8024
40,0.464,0.511,0.316,0.394,0.548,0.269,0.131,0.183,0.142,0.081,1606228672.9272
41,0.404,0.715,0.246,0.464,0.563,0.225,0.163,0.133,0.14,0.076,1606228673.0522
42,0.334,0.944,0.214,0.547,0.592,0.188,0.221,0.102,0.14,0.08,1606228673.1777
43,0.289,1.148,0.215,0.629,0.614,0.177,0.302,0.103,0.147,0.096,1606228673.3027
44,0.289,1.274,0.237,0.698,0.615,0.212,0.401,0.136,0.167,0.122,1606228673.4274
45,0.343,1.288,0.261,0.74,0.592,0.302,0.512,0.19,0.198,0.152,1606228673.553
46,0.429,1.197,0.267,0.748,0.548,0.438,0.63,0.247,0.232,0.178,1606228673.678
47,0.517,1.048,0.25,0.721,0.491,0.587,0.738,0.287,0.26,0.191,1606228673.8027
