,O1/theta,O1/alpha,O1/betaL,O1/betaH,O1/gamma,O2/theta,O2/alpha,O2/betaL,O2/betaH,O2/gamma,TIME
48,0.519,1.205,0.302,0.529,0.303,0.279,0.272,0.388,0.188,0.187,1606228686.565
49,0.522,1.182,0.35,0.557,0.284,0.27,0.282,0.39,0.184,0.191,1606228686.6902
50,0.494,1.067,0.407,0.592,0.262,0.255,0.292,0.395,0.17,0.193,1606228686.815
51,0.455,0.94,0.472,0.627,0.24,0.241,0.303,0.396,0.15,0.192,1606228686.9403
52,0.417,0.881,0.54,0.652,0.222,0.231,0.309,0.382,0.127,0.187,1606228687.0656
53,0.389,0.924,0.611,0.661,0.218,0.222,0.305,0.348,0.104,0.18,1606228687.1907
54,0.366,1.037,0.678,0.654,0.236,0.207,0.285,0.297,0.09,0.176,1606228687.316
55,0.353,1.153,0.738,0.641,0.283,0.19,0.254,0.242,0.094,0.178,1606228687.4413
56,0.365,1.213,0.789,0.638,0.358,0.182,0.22,0.195,0.124,0.186,1606228687.5663
57,0.422,1.202,0.824,0.658,0.452,0.199,0.194,0.163,0.182,0.198,1606228687.6918
58,0.531,1.153,0.84,0.707,0.544,0.242,0.192,0.148,0.257,0.209,1606228687.817
59,0.666,1.102,0.831,0.778,0.618,0.301,0.225,0.149,0.329,0.215,1606228687.9414
60,0.777,1.064,0.791,0.863,0.666,0.351,0.298,0.162,0.379,0.215,1606228688.0665
61,0.819,1.038,0.735,0.949,0.684,0.375,0.4,0.182,0.395,0.21,1606228688.1918
62,0.777,1.008,0.686,1.009,0.674,0.367,0.504,0.204,0.379,0.206,1606228688.3164
63,0.672,0.96,0.666,1.027,0.644,0.34,0.582,0.227,0.343,0.207,1606228688.4416
64,0.542,0.894,0.682,0.998,0.607,0.313,0.614,0.254,0.305,0.212,1606228688.5669
65,0.433,0.826,0.71,0.928,0.579,0.307,0.602,0.286,0.281,0.22,1606228688.6917
66,0.38,0.761,0.721,0.83,0.568,0.333,0.564,0.315,0.274,0.227,1606228688.8168
67,0.386,0.694,0.701,0.717,0.577,0.379,0.527,0.336,0.276,0.229,1606228688.9423
68,0.424,0.619,0.654,0.603,0.595,0.427,0.509,0.347,0.275,0.226,1606228689.067
69,0.459,0.536,0.59,0.494,0.606,0.463,0.514,0.345,0.261,0.22,1606228689.1919
70,0.466,0.461,0.529,0.398,0.601,0.478,0.528,0.332,0.233,0.215,1606228689.3174
71,0.437,0.406,0.481,0.316,0.583,0.475,0.53,0.313,0.193,0.214,1606228689.4422
72,0.27,1.43,1.281,0.735,0.461,0.364,2.551,2.179,0.188,0.297,1606228692.8207
73,0.242,1.493,1.255,0.762,0.493,0.374,2.887,2.242,0.154,0.33,1606228692.9458
74,0.23,1.516,1.193,0.748,0.52,0.387,2.972,2.064,0.131,0.355,1606228693.0705
75,0.231,1.45,1.108,0.702,0.534,0.393,2.752,1.692,0.126,0.364,1606228693.196
76,0.233,1.304,1.034,0.646,0.53,0.382,2.268,1.232,0.136,0.358,1606228693.3213
77,0.228,1.122,1.012,0.601,0.509,0.35,1.664,0.8,0.157,0.338,1606228693.4461
78,0.211,0.95,1.064,0.58,0.477,0.311,1.125,0.484,0.184,0.312,1606228693.5713
79,0.19,0.801,1.182,0.59,0.448,0.285,0.791,0.311,0.21,0.284,1606228693.6966
80,0.182,0.675,1.336,0.622,0.438,0.288,0.707,0.244,0.231,0.261,1606228693.8215
81,0.214,0.595,1.48,0.66,0.473,0.331,0.819,0.218,0.243,0.251,1606228693.9466
82,0.307,0.6,1.561,0.688,0.57,0.416,1.015,0.191,0.246,0.26,1606228694.0719
83,0.466,0.713,1.552,0.688,0.723,0.543,1.199,0.162,0.242,0.291,1606228694.1967
84,0.657,0.925,1.459,0.652,0.904,0.682,1.311,0.146,0.233,0.336,1606228694.3217
85,0.824,1.179,1.315,0.59,1.068,0.793,1.332,0.156,0.226,0.383,1606228694.4475
86,0.92,1.386,1.159,0.523,1.173,0.838,1.28,0.204,0.224,0.419,1606228694.5723
87,0.912,1.46,1.016,0.477,1.196,0.792,1.197,0.284,0.228,0.44,1606228694.6972
88,0.81,1.364,0.884,0.47,1.137,0.669,1.119,0.378,0.234,0.449,1606228694.8227
89,0.649,1.123,0.747,0.505,1.02,0.505,1.063,0.456,0.237,0.453,1606228694.9477
90,0.474,0.817,0.601,0.571,0.883,0.344,1.02,0.492,0.23,0.46,1606228695.0725
91,0.326,0.545,0.46,0.641,0.76,0.22,0.967,0.476,0.215,0.469,1606228695.198
92,0.227,0.368,0.343,0.687,0.667,0.144,0.882,0.413,0.202,0.476,1606228695.3232
93,0.169,0.292,0.262,0.695,0.603,0.112,0.755,0.321,0.203,0.471,1606228695.4481
94,0.136,0.281,0.216,0.668,0.557,0.104,0.596,0.222,0.224,0.45,1606228695.5734
95,0.12,0.301,0.198,0.621,0.522,0.103,0.432,0.137,0.262,0.411,1606228695.6989
96,0.386,0.509,0.794,0.771,0.516,0.241,0.699,1.404,0.462,0.311,1606228702.2046
97,0.353,0.406,0.673,0.739,0.47,0.218,0.638,1.237,0.425,0.293,1606228702.3298
98,0.32,0.321,0.538,0.686,0.431,0.201,0.529,0.977,0.374,0.264,1606228702.4547
99,0.301,0.257,0.428,0.622,0.397,0.211,0.415,0.715,0.328,0.234,1606228702.5796
100,0.298,0.215,0.363,0.553,0.365,0.258,0.336,0.523,0.297,0.213,1606228702.7051
101,0.31,0.207,0.337,0.485,0.343,0.333,0.311,0.423,0.284,0.204,1606228702.8303
102,0.337,0.248,0.321,0.422,0.339,0.416,0.329,0.386,0.284,0.206,1606228702.9553
103,0.38,0.339,0.29,0.373,0.359,0.482,0.369,0.372,0.299,0.214,1606228703.0807
104,0.437,0.455,0.241,0.346,0.403,0.524,0.429,0.359,0.329,0.227,1606228703.2058
105,0.496,0.563,0.192,0.344,0.469,0.546,0.524,0.345,0.367,0.251,1606228703.3306
106,0.559,0.624,0.171,0.371,0.556,0.559,0.667,0.332,0.403,0.296,1606228703.456
107,0.618,0.616,0.196,0.427,0.655,0.584,0.846,0.32,0.427,0.364,1606228703.5809
108,0.681,0.541,0.259,0.505,0.753,0.639,1.027,0.309,0.433,0.445,1606228703.7057
109,0.745,0.427,0.336,0.585,0.829,0.725,1.162,0.294,0.419,0.521,1606228703.831
110,0.802,0.318,0.395,0.647,0.864,0.826,1.217,0.278,0.388,0.568,1606228703.9561
111,0.834,0.278,0.418,0.683,0.845,0.913,1.214,0.28,0.351,0.568,1606228704.0808
112,0.825,0.367,0.408,0.692,0.774,0.958,1.224,0.313,0.316,0.52,1606228704.2061
113,0.766,0.605,0.388,0.686,0.668,0.945,1.325,0.383,0.293,0.44,1606228704.3312
114,0.666,0.953,0.383,0.678,0.557,0.874,1.535,0.475,0.285,0.355,1606228704.456
115,0.552,1.32,0.406,0.674,0.471,0.762,1.8,0.566,0.291,0.287,1606228704.5813
116,0.451,1.593,0.459,0.669,0.427,0.631,2.016,0.633,0.306,0.252,1606228704.7067
117,0.382,1.692,0.529,0.65,0.421,0.513,2.09,0.659,0.323,0.247,1606228704.8317
118,0.341,1.595,0.595,0.608,0.435,0.418,1.984,0.642,0.335,0.261,1606228704.9568
119,0.317,1.353,0.641,0.545,0.446,0.344,1.733,0.594,0.336,0.277,1606228705.0823
120,0.323,0.807,0.316,0.41,0.303,0.183,0.436,0.159,0.156,0.163,1606228724.1003
121,0.386,0.755,0.361,0.35,0.304,0.204,0.402,0.152,0.144,0.162,1606228724.2252
122,0.434,0.685,0.375,0.308,0.312,0.222,0.376,0.147,0.154,0.18,1606228724.3506
123,0.437,0.587,0.35,0.291,0.329,0.232,0.341,0.145,0.184,0.216,1606228724.4755
124,0.389,0.468,0.297,0.299,0.355,0.228,0.29,0.148,0.228,0.26,1606228724.6003
125,0.317,0.351,0.235,0.323,0.387,0.226,0.241,0.16,0.273,0.302,1606228724.7258
126,0.247,0.264,0.188,0.349,0.423,0.229,0.216,0.187,0.308,0.33,1606228724.8509
127,0.204,0.224,0.173,0.365,0.458,0.239,0.229,0.228,0.325,0.338,1606228724.9757
128,0.184,0.236,0.189,0.366,0.484,0.247,0.277,0.274,0.323,0.327,1606228725.101
129,0.182,0.3,0.225,0.351,0.497,0.248,0.345,0.315,0.309,0.302,1606228725.2264
130,0.187,0.406,0.267,0.325,0.496,0.246,0.417,0.346,0.291,0.272,1606228725.3511
131,0.2,0.546,0.3,0.295,0.488,0.249,0.481,0.363,0.275,0.245,1606228725.4766
132,0.221,0.721,0.318,0.264,0.478,0.264,0.537,0.365,0.262,0.225,1606228725.6021
133,0.254,0.928,0.326,0.239,0.468,0.296,0.589,0.357,0.249,0.215,1606228725.7269
134,0.302,1.15,0.342,0.223,0.458,0.343,0.643,0.347,0.233,0.215,1606228725.8521
135,0.366,1.349,0.37,0.22,0.447,0.395,0.693,0.343,0.212,0.225,1606228725.9776
136,0.433,1.476,0.408,0.231,0.431,0.439,0.723,0.345,0.19,0.243,1606228726.1022
137,0.486,1.495,0.443,0.257,0.413,0.46,0.717,0.353,0.17,0.266,1606228726.2271
138,0.509,1.393,0.465,0.303,0.393,0.45,0.665,0.362,0.158,0.287,1606228726.3526
139,0.49,1.193,0.472,0.365,0.377,0.414,0.576,0.372,0.16,0.299,1606228726.4775
140,0.433,0.948,0.47,0.435,0.375,0.371,0.478,0.379,0.177,0.298,1606228726.6026
141,0.353,0.726,0.468,0.497,0.391,0.341,0.404,0.378,0.203,0.286,1606228726.7281
142,0.279,0.582,0.471,0.536,0.421,0.342,0.373,0.366,0.231,0.266,1606228726.8531
143,0.23,0.525,0.482,0.538,0.456,0.372,0.377,0.341,0.252,0.243,1606228726.9778
144,0.491,0.987,0.576,0.533,0.406,0.312,0.79,0.254,0.404,0.249,1606228733.4852
145,0.497,0.953,0.499,0.53,0.432,0.344,0.779,0.243,0.411,0.275,1606228733.6101
146,0.521,0.825,0.425,0.536,0.454,0.376,0.694,0.241,0.411,0.297,1606228733.7351
147,0.553,0.636,0.39,0.539,0.471,0.395,0.563,0.262,0.406,0.31,1606228733.8603
148,0.572,0.45,0.424,0.533,0.488,0.395,0.425,0.308,0.399,0.312,1606228733.9854
149,0.564,0.329,0.534,0.515,0.509,0.383,0.312,0.372,0.391,0.301,1606228734.1107
150,0.533,0.316,0.695,0.49,0.533,0.364,0.239,0.438,0.38,0.283,1606228734.2359
151,0.493,0.408,0.853,0.459,0.552,0.344,0.199,0.485,0.362,0.261,1606228734.3612
152,0.472,0.564,0.954,0.428,0.557,0.322,0.176,0.499,0.334,0.242,1606228734.4859
153,0.498,0.719,0.968,0.398,0.545,0.3,0.153,0.482,0.299,0.23,1606228734.6112
154,0.584,0.826,0.898,0.368,0.522,0.28,0.127,0.445,0.263,0.228,1606228734.7363
155,0.724,0.865,0.775,0.342,0.497,0.272,0.108,0.405,0.235,0.236,1606228734.861
156,0.887,0.839,0.647,0.332,0.481,0.289,0.099,0.369,0.223,0.25,1606228734.9863
157,1.026,0.768,0.556,0.351,0.476,0.332,0.1,0.34,0.232,0.264,1606228735.1114
158,1.095,0.676,0.524,0.405,0.477,0.387,0.109,0.311,0.255,0.272,1606228735.236
159,1.065,0.584,0.54,0.484,0.478,0.429,0.136,0.276,0.285,0.271,1606228735.3612
160,0.937,0.495,0.577,0.568,0.47,0.439,0.193,0.239,0.311,0.262,1606228735.4866
161,0.745,0.406,0.605,0.631,0.452,0.416,0.276,0.207,0.325,0.251,1606228735.6114
162,0.546,0.333,0.608,0.652,0.43,0.374,0.374,0.19,0.328,0.243,1606228735.7365
163,0.398,0.302,0.585,0.627,0.413,0.341,0.466,0.195,0.323,0.241,1606228735.8622
164,0.332,0.336,0.546,0.568,0.409,0.331,0.531,0.219,0.313,0.242,1606228735.9868
165,0.343,0.424,0.5,0.498,0.418,0.349,0.557,0.256,0.305,0.242,1606228736.1125
166,0.4,0.529,0.449,0.436,0.433,0.38,0.54,0.294,0.296,0.237,1606228736.2379
167,0.469,0.608,0.395,0.395,0.449,0.418,0.493,0.322,0.286,0.225,1606228736.3627
168,0.661,0.979,0.423,0.675,0.634,0.628,0.548,0.849,0.303,0.328,1606228749.1242
169,0.549,0.883,0.4,0.623,0.633,0.566,0.458,0.801,0.317,0.304,1606228749.2496
170,0.43,0.762,0.438,0.56,0.632,0.48,0.41,0.749,0.332,0.284,1606228749.3745
171,0.315,0.622,0.517,0.513,0.625,0.391,0.372,0.697,0.359,0.268,1606228749.4996
172,0.219,0.481,0.608,0.503,0.608,0.32,0.341,0.655,0.403,0.254,1606228749.6248
173,0.155,0.355,0.678,0.526,0.582,0.274,0.334,0.637,0.456,0.239,1606228749.7496
174,0.129,0.257,0.699,0.559,0.545,0.249,0.36,0.637,0.505,0.224,1606228749.8747
175,0.137,0.199,0.657,0.571,0.503,0.231,0.419,0.636,0.53,0.214,1606228750.0001
176,0.161,0.195,0.566,0.55,0.464,0.208,0.499,0.613,0.523,0.208,1606228750.125
177,0.184,0.25,0.464,0.508,0.443,0.179,0.574,0.561,0.486,0.21,1606228750.2499
178,0.199,0.349,0.393,0.476,0.457,0.155,0.62,0.493,0.431,0.219,1606228750.3756
179,0.202,0.465,0.379,0.482,0.516,0.142,0.623,0.43,0.374,0.234,1606228750.5008
180,0.199,0.572,0.426,0.536,0.607,0.141,0.584,0.396,0.328,0.256,1606228750.6254
181,0.191,0.646,0.513,0.621,0.706,0.149,0.518,0.395,0.296,0.282,1606228750.7508
182,0.184,0.683,0.609,0.706,0.777,0.161,0.448,0.412,0.276,0.31,1606228750.8759
183,0.179,0.691,0.693,0.766,0.801,0.177,0.395,0.43,0.269,0.34,1606228751.0007
184,0.182,0.684,0.763,0.785,0.78,0.201,0.372,0.438,0.279,0.37,1606228751.1259
185,0.195,0.68,0.824,0.766,0.733,0.241,0.384,0.439,0.308,0.399,1606228751.251
186,0.219,0.685,0.88,0.716,0.685,0.3,0.424,0.44,0.352,0.422,1606228751.3758
187,0.255,0.698,0.93,0.649,0.654,0.371,0.482,0.451,0.4,0.435,1606228751.5013
188,0.299,0.72,0.967,0.581,0.643,0.435,0.546,0.472,0.434,0.436,1606228751.627
189,0.341,0.758,0.981,0.53,0.641,0.476,0.604,0.499,0.445,0.423,1606228751.7517
190,0.368,0.819,0.971,0.507,0.636,0.481,0.656,0.53,0.431,0.398,1606228751.8768
191,0.37,0.902,0.944,0.513,0.624,0.448,0.703,0.562,0.399,0.365,1606228752.0021
192,0.527,0.54,0.344,0.267,0.238,0.502,0.234,0.459,0.236,0.234,1606228761.6361
193,0.442,0.387,0.34,0.184,0.208,0.463,0.162,0.349,0.195,0.212,1606228761.7612
194,0.355,0.266,0.339,0.141,0.187,0.408,0.118,0.241,0.16,0.19,1606228761.8868
195,0.289,0.198,0.34,0.134,0.172,0.361,0.105,0.156,0.138,0.169,1606228762.0114
196,0.26,0.188,0.341,0.146,0.167,0.339,0.118,0.103,0.127,0.149,1606228762.1367
197,0.267,0.228,0.342,0.166,0.175,0.338,0.146,0.077,0.126,0.133,1606228762.262
198,0.298,0.288,0.34,0.184,0.198,0.342,0.171,0.067,0.131,0.123,1606228762.3868
199,0.337,0.341,0.338,0.199,0.238,0.333,0.181,0.064,0.137,0.118,1606228762.512
200,0.376,0.365,0.332,0.21,0.288,0.313,0.175,0.065,0.149,0.12,1606228762.6373
201,0.417,0.353,0.318,0.222,0.34,0.294,0.16,0.069,0.171,0.128,1606228762.7619
202,0.457,0.315,0.292,0.238,0.382,0.287,0.149,0.076,0.208,0.144,1606228762.8869
203,0.491,0.276,0.251,0.266,0.407,0.295,0.153,0.086,0.259,0.166,1606228763.0124
204,0.512,0.26,0.201,0.315,0.417,0.306,0.181,0.097,0.321,0.192,1606228763.1371
205,0.52,0.279,0.149,0.387,0.423,0.312,0.229,0.107,0.385,0.219,1606228763.2625
206,0.517,0.322,0.106,0.47,0.436,0.307,0.289,0.116,0.442,0.245,1606228763.3878
207,0.507,0.365,0.079,0.546,0.467,0.294,0.349,0.121,0.479,0.274,1606228763.5126
208,0.498,0.385,0.071,0.59,0.524,0.28,0.397,0.125,0.487,0.313,1606228763.6376
209,0.504,0.376,0.076,0.592,0.605,0.271,0.43,0.125,0.463,0.362,1606228763.7631
210,0.546,0.343,0.086,0.551,0.702,0.274,0.443,0.119,0.411,0.413,1606228763.8879
211,0.628,0.301,0.097,0.483,0.797,0.286,0.436,0.11,0.342,0.453,1606228764.0126
212,0.739,0.27,0.111,0.412,0.873,0.304,0.411,0.101,0.269,0.464,1606228764.1381
213,0.845,0.262,0.135,0.356,0.913,0.323,0.373,0.099,0.204,0.441,1606228764.2632
214,0.907,0.279,0.173,0.327,0.906,0.338,0.325,0.108,0.155,0.388,1606228764.3881
215,0.9,0.314,0.22,0.324,0.852,0.346,0.275,0.127,0.123,0.32,1606228764.5138
216,0.203,0.906,0.692,0.419,0.799,0.251,1.024,0.443,0.267,0.372,1606228774.1483
217,0.237,0.994,0.614,0.438,0.697,0.256,1.033,0.44,0.268,0.323,1606228774.273
218,0.26,1.062,0.516,0.452,0.604,0.259,1.051,0.419,0.264,0.283,1606228774.3983
219,0.279,1.108,0.419,0.468,0.54,0.271,1.066,0.384,0.257,0.268,1606228774.5233
220,0.294,1.136,0.353,0.495,0.51,0.295,1.071,0.351,0.255,0.278,1606228774.6481
221,0.311,1.161,0.34,0.536,0.505,0.327,1.074,0.345,0.265,0.297,1606228774.7736
222,0.326,1.2,0.374,0.581,0.512,0.357,1.095,0.373,0.29,0.309,1606228774.8986
223,0.334,1.251,0.437,0.611,0.514,0.369,1.145,0.43,0.325,0.3,1606228775.0232
224,0.326,1.284,0.503,0.611,0.501,0.355,1.201,0.494,0.363,0.272,1606228775.1485
225,0.3,1.261,0.548,0.578,0.471,0.318,1.225,0.535,0.392,0.234,1606228775.274
226,0.264,1.161,0.561,0.521,0.427,0.268,1.18,0.535,0.4,0.195,1606228775.3987
227,0.223,0.986,0.537,0.455,0.377,0.209,1.046,0.487,0.381,0.165,1606228775.524
228,0.184,0.765,0.483,0.397,0.332,0.149,0.836,0.404,0.34,0.148,1606228775.6496
229,0.153,0.545,0.413,0.359,0.305,0.101,0.595,0.307,0.291,0.145,1606228775.7745
230,0.134,0.37,0.345,0.354,0.299,0.079,0.382,0.22,0.256,0.153,1606228775.8996
231,0.123,0.262,0.29,0.389,0.311,0.081,0.237,0.162,0.251,0.168,1606228776.0252
232,0.116,0.22,0.256,0.467,0.341,0.101,0.17,0.131,0.281,0.187,1606228776.1501
233,0.112,0.223,0.242,0.575,0.39,0.13,0.165,0.119,0.332,0.207,1606228776.2753
234,0.108,0.249,0.243,0.685,0.457,0.153,0.193,0.113,0.381,0.224,1606228776.4006
235,0.105,0.282,0.25,0.768,0.534,0.162,0.23,0.108,0.407,0.238,1606228776.5262
236,0.104,0.324,0.258,0.805,0.609,0.16,0.27,0.101,0.402,0.246,1606228776.6509
237,0.108,0.377,0.263,0.804,0.666,0.152,0.314,0.097,0.375,0.251,1606228776.7762
238,0.117,0.438,0.27,0.788,0.687,0.149,0.361,0.102,0.345,0.253,1606228776.9013
239,0.137,0.509,0.296,0.783,0.664,0.153,0.409,0.123,0.327,0.253,1606228777.026
240,0.157,0.142,0.274,0.35,0.389,0.176,0.247,0.303,0.261,0.192,1606228783.5314
241,0.162,0.15,0.22,0.317,0.427,0.159,0.187,0.309,0.233,0.184,1606228783.656
242,0.167,0.16,0.202,0.292,0.479,0.159,0.17,0.353,0.208,0.19,1606228783.7813
243,0.169,0.168,0.203,0.28,0.53,0.171,0.176,0.417,0.191,0.209,1606228783.9069
244,0.171,0.166,0.211,0.28,0.563,0.187,0.188,0.476,0.185,0.233,1606228784.032
245,0.173,0.151,0.223,0.284,0.563,0.201,0.197,0.513,0.183,0.253,1606228784.1571
246,0.178,0.127,0.237,0.281,0.528,0.205,0.199,0.52,0.177,0.263,1606228784.2825
247,0.187,0.099,0.252,0.265,0.466,0.201,0.189,0.497,0.161,0.257,1606228784.4074
248,0.201,0.072,0.261,0.245,0.395,0.194,0.172,0.463,0.142,0.236,1606228784.5323
249,0.218,0.049,0.262,0.236,0.335,0.189,0.16,0.444,0.13,0.207,1606228784.6578
250,0.233,0.035,0.255,0.249,0.297,0.188,0.169,0.458,0.135,0.18,1606228784.7826
251,0.245,0.036,0.242,0.291,0.284,0.192,0.217,0.504,0.161,0.163,1606228784.9074
252,0.26,0.062,0.228,0.357,0.292,0.201,0.313,0.565,0.202,0.159,1606228785.033
253,0.291,0.12,0.222,0.44,0.311,0.221,0.456,0.616,0.248,0.168,1606228785.1584
254,0.348,0.209,0.234,0.524,0.33,0.26,0.614,0.64,0.29,0.182,1606228785.2833
255,0.42,0.313,0.265,0.592,0.34,0.316,0.746,0.637,0.319,0.196,1606228785.4086
256,0.488,0.405,0.309,0.627,0.34,0.379,0.818,0.617,0.329,0.205,1606228785.5338
257,0.523,0.458,0.354,0.624,0.33,0.43,0.811,0.589,0.319,0.208,1606228785.6586
258,0.509,0.457,0.383,0.591,0.315,0.454,0.728,0.552,0.294,0.209,1606228785.784
259,0.446,0.404,0.384,0.543,0.299,0.445,0.602,0.504,0.26,0.211,1606228785.9093
260,0.356,0.319,0.357,0.494,0.282,0.41,0.472,0.441,0.228,0.217,1606228786.0342
261,0.273,0.23,0.315,0.45,0.266,0.37,0.367,0.364,0.204,0.229,1606228786.1595
262,0.227,0.164,0.276,0.412,0.254,0.346,0.3,0.286,0.194,0.244,1606228786.285
263,0.229,0.136,0.255,0.375,0.248,0.35,0.269,0.226,0.195,0.256,1606228786.4097
264,0.317,0.168,0.135,0.319,0.399,0.208,0.255,0.195,0.219,0.195,1606228789.788
265,0.352,0.124,0.132,0.333,0.382,0.184,0.233,0.199,0.195,0.163,1606228789.913
266,0.368,0.095,0.139,0.328,0.369,0.163,0.205,0.2,0.175,0.135,1606228790.0378
267,0.362,0.091,0.158,0.313,0.356,0.153,0.184,0.199,0.162,0.114,1606228790.1631
268,0.341,0.111,0.19,0.316,0.34,0.159,0.174,0.197,0.161,0.103,1606228790.2881
269,0.31,0.154,0.23,0.361,0.323,0.175,0.177,0.197,0.175,0.099,1606228790.413
270,0.277,0.212,0.271,0.452,0.306,0.191,0.184,0.2,0.201,0.101,1606228790.5387
271,0.246,0.278,0.304,0.578,0.293,0.196,0.194,0.203,0.236,0.109,1606228790.664
272,0.223,0.348,0.319,0.71,0.287,0.191,0.209,0.2,0.275,0.12,1606228790.7887
273,0.211,0.426,0.316,0.82,0.293,0.181,0.235,0.192,0.314,0.135,1606228790.914
274,0.216,0.515,0.297,0.882,0.314,0.174,0.27,0.179,0.347,0.152,1606228791.0394
275,0.239,0.613,0.264,0.886,0.347,0.174,0.308,0.16,0.367,0.17,1606228791.164
276,0.276,0.706,0.225,0.834,0.381,0.179,0.338,0.137,0.372,0.186,1606228791.2893
