,O1/theta,O1/alpha,O1/betaL,O1/betaH,O1/gamma,O2/theta,O2/alpha,O2/betaL,O2/betaH,O2/gamma,TIME
0,1.302,0.809,1.164,0.723,0.473,0.751,0.488,0.954,0.315,0.317,1606228652.1579
1,1.414,1.125,1.308,0.779,0.56,0.896,0.675,1.146,0.39,0.357,1606228652.2834
2,1.448,1.388,1.394,0.78,0.609,0.985,0.855,1.266,0.459,0.379,1606228652.4084
3,1.372,1.528,1.389,0.722,0.604,0.98,0.961,1.276,0.498,0.376,1606228652.533
4,1.184,1.522,1.285,0.621,0.546,0.879,0.958,1.177,0.491,0.344,1606228652.6584
5,0.956,1.392,1.106,0.51,0.459,0.729,0.857,1.007,0.444,0.293,1606228652.7838
6,0.755,1.197,0.895,0.418,0.37,0.591,0.711,0.82,0.374,0.236,1606228652.9085
7,0.624,0.999,0.698,0.366,0.306,0.492,0.581,0.658,0.307,0.187,1606228653.0336
8,0.568,0.846,0.543,0.356,0.276,0.446,0.512,0.533,0.264,0.154,1606228653.1592
9,0.565,0.75,0.441,0.374,0.276,0.427,0.52,0.442,0.252,0.139,1606228653.2841
10,0.565,0.697,0.392,0.4,0.291,0.409,0.585,0.383,0.262,0.136,1606228653.4091
11,0.55,0.659,0.391,0.42,0.307,0.387,0.666,0.36,0.277,0.141,1606228653.5347
12,0.53,0.617,0.428,0.422,0.317,0.373,0.719,0.372,0.288,0.153,1606228653.6596
13,0.513,0.562,0.481,0.409,0.317,0.377,0.717,0.406,0.289,0.169,1606228653.7846
14,0.501,0.486,0.519,0.389,0.304,0.382,0.651,0.44,0.289,0.188,1606228653.91
15,0.49,0.394,0.516,0.37,0.284,0.376,0.537,0.453,0.29,0.205,1606228654.0351
16,0.475,0.308,0.467,0.358,0.263,0.357,0.408,0.443,0.296,0.219,1606228654.1603
17,0.458,0.261,0.397,0.357,0.252,0.334,0.298,0.427,0.302,0.227,1606228654.2856
18,0.45,0.278,0.342,0.366,0.255,0.323,0.232,0.428,0.306,0.23,1606228654.4108
19,0.452,0.359,0.326,0.38,0.272,0.333,0.221,0.466,0.307,0.23,1606228654.5354
20,0.455,0.48,0.35,0.392,0.291,0.355,0.254,0.537,0.305,0.226,1606228654.6607
21,0.443,0.597,0.398,0.392,0.301,0.378,0.306,0.617,0.303,0.22,1606228654.786
22,0.407,0.67,0.445,0.377,0.296,0.383,0.35,0.667,0.3,0.212,1606228654.9109
23,0.365,0.679,0.475,0.345,0.278,0.371,0.375,0.661,0.294,0.2,1606228655.036
24,0.585,0.83,0.176,0.608,0.366,0.783,0.854,0.276,0.271,0.17,1606228674.0533
25,0.547,0.831,0.142,0.557,0.312,0.785,0.845,0.242,0.264,0.148,1606228674.1781
26,0.474,0.88,0.121,0.523,0.275,0.728,0.803,0.209,0.264,0.133,1606228674.3036
