,O1/theta,O1/alpha,O1/betaL,O1/betaH,O1/gamma,O2/theta,O2/alpha,O2/betaL,O2/betaH,O2/gamma,TIME
27,0.395,0.926,0.114,0.506,0.26,0.636,0.746,0.187,0.279,0.13,1606228674.4288
28,0.339,0.916,0.116,0.494,0.268,0.541,0.693,0.18,0.306,0.138,1606228674.5535
29,0.321,0.833,0.122,0.473,0.296,0.464,0.657,0.182,0.336,0.15,1606228674.6788
30,0.338,0.696,0.133,0.438,0.334,0.417,0.647,0.188,0.352,0.159,1606228674.8043
31,0.364,0.564,0.158,0.393,0.374,0.39,0.663,0.197,0.349,0.159,1606228674.929
32,0.376,0.497,0.205,0.349,0.409,0.371,0.695,0.211,0.327,0.154,1606228675.0543
33,0.364,0.525,0.269,0.311,0.435,0.351,0.731,0.229,0.294,0.15,1606228675.1797
34,0.35,0.631,0.34,0.281,0.451,0.351,0.762,0.25,0.256,0.152,1606228675.3044
35,0.351,0.761,0.396,0.258,0.462,0.379,0.779,0.267,0.222,0.159,1606228675.4296
36,0.37,0.859,0.416,0.243,0.48,0.44,0.78,0.275,0.191,0.171,1606228675.555
37,0.398,0.902,0.394,0.239,0.512,0.518,0.764,0.271,0.166,0.183,1606228675.6797
38,0.415,0.91,0.344,0.25,0.561,0.588,0.731,0.255,0.147,0.193,1606228675.8048
39,0.418,0.928,0.288,0.278,0.62,0.628,0.686,0.233,0.137,0.202,1606228675.9303
40,0.401,0.987,0.251,0.315,0.678,0.625,0.633,0.211,0.138,0.212,1606228676.0552
41,0.371,1.077,0.242,0.353,0.721,0.583,0.574,0.195,0.148,0.224,1606228676.1801
42,0.342,1.159,0.253,0.386,0.738,0.521,0.502,0.19,0.162,0.235,1606228676.3055
43,0.327,1.178,0.266,0.406,0.726,0.462,0.42,0.196,0.17,0.241,1606228676.4304
44,0.337,1.103,0.27,0.412,0.685,0.421,0.337,0.211,0.17,0.238,1606228676.5554
45,0.374,0.942,0.269,0.403,0.621,0.401,0.274,0.228,0.162,0.226,1606228676.6808
46,0.429,0.74,0.272,0.382,0.541,0.397,0.24,0.242,0.153,0.21,1606228676.8059
47,0.481,0.545,0.286,0.353,0.458,0.39,0.227,0.251,0.144,0.193,1606228676.9307
48,0.266,0.13,0.979,0.583,0.624,0.342,0.459,0.336,0.221,0.405,1606228683.4374
49,0.328,0.136,0.915,0.638,0.768,0.374,0.484,0.354,0.287,0.481,1606228683.5622
50,0.397,0.146,0.795,0.662,0.929,0.376,0.53,0.37,0.364,0.574,1606228683.6873
51,0.463,0.157,0.65,0.657,1.066,0.359,0.585,0.381,0.435,0.666,1606228683.8128
52,0.512,0.171,0.507,0.638,1.14,0.333,0.625,0.386,0.482,0.728,1606228683.9376
53,0.543,0.193,0.391,0.62,1.13,0.311,0.639,0.387,0.493,0.738,1606228684.0625
54,0.548,0.228,0.31,0.607,1.042,0.292,0.622,0.39,0.464,0.686,1606228684.1878
55,0.525,0.272,0.264,0.597,0.906,0.276,0.593,0.409,0.406,0.582,1606228684.3131
56,0.478,0.319,0.251,0.586,0.761,0.26,0.574,0.459,0.338,0.451,1606228684.4378
57,0.417,0.365,0.265,0.576,0.641,0.242,0.58,0.541,0.285,0.323,1606228684.5631
58,0.35,0.408,0.295,0.571,0.56,0.217,0.606,0.634,0.26,0.221,1606228684.6883
59,0.293,0.452,0.324,0.579,0.514,0.19,0.636,0.704,0.267,0.155,1606228684.8133
60,0.259,0.5,0.334,0.595,0.486,0.171,0.648,0.723,0.293,0.123,1606228684.9386
61,0.257,0.549,0.318,0.605,0.463,0.169,0.626,0.678,0.316,0.114,1606228685.064
62,0.289,0.593,0.281,0.597,0.443,0.186,0.571,0.585,0.318,0.118,1606228685.1887
63,0.345,0.621,0.235,0.564,0.43,0.216,0.488,0.475,0.294,0.128,1606228685.3138
64,0.405,0.628,0.196,0.513,0.425,0.246,0.392,0.38,0.251,0.139,1606228685.4393
65,0.451,0.608,0.171,0.46,0.424,0.262,0.3,0.331,0.202,0.15,1606228685.564
66,0.464,0.564,0.163,0.422,0.422,0.262,0.227,0.334,0.159,0.159,1606228685.6891
67,0.444,0.516,0.165,0.409,0.415,0.25,0.182,0.37,0.133,0.166,1606228685.8145
68,0.407,0.502,0.171,0.42,0.402,0.238,0.167,0.41,0.127,0.171,1606228685.9394
69,0.38,0.562,0.181,0.444,0.385,0.236,0.177,0.43,0.135,0.175,1606228686.0644
70,0.388,0.707,0.198,0.468,0.364,0.248,0.203,0.426,0.151,0.177,1606228686.1898
71,0.428,0.909,0.225,0.489,0.342,0.265,0.232,0.41,0.169,0.179,1606228686.3147
72,0.323,0.337,0.412,0.226,0.553,0.428,0.449,0.301,0.124,0.218,1606228689.6925
73,0.289,0.313,0.384,0.22,0.561,0.39,0.384,0.34,0.112,0.217,1606228689.8175
74,0.295,0.302,0.362,0.239,0.582,0.344,0.336,0.425,0.12,0.21,1606228689.9424
75,0.338,0.315,0.346,0.277,0.604,0.296,0.318,0.551,0.142,0.199,1606228690.0679
76,0.398,0.369,0.336,0.325,0.622,0.253,0.332,0.701,0.172,0.19,1606228690.193
77,0.445,0.472,0.329,0.377,0.641,0.221,0.367,0.841,0.202,0.192,1606228690.3177
78,0.454,0.609,0.318,0.428,0.668,0.203,0.409,0.934,0.223,0.208,1606228690.4432
79,0.422,0.741,0.303,0.481,0.71,0.203,0.439,0.953,0.235,0.238,1606228690.5686
80,0.36,0.827,0.293,0.548,0.766,0.215,0.442,0.896,0.241,0.279,1606228690.6931
81,0.286,0.852,0.295,0.644,0.821,0.237,0.421,0.785,0.248,0.324,1606228690.8186
82,0.227,0.832,0.314,0.772,0.859,0.267,0.388,0.657,0.261,0.362,1606228690.944
83,0.197,0.806,0.344,0.924,0.864,0.301,0.364,0.545,0.283,0.388,1606228691.0687
84,0.205,0.811,0.382,1.073,0.831,0.338,0.363,0.468,0.311,0.398,1606228691.194
85,0.244,0.871,0.452,1.179,0.768,0.371,0.396,0.43,0.339,0.395,1606228691.3196
86,0.301,0.996,0.589,1.212,0.688,0.395,0.462,0.42,0.359,0.381,1606228691.4444
87,0.359,1.188,0.804,1.16,0.607,0.406,0.558,0.425,0.369,0.36,1606228691.5695
88,0.408,1.442,1.077,1.035,0.54,0.409,0.674,0.442,0.369,0.335,1606228691.6947
89,0.443,1.723,1.355,0.866,0.492,0.41,0.791,0.473,0.361,0.31,1606228691.8194
90,0.465,1.967,1.556,0.691,0.461,0.416,0.892,0.515,0.347,0.286,1606228691.9445
91,0.472,2.104,1.636,0.55,0.442,0.424,0.976,0.574,0.332,0.264,1606228692.07
92,0.468,2.092,1.604,0.468,0.429,0.429,1.054,0.678,0.317,0.243,1606228692.1951
93,0.447,1.937,1.502,0.453,0.419,0.426,1.159,0.868,0.301,0.229,1606228692.32
94,0.408,1.706,1.392,0.499,0.414,0.408,1.345,1.162,0.283,0.226,1606228692.4452
95,0.361,1.507,1.323,0.582,0.418,0.385,1.661,1.537,0.259,0.238,1606228692.5703
96,0.957,1.579,1.185,0.891,0.959,0.361,0.233,0.554,0.237,0.163,1606228708.4598
97,0.925,1.938,1.037,0.95,0.958,0.432,0.245,0.487,0.22,0.175,1606228708.5852
98,0.923,2.101,0.845,0.946,0.904,0.542,0.262,0.437,0.219,0.196,1606228708.7101
99,0.954,2.038,0.668,0.875,0.809,0.657,0.288,0.422,0.227,0.225,1606228708.835
100,0.999,1.82,0.554,0.759,0.696,0.734,0.349,0.445,0.232,0.254,1606228708.9606
101,1.044,1.582,0.524,0.635,0.595,0.751,0.478,0.49,0.225,0.274,1606228709.0855
102,1.07,1.451,0.556,0.529,0.521,0.712,0.683,0.54,0.206,0.278,1606228709.2104
103,1.067,1.468,0.609,0.453,0.476,0.643,0.933,0.581,0.18,0.267,1606228709.3358
104,1.034,1.581,0.639,0.413,0.451,0.578,1.169,0.608,0.158,0.249,1606228709.4609
105,0.969,1.681,0.639,0.406,0.438,0.542,1.333,0.628,0.145,0.236,1606228709.5858
106,0.885,1.658,0.633,0.425,0.435,0.535,1.383,0.65,0.139,0.24,1606228709.7111
107,0.819,1.475,0.646,0.458,0.44,0.547,1.327,0.674,0.14,0.262,1606228709.8362
108,0.843,1.188,0.676,0.491,0.446,0.58,1.216,0.683,0.145,0.293,1606228709.961
109,1.023,0.891,0.714,0.512,0.443,0.646,1.119,0.668,0.158,0.32,1606228710.0866
110,1.377,0.664,0.742,0.514,0.425,0.763,1.081,0.622,0.175,0.328,1606228710.2119
111,1.852,0.54,0.745,0.498,0.395,0.93,1.098,0.548,0.189,0.313,1606228710.3367
112,2.316,0.504,0.716,0.467,0.363,1.117,1.123,0.466,0.2,0.278,1606228710.4619
113,2.633,0.517,0.667,0.431,0.347,1.272,1.097,0.406,0.209,0.238,1606228710.5874
114,2.717,0.56,0.622,0.4,0.363,1.343,0.994,0.397,0.221,0.207,1606228710.7121
115,2.544,0.633,0.6,0.386,0.412,1.294,0.834,0.447,0.234,0.195,1606228710.8372
116,2.191,0.741,0.605,0.396,0.479,1.143,0.656,0.535,0.245,0.2,1606228710.9627
117,1.737,0.87,0.623,0.431,0.538,0.923,0.502,0.63,0.249,0.211,1606228711.0875
118,1.289,0.982,0.649,0.485,0.565,0.705,0.406,0.697,0.245,0.218,1606228711.2122
119,0.906,1.04,0.677,0.544,0.559,0.527,0.379,0.71,0.239,0.216,1606228711.3378
120,0.22,0.11,0.453,0.408,0.351,0.308,0.145,0.219,0.216,0.112,1606228714.7159
121,0.209,0.13,0.366,0.404,0.34,0.282,0.145,0.17,0.232,0.108,1606228714.8414
122,0.194,0.178,0.286,0.414,0.336,0.245,0.145,0.139,0.255,0.114,1606228714.9668
123,0.178,0.26,0.259,0.436,0.346,0.203,0.156,0.145,0.281,0.128,1606228715.0916
124,0.168,0.388,0.32,0.463,0.372,0.171,0.199,0.2,0.306,0.145,1606228715.2167
125,0.175,0.558,0.469,0.492,0.407,0.165,0.293,0.302,0.322,0.161,1606228715.342
126,0.199,0.75,0.677,0.517,0.442,0.188,0.434,0.435,0.323,0.172,1606228715.4666
127,0.237,0.93,0.887,0.533,0.47,0.239,0.596,0.568,0.31,0.176,1606228715.5919
128,0.281,1.063,1.041,0.535,0.489,0.294,0.731,0.669,0.286,0.173,1606228715.7174
129,0.322,1.13,1.102,0.524,0.504,0.335,0.803,0.717,0.258,0.165,1606228715.8426
130,0.35,1.143,1.06,0.505,0.522,0.344,0.797,0.702,0.232,0.154,1606228715.9676
131,0.354,1.126,0.943,0.482,0.545,0.317,0.729,0.635,0.21,0.145,1606228716.0931
132,0.329,1.105,0.803,0.454,0.573,0.262,0.635,0.541,0.191,0.143,1606228716.218
133,0.282,1.09,0.697,0.419,0.597,0.198,0.552,0.449,0.172,0.149,1606228716.3429
134,0.22,1.078,0.653,0.379,0.61,0.143,0.5,0.373,0.153,0.161,1606228716.4682
135,0.157,1.056,0.667,0.336,0.609,0.107,0.475,0.319,0.137,0.174,1606228716.5932
136,0.107,1.004,0.713,0.293,0.598,0.089,0.451,0.276,0.125,0.184,1606228716.7181
137,0.08,0.913,0.76,0.255,0.584,0.083,0.403,0.236,0.117,0.187,1606228716.8437
138,0.079,0.795,0.783,0.233,0.573,0.079,0.326,0.192,0.111,0.183,1606228716.9687
139,0.102,0.678,0.77,0.238,0.56,0.075,0.239,0.15,0.106,0.174,1606228717.0932
140,0.153,0.589,0.733,0.275,0.54,0.084,0.172,0.123,0.104,0.162,1606228717.2187
141,0.234,0.532,0.69,0.337,0.51,0.116,0.143,0.13,0.105,0.149,1606228717.3439
142,0.339,0.497,0.658,0.401,0.47,0.178,0.154,0.176,0.109,0.137,1606228717.4687
143,0.455,0.474,0.641,0.451,0.428,0.267,0.192,0.25,0.116,0.127,1606228717.594
144,0.223,0.542,0.6,0.439,0.496,0.436,0.402,0.289,0.247,0.2,1606228727.2288
145,0.241,0.551,0.715,0.37,0.486,0.431,0.392,0.271,0.227,0.18,1606228727.3533
146,0.263,0.545,0.832,0.316,0.46,0.394,0.365,0.259,0.208,0.161,1606228727.479
147,0.284,0.527,0.915,0.293,0.425,0.341,0.332,0.251,0.201,0.144,1606228727.6042
148,0.304,0.509,0.931,0.301,0.391,0.291,0.305,0.246,0.209,0.13,1606228727.7289
149,0.323,0.495,0.864,0.333,0.368,0.266,0.29,0.245,0.225,0.121,1606228727.8544
150,0.34,0.485,0.727,0.375,0.363,0.27,0.287,0.249,0.242,0.118,1606228727.9798
151,0.352,0.467,0.558,0.418,0.381,0.295,0.29,0.259,0.254,0.12,1606228728.1043
152,0.354,0.43,0.399,0.455,0.418,0.325,0.287,0.272,0.258,0.123,1606228728.2294
153,0.342,0.372,0.282,0.482,0.467,0.341,0.272,0.282,0.255,0.127,1606228728.3549
154,0.317,0.309,0.218,0.497,0.519,0.328,0.246,0.28,0.248,0.131,1606228728.48
155,0.284,0.261,0.2,0.498,0.567,0.291,0.215,0.262,0.238,0.139,1606228728.6049
156,0.252,0.246,0.212,0.483,0.604,0.246,0.189,0.233,0.225,0.153,1606228728.7303
157,0.228,0.27,0.243,0.456,0.629,0.215,0.182,0.206,0.211,0.175,1606228728.8553
158,0.215,0.327,0.283,0.429,0.644,0.209,0.201,0.19,0.195,0.202,1606228728.9804
159,0.207,0.402,0.321,0.434,0.652,0.223,0.241,0.192,0.186,0.228,1606228729.106
160,0.202,0.478,0.348,0.495,0.653,0.243,0.289,0.207,0.192,0.249,1606228729.2309
161,0.199,0.533,0.358,0.61,0.646,0.253,0.334,0.232,0.214,0.26,1606228729.3556
162,0.194,0.556,0.348,0.747,0.625,0.242,0.365,0.265,0.246,0.261,1606228729.481
163,0.186,0.544,0.326,0.86,0.59,0.207,0.382,0.307,0.278,0.253,1606228729.6063
164,0.176,0.509,0.311,0.91,0.55,0.158,0.388,0.363,0.303,0.241,1606228729.7313
165,0.165,0.464,0.325,0.878,0.514,0.11,0.387,0.429,0.316,0.229,1606228729.8565
166,0.154,0.427,0.378,0.775,0.492,0.085,0.385,0.499,0.32,0.22,1606228729.9818
167,0.143,0.422,0.465,0.636,0.482,0.094,0.399,0.562,0.318,0.212,1606228730.1064
168,0.272,1.056,0.384,0.534,0.648,0.301,0.733,0.236,0.264,0.261,1606228745.9962
169,0.311,1.047,0.458,0.552,0.772,0.376,0.692,0.293,0.242,0.319,1606228746.1219
170,0.365,0.999,0.529,0.559,0.906,0.457,0.678,0.375,0.224,0.388,1606228746.2469
171,0.436,0.918,0.581,0.553,1.034,0.538,0.687,0.476,0.218,0.457,1606228746.372
172,0.5,0.819,0.602,0.534,1.147,0.6,0.706,0.583,0.229,0.515,1606228746.4973
173,0.537,0.714,0.586,0.504,1.247,0.629,0.713,0.667,0.253,0.555,1606228746.6219
174,0.524,0.611,0.538,0.477,1.337,0.614,0.689,0.701,0.282,0.573,1606228746.7469
175,0.453,0.507,0.472,0.471,1.413,0.553,0.625,0.672,0.309,0.57,1606228746.8724
176,0.344,0.4,0.402,0.495,1.458,0.46,0.527,0.59,0.328,0.546,1606228746.9974
177,0.232,0.298,0.339,0.547,1.447,0.357,0.415,0.479,0.339,0.503,1606228747.1223
178,0.153,0.209,0.289,0.609,1.359,0.271,0.312,0.367,0.341,0.443,1606228747.2476
179,0.122,0.143,0.257,0.661,1.191,0.217,0.232,0.277,0.336,0.37,1606228747.3727
180,0.133,0.099,0.254,0.688,0.967,0.191,0.18,0.224,0.328,0.296,1606228747.4975
181,0.165,0.079,0.292,0.687,0.731,0.189,0.163,0.215,0.32,0.234,1606228747.623
182,0.204,0.095,0.371,0.671,0.532,0.207,0.213,0.241,0.313,0.195,1606228747.748
183,0.253,0.173,0.487,0.658,0.403,0.247,0.369,0.296,0.305,0.185,1606228747.8727
184,0.321,0.322,0.625,0.659,0.356,0.303,0.637,0.376,0.293,0.203,1606228747.9982
185,0.416,0.521,0.762,0.675,0.377,0.367,0.971,0.478,0.276,0.241,1606228748.1232
186,0.532,0.732,0.876,0.691,0.437,0.427,1.29,0.596,0.254,0.289,1606228748.2479
187,0.652,0.922,0.944,0.694,0.507,0.477,1.509,0.714,0.231,0.333,1606228748.3734
188,0.754,1.059,0.951,0.687,0.568,0.522,1.566,0.815,0.215,0.367,1606228748.4988
189,0.822,1.131,0.891,0.68,0.608,0.567,1.455,0.885,0.215,0.386,1606228748.6236
190,0.849,1.144,0.776,0.684,0.629,0.615,1.224,0.917,0.23,0.389,1606228748.7489
191,0.827,1.114,0.637,0.698,0.636,0.65,0.952,0.915,0.256,0.376,1606228748.8744
192,0.318,1.066,0.833,0.547,0.61,0.341,0.809,0.6,0.327,0.318,1606228752.2522
193,0.292,1.116,0.745,0.533,0.615,0.313,0.877,0.587,0.297,0.315,1606228752.3777
194,0.279,1.13,0.638,0.488,0.619,0.313,0.937,0.545,0.268,0.325,1606228752.5025
195,0.278,1.106,0.527,0.422,0.616,0.334,0.962,0.479,0.241,0.344,1606228752.6278
196,0.276,1.054,0.428,0.355,0.607,0.355,0.926,0.397,0.219,0.365,1606228752.7532
197,0.263,0.998,0.365,0.3,0.596,0.36,0.823,0.318,0.206,0.383,1606228752.878
198,0.235,0.953,0.367,0.267,0.591,0.347,0.672,0.258,0.205,0.394,1606228753.0027
199,0.201,0.913,0.451,0.251,0.592,0.335,0.505,0.225,0.212,0.394,1606228753.1281
200,0.183,0.861,0.61,0.244,0.596,0.351,0.359,0.224,0.221,0.383,1606228753.2531
201,0.201,0.789,0.813,0.244,0.602,0.411,0.261,0.252,0.226,0.361,1606228753.3779
202,0.261,0.712,1.01,0.251,0.609,0.516,0.228,0.3,0.225,0.33,1606228753.5032
203,0.344,0.652,1.145,0.266,0.621,0.634,0.259,0.348,0.22,0.296,1606228753.6282
204,0.42,0.623,1.178,0.286,0.637,0.721,0.345,0.378,0.215,0.267,1606228753.7531
205,0.466,0.628,1.095,0.307,0.651,0.748,0.465,0.377,0.213,0.249,1606228753.8787
206,0.473,0.661,0.919,0.325,0.653,0.709,0.607,0.344,0.212,0.244,1606228754.0041
207,0.446,0.704,0.7,0.335,0.628,0.625,0.748,0.292,0.211,0.248,1606228754.1288
208,0.401,0.733,0.503,0.331,0.574,0.526,0.859,0.238,0.206,0.257,1606228754.2541
209,0.357,0.731,0.375,0.314,0.503,0.44,0.91,0.198,0.196,0.266,1606228754.3793
210,0.321,0.692,0.336,0.289,0.435,0.371,0.883,0.181,0.184,0.273,1606228754.5038
211,0.291,0.621,0.369,0.27,0.386,0.315,0.779,0.187,0.174,0.273,1606228754.6292
212,0.262,0.525,0.434,0.269,0.361,0.261,0.625,0.209,0.167,0.265,1606228754.7546
213,0.23,0.415,0.499,0.289,0.353,0.213,0.463,0.238,0.165,0.252,1606228754.8793
214,0.199,0.305,0.541,0.322,0.348,0.176,0.327,0.27,0.164,0.234,1606228755.0044
215,0.184,0.213,0.549,0.354,0.34,0.165,0.236,0.308,0.163,0.219,1606228755.1298
216,0.272,0.543,0.876,0.49,0.496,0.071,0.433,0.298,0.179,0.122,1606228771.0199
217,0.258,0.624,0.724,0.471,0.523,0.068,0.536,0.319,0.213,0.141,1606228771.1448
218,0.229,0.632,0.55,0.479,0.537,0.081,0.591,0.323,0.247,0.155,1606228771.2702
219,0.191,0.573,0.399,0.514,0.529,0.108,0.584,0.308,0.267,0.162,1606228771.3951
220,0.158,0.484,0.304,0.571,0.499,0.15,0.533,0.282,0.268,0.163,1606228771.52
221,0.14,0.412,0.269,0.633,0.458,0.206,0.477,0.259,0.248,0.161,1606228771.6455
222,0.146,0.391,0.28,0.677,0.418,0.271,0.454,0.245,0.216,0.16,1606228771.7704
223,0.169,0.425,0.315,0.686,0.392,0.335,0.477,0.241,0.182,0.161,1606228771.8955
224,0.203,0.484,0.355,0.659,0.382,0.392,0.534,0.24,0.158,0.163,1606228772.0209
225,0.244,0.537,0.376,0.613,0.384,0.442,0.593,0.232,0.155,0.163,1606228772.1462
226,0.293,0.56,0.366,0.578,0.395,0.492,0.629,0.212,0.182,0.16,1606228772.2713
227,0.344,0.557,0.322,0.58,0.413,0.543,0.642,0.182,0.235,0.157,1606228772.3966
228,0.389,0.545,0.254,0.624,0.445,0.593,0.653,0.159,0.301,0.163,1606228772.5217
229,0.419,0.539,0.184,0.69,0.496,0.628,0.684,0.165,0.363,0.184,1606228772.6469
230,0.43,0.541,0.139,0.743,0.561,0.636,0.737,0.205,0.404,0.22,1606228772.772
231,0.42,0.54,0.136,0.758,0.627,0.604,0.798,0.271,0.418,0.262,1606228772.8974
232,0.393,0.527,0.18,0.726,0.684,0.534,0.854,0.342,0.407,0.3,1606228773.022
233,0.355,0.51,0.261,0.657,0.728,0.443,0.907,0.397,0.38,0.323,1606228773.1471
234,0.312,0.503,0.36,0.571,0.762,0.354,0.963,0.424,0.346,0.332,1606228773.2726
235,0.265,0.512,0.46,0.486,0.797,0.282,1.018,0.425,0.313,0.339,1606228773.3976
236,0.217,0.54,0.554,0.419,0.84,0.233,1.062,0.413,0.287,0.354,1606228773.5225
237,0.172,0.585,0.637,0.378,0.888,0.212,1.084,0.403,0.269,0.38,1606228773.6478
238,0.144,0.645,0.701,0.365,0.922,0.212,1.078,0.403,0.26,0.408,1606228773.7726
239,0.141,0.721,0.737,0.375,0.924,0.221,1.055,0.415,0.259,0.423,1606228773.8975
240,0.261,0.405,0.273,0.832,0.462,0.237,0.348,0.134,0.09,0.093,1606228780.4038
241,0.276,0.43,0.328,0.842,0.477,0.243,0.397,0.141,0.103,0.086,1606228780.5283
242,0.291,0.481,0.394,0.786,0.501,0.253,0.438,0.152,0.112,0.082,1606228780.6536
243,0.3,0.556,0.452,0.681,0.531,0.256,0.458,0.16,0.117,0.086,1606228780.7789
244,0.311,0.645,0.489,0.552,0.562,0.255,0.461,0.174,0.119,0.102,1606228780.9036
245,0.336,0.742,0.497,0.43,0.589,0.267,0.472,0.207,0.122,0.131,1606228781.0289
246,0.383,0.842,0.478,0.333,0.606,0.31,0.523,0.267,0.127,0.17,1606228781.1543
247,0.439,0.936,0.439,0.267,0.608,0.38,0.627,0.352,0.136,0.212,1606228781.2788
248,0.485,1.012,0.385,0.23,0.592,0.459,0.765,0.445,0.151,0.247,1606228781.4042
249,0.51,1.058,0.327,0.215,0.558,0.524,0.897,0.523,0.168,0.268,1606228781.5296
250,0.519,1.075,0.278,0.212,0.511,0.562,0.98,0.568,0.184,0.27,1606228781.6543
251,0.528,1.071,0.252,0.217,0.459,0.572,0.994,0.58,0.196,0.258,1606228781.7794
252,0.553,1.05,0.263,0.23,0.413,0.563,0.944,0.58,0.204,0.241,1606228781.9048
253,0.596,1.009,0.316,0.253,0.382,0.544,0.851,0.594,0.209,0.228,1606228782.0296
254,0.64,0.938,0.406,0.287,0.368,0.522,0.754,0.635,0.216,0.226,1606228782.1547
255,0.652,0.834,0.525,0.33,0.367,0.493,0.686,0.697,0.227,0.234,1606228782.2801
256,0.61,0.7,0.654,0.378,0.369,0.462,0.671,0.763,0.239,0.251,1606228782.405
257,0.515,0.548,0.771,0.42,0.369,0.429,0.704,0.805,0.25,0.269,1606228782.5299
258,0.398,0.403,0.858,0.449,0.367,0.401,0.756,0.807,0.258,0.286,1606228782.6553
259,0.297,0.29,0.898,0.462,0.368,0.385,0.797,0.768,0.263,0.296,1606228782.7806
260,0.228,0.219,0.877,0.462,0.372,0.375,0.798,0.695,0.269,0.296,1606228782.9056
261,0.19,0.181,0.795,0.455,0.374,0.356,0.741,0.601,0.278,0.285,1606228783.0308
262,0.171,0.163,0.664,0.441,0.371,0.318,0.631,0.503,0.288,0.265,1606228783.1559
263,0.159,0.151,0.513,0.417,0.367,0.266,0.49,0.411,0.292,0.239,1606228783.2808
264,0.221,0.853,0.701,0.605,0.49,0.24,0.579,0.582,0.362,0.349,1606228796.0445
265,0.269,0.824,0.699,0.511,0.508,0.265,0.589,0.548,0.3,0.354,1606228796.1699
266,0.311,0.855,0.698,0.439,0.518,0.271,0.673,0.527,0.254,0.347,1606228796.2944
267,0.334,0.95,0.682,0.391,0.515,0.255,0.828,0.521,0.236,0.328,1606228796.4195
268,0.343,1.081,0.645,0.363,0.504,0.227,1.022,0.532,0.247,0.303,1606228796.5448
269,0.342,1.192,0.591,0.348,0.496,0.203,1.197,0.556,0.283,0.28,1606228796.6696
270,0.339,1.231,0.526,0.347,0.499,0.196,1.296,0.58,0.33,0.263,1606228796.7948
271,0.335,1.176,0.461,0.364,0.511,0.208,1.294,0.592,0.375,0.252,1606228796.9204
272,0.325,1.047,0.399,0.401,0.521,0.23,1.198,0.582,0.407,0.242,1606228797.0458
273,0.306,0.888,0.342,0.455,0.517,0.245,1.039,0.544,0.419,0.227,1606228797.1708
274,0.274,0.741,0.293,0.513,0.493,0.238,0.855,0.483,0.406,0.204,1606228797.296
275,0.233,0.62,0.252,0.559,0.453,0.211,0.677,0.409,0.369,0.173,1606228797.4209
276,0.193,0.527,0.219,0.58,0.412,0.176,0.529,0.334,0.317,0.143,1606228797.5456
