,O1/theta,O1/alpha,O1/betaL,O1/betaH,O1/gamma,O2/theta,O2/alpha,O2/betaL,O2/betaH,O2/gamma,TIME
74,0.293,0.962,0.971,0.292,0.41,0.518,1.98,0.395,0.22,0.195,1606228699.3268
75,0.355,0.953,1.121,0.294,0.414,0.557,2.011,0.433,0.188,0.194,1606228699.4517
76,0.412,0.918,1.198,0.327,0.432,0.563,1.888,0.464,0.165,0.189,1606228699.5772
77,0.436,0.832,1.166,0.376,0.464,0.519,1.601,0.464,0.144,0.188,1606228699.7024
78,0.415,0.706,1.03,0.427,0.516,0.428,1.204,0.422,0.125,0.202,1606228699.8273
79,0.364,0.585,0.833,0.466,0.583,0.319,0.799,0.345,0.108,0.237,1606228699.9528
80,0.303,0.518,0.637,0.488,0.651,0.223,0.478,0.257,0.097,0.293,1606228700.0776
81,0.252,0.533,0.497,0.496,0.701,0.163,0.283,0.186,0.093,0.355,1606228700.2023
82,0.22,0.62,0.445,0.497,0.715,0.137,0.197,0.148,0.094,0.409,1606228700.3278
83,0.202,0.734,0.487,0.505,0.687,0.129,0.171,0.143,0.096,0.443,1606228700.4531
84,0.187,0.822,0.592,0.531,0.628,0.117,0.163,0.162,0.102,0.452,1606228700.578
85,0.172,0.855,0.711,0.575,0.565,0.098,0.156,0.191,0.111,0.441,1606228700.7035
86,0.158,0.833,0.805,0.631,0.528,0.078,0.146,0.219,0.124,0.417,1606228700.8287
87,0.148,0.782,0.846,0.685,0.539,0.062,0.134,0.237,0.141,0.387,1606228700.9534
88,0.142,0.739,0.823,0.724,0.598,0.049,0.12,0.239,0.157,0.351,1606228701.0788
89,0.142,0.736,0.75,0.74,0.685,0.039,0.104,0.225,0.167,0.31,1606228701.204
90,0.151,0.779,0.66,0.73,0.767,0.029,0.095,0.212,0.174,0.266,1606228701.3288
91,0.179,0.843,0.597,0.707,0.818,0.031,0.112,0.248,0.191,0.228,1606228701.454
92,0.227,0.889,0.599,0.689,0.824,0.056,0.174,0.381,0.231,0.211,1606228701.5795
93,0.286,0.888,0.67,0.693,0.789,0.103,0.288,0.624,0.295,0.219,1606228701.7042
94,0.346,0.834,0.769,0.719,0.725,0.162,0.437,0.936,0.371,0.249,1606228701.8293
95,0.389,0.739,0.847,0.753,0.649,0.215,0.583,1.229,0.435,0.284,1606228701.9547
96,0.294,0.816,0.681,0.431,0.426,0.231,1.121,0.525,0.305,0.286,1606228705.3321
97,0.315,0.666,0.689,0.412,0.398,0.2,0.899,0.56,0.287,0.272,1606228705.4578
98,0.369,0.602,0.696,0.422,0.373,0.195,0.759,0.638,0.278,0.249,1606228705.5826
99,0.448,0.584,0.697,0.448,0.363,0.219,0.692,0.734,0.283,0.224,1606228705.7074
100,0.53,0.571,0.688,0.477,0.372,0.259,0.685,0.832,0.298,0.204,1606228705.8328
101,0.596,0.549,0.66,0.493,0.395,0.305,0.733,0.91,0.319,0.189,1606228705.9576
102,0.635,0.529,0.611,0.485,0.424,0.345,0.822,0.954,0.335,0.179,1606228706.0827
103,0.643,0.52,0.551,0.452,0.451,0.367,0.918,0.965,0.339,0.171,1606228706.2082
104,0.618,0.523,0.49,0.4,0.475,0.366,0.983,0.955,0.326,0.166,1606228706.3332
105,0.562,0.537,0.441,0.339,0.497,0.339,1.003,0.932,0.298,0.17,1606228706.4581
106,0.478,0.558,0.411,0.285,0.52,0.291,0.989,0.893,0.266,0.186,1606228706.5836
107,0.381,0.588,0.4,0.251,0.55,0.233,0.969,0.837,0.24,0.215,1606228706.7088
108,0.287,0.625,0.404,0.25,0.588,0.183,0.955,0.77,0.229,0.249,1606228706.8333
109,0.216,0.658,0.416,0.284,0.633,0.152,0.933,0.701,0.234,0.279,1606228706.9586
110,0.179,0.665,0.438,0.345,0.674,0.142,0.879,0.639,0.248,0.295,1606228707.0841
111,0.175,0.63,0.469,0.422,0.697,0.146,0.776,0.583,0.265,0.292,1606228707.2087
112,0.2,0.549,0.513,0.5,0.697,0.159,0.631,0.528,0.278,0.27,1606228707.334
113,0.253,0.435,0.561,0.565,0.675,0.18,0.469,0.475,0.285,0.236,1606228707.4592
114,0.34,0.318,0.607,0.599,0.643,0.212,0.327,0.437,0.292,0.201,1606228707.5841
115,0.461,0.224,0.662,0.598,0.616,0.255,0.233,0.434,0.301,0.173,1606228707.7093
116,0.611,0.18,0.752,0.579,0.612,0.299,0.192,0.471,0.314,0.158,1606228707.8347
117,0.771,0.225,0.889,0.573,0.648,0.333,0.191,0.534,0.323,0.153,1606228707.9594
118,0.906,0.395,1.051,0.607,0.722,0.345,0.206,0.595,0.32,0.154,1606228708.0845
119,0.981,0.706,1.187,0.686,0.818,0.34,0.217,0.625,0.3,0.156,1606228708.2099
120,0.648,0.434,0.654,0.478,0.374,0.456,0.27,0.387,0.133,0.113,1606228717.8439
121,0.695,0.428,0.673,0.464,0.367,0.514,0.287,0.404,0.141,0.109,1606228717.9694
122,0.7,0.443,0.696,0.448,0.371,0.526,0.282,0.374,0.15,0.106,1606228718.0949
123,0.675,0.484,0.718,0.44,0.381,0.492,0.261,0.305,0.159,0.101,1606228718.2196
124,0.636,0.552,0.73,0.443,0.395,0.422,0.235,0.218,0.169,0.094,1606228718.3447
125,0.601,0.637,0.727,0.453,0.411,0.344,0.217,0.139,0.179,0.086,1606228718.4702
126,0.583,0.715,0.705,0.462,0.428,0.284,0.217,0.087,0.186,0.082,1606228718.5951
127,0.584,0.767,0.66,0.459,0.446,0.261,0.235,0.067,0.186,0.087,1606228718.7202
128,0.605,0.782,0.595,0.445,0.467,0.274,0.269,0.071,0.178,0.102,1606228718.8454
129,0.644,0.76,0.518,0.422,0.488,0.309,0.314,0.088,0.164,0.126,1606228718.9707
130,0.696,0.713,0.445,0.396,0.507,0.345,0.361,0.11,0.146,0.154,1606228719.0958
131,0.742,0.656,0.391,0.37,0.519,0.363,0.395,0.137,0.129,0.178,1606228719.2211
132,0.764,0.608,0.359,0.346,0.518,0.352,0.402,0.165,0.116,0.192,1606228719.3462
133,0.756,0.574,0.34,0.323,0.507,0.31,0.378,0.193,0.106,0.196,1606228719.4708
134,0.723,0.552,0.32,0.302,0.491,0.252,0.328,0.219,0.099,0.192,1606228719.596
135,0.69,0.533,0.284,0.282,0.477,0.199,0.273,0.239,0.095,0.185,1606228719.7211
136,0.678,0.512,0.234,0.267,0.467,0.172,0.24,0.252,0.099,0.178,1606228719.846
137,0.689,0.493,0.18,0.258,0.455,0.183,0.25,0.258,0.112,0.172,1606228719.9713
138,0.709,0.484,0.136,0.255,0.434,0.224,0.309,0.261,0.133,0.164,1606228720.0966
139,0.717,0.489,0.112,0.251,0.402,0.275,0.403,0.268,0.159,0.153,1606228720.222
140,0.696,0.498,0.106,0.241,0.365,0.311,0.497,0.282,0.185,0.138,1606228720.3472
141,0.646,0.498,0.112,0.223,0.344,0.316,0.559,0.302,0.207,0.124,1606228720.4726
142,0.582,0.477,0.131,0.199,0.359,0.288,0.567,0.324,0.222,0.117,1606228720.5972
143,0.519,0.437,0.157,0.182,0.419,0.236,0.518,0.342,0.227,0.12,1606228720.7221
144,0.535,0.617,0.305,0.378,0.477,0.45,0.382,0.336,0.261,0.198,1606228736.6128
145,0.52,0.56,0.286,0.384,0.492,0.441,0.345,0.322,0.252,0.189,1606228736.7376
146,0.482,0.488,0.289,0.388,0.506,0.424,0.328,0.295,0.254,0.184,1606228736.8623
147,0.439,0.416,0.309,0.39,0.513,0.403,0.326,0.258,0.267,0.182,1606228736.988
148,0.408,0.355,0.341,0.394,0.515,0.393,0.334,0.218,0.29,0.179,1606228737.113
149,0.389,0.31,0.38,0.405,0.514,0.399,0.344,0.184,0.318,0.178,1606228737.2378
150,0.376,0.278,0.423,0.425,0.515,0.422,0.345,0.168,0.344,0.181,1606228737.3633
151,0.357,0.257,0.462,0.456,0.526,0.45,0.323,0.173,0.359,0.192,1606228737.4887
152,0.33,0.247,0.487,0.493,0.546,0.474,0.278,0.199,0.361,0.21,1606228737.6132
153,0.301,0.248,0.493,0.541,0.566,0.484,0.223,0.238,0.349,0.231,1606228737.7385
154,0.278,0.259,0.476,0.603,0.576,0.48,0.179,0.28,0.331,0.247,1606228737.8638
155,0.271,0.283,0.444,0.678,0.57,0.461,0.164,0.316,0.315,0.255,1606228737.9885
156,0.281,0.318,0.408,0.756,0.555,0.433,0.185,0.337,0.303,0.254,1606228738.1138
157,0.294,0.36,0.386,0.819,0.543,0.393,0.235,0.339,0.294,0.248,1606228738.2392
158,0.3,0.405,0.396,0.851,0.549,0.342,0.304,0.325,0.282,0.243,1606228738.3637
159,0.298,0.45,0.447,0.843,0.586,0.288,0.381,0.312,0.266,0.248,1606228738.4893
160,0.289,0.493,0.529,0.795,0.651,0.239,0.467,0.318,0.248,0.266,1606228738.6147
161,0.284,0.536,0.621,0.721,0.733,0.202,0.562,0.356,0.232,0.294,1606228738.7396
162,0.293,0.597,0.693,0.64,0.812,0.19,0.67,0.42,0.221,0.325,1606228738.8646
163,0.329,0.693,0.721,0.576,0.866,0.213,0.786,0.493,0.221,0.347,1606228738.9902
164,0.394,0.821,0.698,0.548,0.88,0.274,0.893,0.549,0.23,0.352,1606228739.1151
165,0.482,0.948,0.636,0.558,0.853,0.365,0.965,0.575,0.244,0.338,1606228739.24
166,0.577,1.027,0.56,0.594,0.793,0.471,0.977,0.577,0.254,0.307,1606228739.3654
167,0.658,1.019,0.499,0.631,0.713,0.567,0.928,0.574,0.255,0.266,1606228739.4903
168,0.702,0.747,0.468,0.619,0.569,0.63,0.735,0.613,0.228,0.199,1606228739.7409
169,0.656,0.557,0.479,0.557,0.533,0.578,0.658,0.64,0.211,0.183,1606228739.8662
170,0.576,0.39,0.483,0.48,0.526,0.484,0.617,0.64,0.198,0.176,1606228739.991
171,0.48,0.274,0.467,0.418,0.539,0.377,0.601,0.593,0.198,0.177,1606228740.1162
172,0.387,0.21,0.428,0.399,0.561,0.281,0.588,0.501,0.215,0.182,1606228740.2419
173,0.308,0.181,0.379,0.435,0.581,0.214,0.556,0.386,0.249,0.19,1606228740.3664
174,0.245,0.168,0.338,0.519,0.592,0.179,0.498,0.277,0.295,0.199,1606228740.4915
175,0.199,0.163,0.311,0.624,0.591,0.164,0.417,0.192,0.343,0.207,1606228740.617
176,0.175,0.17,0.3,0.722,0.585,0.161,0.327,0.138,0.383,0.215,1606228740.7416
177,0.175,0.196,0.3,0.784,0.586,0.164,0.252,0.113,0.41,0.228,1606228740.867
178,0.193,0.243,0.307,0.796,0.603,0.175,0.206,0.115,0.418,0.249,1606228740.9925
179,0.219,0.31,0.32,0.755,0.636,0.198,0.192,0.15,0.407,0.282,1606228741.1171
180,0.245,0.391,0.342,0.675,0.672,0.242,0.203,0.214,0.382,0.324,1606228741.242
181,0.269,0.478,0.379,0.575,0.697,0.3,0.23,0.299,0.349,0.365,1606228741.3676
182,0.285,0.563,0.442,0.479,0.7,0.352,0.265,0.387,0.316,0.395,1606228741.4922
183,0.288,0.638,0.538,0.402,0.678,0.378,0.301,0.462,0.287,0.406,1606228741.6171
184,0.277,0.7,0.669,0.347,0.634,0.371,0.335,0.517,0.268,0.395,1606228741.7425
185,0.256,0.755,0.818,0.315,0.577,0.342,0.377,0.555,0.255,0.363,1606228741.8673
186,0.242,0.811,0.948,0.3,0.513,0.314,0.432,0.58,0.247,0.321,1606228741.9923
187,0.254,0.874,1.022,0.294,0.449,0.304,0.5,0.592,0.236,0.275,1606228742.118
188,0.296,0.941,1.017,0.293,0.398,0.318,0.574,0.587,0.221,0.234,1606228742.2428
189,0.355,0.993,0.933,0.297,0.382,0.342,0.633,0.563,0.202,0.205,1606228742.3678
190,0.404,1.007,0.802,0.304,0.418,0.359,0.664,0.524,0.183,0.192,1606228742.4933
191,0.42,0.968,0.67,0.315,0.51,0.353,0.664,0.482,0.169,0.196,1606228742.6187
192,0.237,0.388,0.289,0.285,0.564,0.262,0.498,0.338,0.114,0.168,1606228758.5076
193,0.256,0.466,0.268,0.313,0.624,0.283,0.401,0.286,0.11,0.176,1606228758.6331
194,0.304,0.552,0.235,0.369,0.649,0.327,0.384,0.239,0.122,0.179,1606228758.7581
195,0.377,0.638,0.206,0.442,0.636,0.378,0.442,0.214,0.147,0.179,1606228758.8832
196,0.456,0.708,0.19,0.509,0.596,0.421,0.542,0.214,0.175,0.178,1606228759.0086
197,0.516,0.75,0.184,0.55,0.548,0.437,0.639,0.227,0.197,0.179,1606228759.1338
198,0.535,0.758,0.177,0.55,0.51,0.419,0.702,0.239,0.206,0.182,1606228759.2585
199,0.5,0.735,0.164,0.51,0.488,0.365,0.714,0.236,0.201,0.187,1606228759.3838
200,0.417,0.695,0.143,0.44,0.479,0.284,0.693,0.216,0.188,0.192,1606228759.5089
201,0.316,0.669,0.123,0.358,0.472,0.2,0.687,0.183,0.171,0.196,1606228759.6336
202,0.234,0.691,0.114,0.284,0.461,0.133,0.74,0.146,0.156,0.198,1606228759.7591
203,0.201,0.782,0.119,0.233,0.443,0.096,0.869,0.117,0.145,0.199,1606228759.8844
204,0.231,0.934,0.142,0.215,0.42,0.103,1.049,0.105,0.141,0.204,1606228760.0093
205,0.304,1.109,0.183,0.23,0.398,0.152,1.228,0.121,0.143,0.215,1606228760.1343
206,0.386,1.252,0.237,0.268,0.383,0.226,1.355,0.163,0.148,0.231,1606228760.2598
207,0.45,1.32,0.293,0.323,0.378,0.305,1.401,0.225,0.157,0.252,1606228760.3849
208,0.488,1.299,0.339,0.387,0.381,0.371,1.368,0.296,0.172,0.275,1606228760.51
209,0.492,1.207,0.361,0.458,0.39,0.404,1.273,0.363,0.193,0.298,1606228760.6354
210,0.482,1.091,0.359,0.532,0.4,0.402,1.142,0.418,0.222,0.317,1606228760.7605
211,0.484,0.998,0.341,0.602,0.407,0.379,0.999,0.464,0.255,0.329,1606228760.8853
212,0.511,0.949,0.322,0.648,0.403,0.361,0.856,0.507,0.286,0.33,1606228761.0106
213,0.556,0.929,0.314,0.651,0.386,0.37,0.715,0.549,0.308,0.319,1606228761.1359
214,0.595,0.898,0.322,0.6,0.355,0.408,0.577,0.579,0.314,0.3,1606228761.2606
215,0.607,0.821,0.336,0.502,0.315,0.461,0.447,0.582,0.303,0.278,1606228761.3862
216,0.22,0.582,0.225,0.594,0.62,0.179,0.305,0.289,0.282,0.311,1606228767.892
217,0.214,0.746,0.286,0.578,0.702,0.214,0.348,0.364,0.309,0.381,1606228768.017
218,0.237,0.893,0.344,0.563,0.759,0.26,0.415,0.445,0.327,0.439,1606228768.1426
219,0.273,0.995,0.392,0.538,0.769,0.301,0.485,0.508,0.326,0.467,1606228768.2672
220,0.294,1.038,0.439,0.496,0.727,0.323,0.544,0.54,0.303,0.462,1606228768.3921
221,0.283,1.03,0.497,0.441,0.647,0.311,0.583,0.543,0.263,0.429,1606228768.5176
222,0.245,0.991,0.57,0.388,0.556,0.28,0.596,0.528,0.222,0.385,1606228768.6424
223,0.191,0.943,0.648,0.356,0.481,0.233,0.582,0.509,0.192,0.343,1606228768.7673
224,0.146,0.894,0.709,0.353,0.44,0.198,0.545,0.494,0.181,0.307,1606228768.8928
225,0.122,0.836,0.729,0.371,0.433,0.181,0.489,0.48,0.183,0.275,1606228769.0178
226,0.124,0.763,0.702,0.397,0.448,0.186,0.427,0.459,0.19,0.241,1606228769.1426
227,0.146,0.676,0.638,0.418,0.468,0.202,0.373,0.424,0.193,0.203,1606228769.2681
228,0.178,0.582,0.553,0.43,0.484,0.22,0.336,0.374,0.185,0.167,1606228769.3931
229,0.211,0.494,0.463,0.439,0.496,0.231,0.319,0.315,0.172,0.146,1606228769.5178
230,0.238,0.428,0.382,0.458,0.516,0.231,0.316,0.262,0.163,0.146,1606228769.6433
231,0.258,0.394,0.319,0.5,0.55,0.22,0.324,0.228,0.167,0.167,1606228769.7686
232,0.274,0.388,0.278,0.564,0.595,0.205,0.333,0.218,0.187,0.198,1606228769.8935
233,0.287,0.39,0.268,0.638,0.637,0.192,0.336,0.224,0.216,0.221,1606228770.0188
234,0.295,0.374,0.307,0.701,0.659,0.185,0.322,0.235,0.242,0.227,1606228770.144
235,0.297,0.33,0.408,0.735,0.65,0.181,0.289,0.241,0.251,0.21,1606228770.2687
236,0.29,0.269,0.56,0.731,0.612,0.174,0.241,0.239,0.24,0.178,1606228770.3941
237,0.28,0.223,0.731,0.692,0.557,0.16,0.198,0.235,0.211,0.142,1606228770.5195
238,0.273,0.23,0.881,0.637,0.506,0.139,0.187,0.236,0.18,0.115,1606228770.6442
239,0.272,0.301,0.967,0.579,0.476,0.112,0.227,0.248,0.158,0.103,1606228770.7693
240,0.332,0.189,0.274,0.3,0.255,0.409,0.264,0.205,0.207,0.256,1606228786.66
241,0.379,0.254,0.286,0.277,0.266,0.425,0.286,0.221,0.208,0.245,1606228786.7853
242,0.4,0.33,0.279,0.28,0.279,0.416,0.335,0.229,0.206,0.233,1606228786.9103
243,0.395,0.401,0.251,0.314,0.29,0.388,0.41,0.222,0.205,0.225,1606228787.0357
244,0.369,0.451,0.213,0.375,0.3,0.35,0.501,0.21,0.213,0.227,1606228787.1606
245,0.331,0.469,0.182,0.45,0.314,0.315,0.583,0.207,0.234,0.241,1606228787.2853
246,0.286,0.46,0.171,0.531,0.336,0.288,0.629,0.225,0.269,0.264,1606228787.4107
247,0.24,0.437,0.183,0.606,0.369,0.276,0.624,0.264,0.315,0.288,1606228787.5357
248,0.199,0.415,0.212,0.671,0.41,0.276,0.568,0.313,0.364,0.305,1606228787.6604
249,0.17,0.401,0.253,0.717,0.451,0.285,0.48,0.362,0.408,0.31,1606228787.7858
250,0.157,0.394,0.305,0.738,0.487,0.291,0.383,0.411,0.44,0.303,1606228787.9109
251,0.162,0.384,0.371,0.73,0.514,0.289,0.298,0.466,0.46,0.288,1606228788.0357
252,0.185,0.359,0.446,0.696,0.531,0.274,0.239,0.536,0.475,0.272,1606228788.1613
253,0.214,0.317,0.517,0.645,0.549,0.246,0.206,0.618,0.491,0.261,1606228788.2865
254,0.239,0.264,0.562,0.593,0.582,0.207,0.194,0.698,0.512,0.261,1606228788.4112
255,0.258,0.216,0.561,0.554,0.638,0.165,0.193,0.754,0.536,0.268,1606228788.5364
256,0.269,0.188,0.508,0.532,0.708,0.127,0.195,0.768,0.553,0.278,1606228788.6617
257,0.274,0.187,0.415,0.521,0.774,0.104,0.192,0.731,0.555,0.286,1606228788.7865
258,0.27,0.209,0.308,0.507,0.813,0.099,0.184,0.649,0.536,0.29,1606228788.9116
259,0.258,0.246,0.219,0.477,0.807,0.113,0.178,0.541,0.495,0.291,1606228789.0373
260,0.242,0.281,0.167,0.424,0.756,0.141,0.181,0.429,0.438,0.29,1606228789.1621
261,0.226,0.3,0.148,0.361,0.671,0.176,0.196,0.333,0.377,0.284,1606228789.2872
262,0.222,0.293,0.147,0.311,0.574,0.206,0.221,0.262,0.323,0.272,1606228789.4129
263,0.239,0.263,0.147,0.29,0.49,0.223,0.247,0.217,0.28,0.253,1606228789.5378
264,0.349,0.994,0.487,0.525,0.444,0.693,1.013,0.495,0.264,0.194,1606228792.9163
265,0.254,0.903,0.517,0.448,0.442,0.546,0.891,0.54,0.226,0.167,1606228793.0415
266,0.197,0.805,0.495,0.362,0.423,0.408,0.765,0.543,0.187,0.138,1606228793.1661
267,0.173,0.688,0.43,0.285,0.385,0.305,0.636,0.509,0.153,0.112,1606228793.2914
268,0.166,0.551,0.344,0.229,0.336,0.248,0.509,0.453,0.126,0.095,1606228793.4167
269,0.163,0.411,0.263,0.195,0.287,0.231,0.393,0.393,0.107,0.09,1606228793.5415
270,0.159,0.3,0.206,0.176,0.247,0.241,0.306,0.341,0.092,0.096,1606228793.6667
271,0.163,0.242,0.176,0.167,0.222,0.267,0.261,0.303,0.084,0.112,1606228793.792
272,0.182,0.24,0.174,0.168,0.213,0.298,0.257,0.279,0.083,0.132,1606228793.9167
273,0.226,0.283,0.198,0.185,0.216,0.33,0.286,0.268,0.09,0.151,1606228794.0418
274,0.288,0.348,0.249,0.222,0.238,0.356,0.329,0.27,0.107,0.167,1606228794.1673
275,0.353,0.412,0.319,0.276,0.29,0.37,0.368,0.281,0.133,0.183,1606228794.2924
276,0.403,0.46,0.396,0.345,0.382,0.369,0.391,0.297,0.17,0.206,1606228794.4173
