,O1/theta,O1/alpha,O1/betaL,O1/betaH,O1/gamma,O2/theta,O2/alpha,O2/betaL,O2/betaH,O2/gamma,TIME
0,0.598,0.75,0.959,0.85,0.64,0.63,0.54,0.099,0.244,0.518,1606228658.4138
1,0.725,0.918,1.052,0.883,0.582,0.568,0.481,0.095,0.225,0.488,1606228658.5391
2,0.809,1.082,1.081,0.868,0.529,0.494,0.476,0.122,0.219,0.47,1606228658.6645
3,0.808,1.178,1.037,0.801,0.489,0.415,0.515,0.172,0.218,0.452,1606228658.789
4,0.721,1.161,0.937,0.695,0.466,0.354,0.587,0.233,0.218,0.427,1606228658.9142
5,0.586,1.051,0.817,0.578,0.453,0.329,0.678,0.29,0.219,0.392,1606228659.0396
6,0.461,0.924,0.713,0.476,0.446,0.343,0.768,0.325,0.222,0.353,1606228659.1643
7,0.381,0.878,0.639,0.409,0.441,0.382,0.836,0.327,0.23,0.315,1606228659.2896
8,0.353,0.986,0.582,0.38,0.442,0.421,0.864,0.295,0.245,0.282,1606228659.4151
9,0.359,1.245,0.524,0.384,0.446,0.437,0.841,0.245,0.272,0.253,1606228659.5405
10,0.373,1.588,0.455,0.41,0.451,0.414,0.765,0.201,0.311,0.227,1606228659.6652
11,0.387,1.902,0.382,0.453,0.448,0.362,0.649,0.19,0.362,0.202,1606228659.7904
12,0.407,2.074,0.328,0.524,0.435,0.299,0.527,0.23,0.421,0.176,1606228659.9153
13,0.442,2.04,0.315,0.63,0.416,0.251,0.435,0.311,0.482,0.153,1606228660.0402
14,0.485,1.812,0.344,0.763,0.398,0.231,0.395,0.405,0.537,0.135,1606228660.1657
15,0.525,1.477,0.393,0.897,0.386,0.245,0.408,0.479,0.573,0.127,1606228660.2908
16,0.541,1.147,0.441,0.999,0.387,0.284,0.453,0.511,0.578,0.13,1606228660.4158
17,0.521,0.908,0.481,1.041,0.402,0.335,0.503,0.499,0.545,0.143,1606228660.5409
18,0.467,0.791,0.522,1.01,0.429,0.385,0.542,0.467,0.476,0.162,1606228660.6661
19,0.401,0.773,0.581,0.91,0.46,0.429,0.572,0.445,0.385,0.182,1606228660.791
20,0.348,0.811,0.655,0.766,0.487,0.458,0.599,0.447,0.292,0.199,1606228660.9163
21,0.322,0.871,0.736,0.614,0.508,0.466,0.629,0.465,0.22,0.216,1606228661.0416
22,0.326,0.953,0.836,0.49,0.524,0.447,0.658,0.486,0.183,0.234,1606228661.1664
23,0.348,1.088,0.978,0.42,0.537,0.407,0.676,0.504,0.186,0.254,1606228661.2916
24,0.492,0.708,0.557,0.325,0.397,0.451,0.444,0.218,0.181,0.172,1606228667.7977
25,0.489,0.765,0.595,0.359,0.434,0.469,0.3,0.188,0.18,0.175,1606228667.9226
26,0.519,0.859,0.597,0.409,0.496,0.522,0.219,0.166,0.183,0.178,1606228668.048
27,0.553,1.013,0.566,0.477,0.576,0.578,0.192,0.152,0.195,0.18,1606228668.173
28,0.563,1.233,0.512,0.555,0.662,0.599,0.204,0.146,0.212,0.186,1606228668.2978
29,0.532,1.491,0.453,0.623,0.734,0.564,0.24,0.144,0.23,0.204,1606228668.4233
30,0.462,1.717,0.402,0.659,0.776,0.479,0.285,0.147,0.244,0.236,1606228668.5485
31,0.371,1.839,0.362,0.653,0.781,0.372,0.324,0.157,0.253,0.277,1606228668.673
32,0.284,1.806,0.329,0.61,0.759,0.281,0.345,0.17,0.261,0.317,1606228668.7985
33,0.222,1.619,0.295,0.555,0.726,0.233,0.343,0.178,0.267,0.343,1606228668.924
34,0.189,1.33,0.262,0.514,0.696,0.234,0.321,0.177,0.271,0.345,1606228669.0487
35,0.176,1.021,0.238,0.505,0.676,0.265,0.287,0.173,0.268,0.323,1606228669.174
36,0.17,0.768,0.229,0.53,0.66,0.299,0.25,0.18,0.261,0.285,1606228669.2996
37,0.161,0.608,0.242,0.579,0.641,0.314,0.217,0.212,0.254,0.243,1606228669.4241
38,0.152,0.533,0.275,0.64,0.616,0.303,0.192,0.268,0.251,0.208,1606228669.5493
39,0.152,0.5,0.318,0.701,0.587,0.275,0.181,0.338,0.26,0.185,1606228669.6747
40,0.166,0.474,0.357,0.752,0.561,0.244,0.185,0.402,0.28,0.169,1606228669.7996
41,0.196,0.443,0.381,0.791,0.543,0.221,0.202,0.44,0.308,0.155,1606228669.9245
42,0.232,0.41,0.391,0.813,0.538,0.211,0.227,0.443,0.337,0.138,1606228670.05
43,0.264,0.376,0.393,0.815,0.543,0.207,0.248,0.409,0.359,0.122,1606228670.1747
44,0.281,0.337,0.391,0.801,0.554,0.196,0.257,0.351,0.368,0.114,1606228670.2997
45,0.289,0.29,0.389,0.774,0.57,0.178,0.25,0.283,0.364,0.121,1606228670.4252
46,0.298,0.245,0.39,0.735,0.591,0.161,0.228,0.222,0.349,0.144,1606228670.5501
47,0.325,0.217,0.389,0.684,0.617,0.162,0.209,0.184,0.325,0.176,1606228670.6751
48,0.288,1.248,0.281,0.497,0.666,0.469,0.812,0.384,0.208,0.214,1606228680.3095
49,0.305,1.192,0.283,0.472,0.733,0.59,0.791,0.446,0.167,0.214,1606228680.4342
50,0.337,1.125,0.302,0.433,0.779,0.766,0.76,0.531,0.149,0.217,1606228680.5593
51,0.377,1.079,0.319,0.395,0.785,0.973,0.73,0.615,0.153,0.218,1606228680.6848
52,0.421,1.071,0.322,0.368,0.742,1.155,0.712,0.663,0.173,0.214,1606228680.8095
53,0.469,1.096,0.311,0.36,0.66,1.251,0.706,0.646,0.196,0.202,1606228680.9346
54,0.519,1.132,0.299,0.369,0.559,1.223,0.713,0.563,0.213,0.185,1606228681.06
55,0.568,1.152,0.308,0.389,0.468,1.081,0.743,0.443,0.218,0.168,1606228681.1847
56,0.606,1.138,0.352,0.416,0.405,0.878,0.8,0.328,0.212,0.16,1606228681.3099
57,0.619,1.089,0.432,0.44,0.38,0.679,0.879,0.254,0.204,0.167,1606228681.4355
58,0.592,1.03,0.539,0.458,0.396,0.534,0.961,0.235,0.205,0.193,1606228681.5606
59,0.526,0.994,0.656,0.461,0.444,0.451,1.015,0.268,0.222,0.235,1606228681.6854
60,0.441,0.996,0.765,0.445,0.51,0.415,1.012,0.338,0.256,0.287,1606228681.8108
61,0.359,1.024,0.845,0.412,0.578,0.389,0.939,0.421,0.298,0.337,1606228681.9358
62,0.295,1.04,0.872,0.37,0.633,0.349,0.801,0.492,0.333,0.376,1606228682.0605
63,0.259,1.008,0.839,0.331,0.665,0.297,0.627,0.532,0.346,0.396,1606228682.1859
64,0.249,0.91,0.756,0.309,0.669,0.238,0.454,0.524,0.331,0.396,1606228682.311
65,0.255,0.759,0.645,0.309,0.649,0.181,0.322,0.469,0.294,0.378,1606228682.4361
66,0.269,0.59,0.545,0.326,0.613,0.134,0.255,0.389,0.247,0.352,1606228682.5614
67,0.281,0.438,0.49,0.345,0.569,0.102,0.252,0.311,0.202,0.327,1606228682.6867
68,0.28,0.32,0.512,0.357,0.526,0.09,0.294,0.26,0.168,0.309,1606228682.8113
69,0.262,0.236,0.611,0.367,0.491,0.102,0.354,0.247,0.147,0.302,1606228682.9366
70,0.235,0.179,0.753,0.391,0.472,0.141,0.407,0.261,0.14,0.306,1606228683.062
71,0.216,0.146,0.888,0.44,0.478,0.205,0.438,0.287,0.148,0.321,1606228683.1868
72,0.246,0.996,0.648,0.415,0.463,0.431,1.718,0.36,0.319,0.18,1606228699.0764
73,0.254,0.972,0.799,0.332,0.425,0.471,1.86,0.368,0.265,0.191,1606228699.202
