,P7,O1,O2,P8,TIME
0,4658.462,3981.026,3937.436,4372.308,1607035894.1606
1,4649.231,3970.256,3933.846,4368.205,1607035894.1684
2,4630.769,3955.385,3925.128,4370.769,1607035894.1762
3,4635.897,3958.974,3922.051,4375.385,1607035894.184
4,4651.282,3970.256,3930.769,4369.744,1607035894.1917
5,4653.333,3975.385,3936.923,4363.59,1607035894.1996
6,4642.564,3972.821,3931.282,4362.564,1607035894.2073
7,4632.821,3968.718,3922.051,4356.923,1607035894.2151
8,4636.923,3966.667,3920.513,4358.462,1607035894.2228
9,4650.256,3969.744,3934.359,4376.923,1607035894.2306
10,4651.795,3973.846,3948.718,4385.641,1607035894.2384
11,4641.538,3970.256,3938.974,4375.897,1607035894.2462
12,4641.538,3968.205,3926.154,4373.333,1607035894.2539
13,4650.769,3974.872,3935.897,4381.026,1607035894.2617
14,4653.333,3978.974,3943.59,4381.538,1607035894.2694
15,4643.59,3968.718,3932.308,4376.923,1607035894.2773
16,4633.333,3960.0,3929.231,4374.872,1607035894.285
17,4640.513,3968.205,3947.179,4379.487,1607035894.2929
18,4650.256,3975.385,3953.333,4385.128,1607035894.3007
19,4649.744,3975.385,3943.077,4386.667,1607035894.3086
20,4642.051,3970.769,3934.872,4387.692,1607035894.3165
21,4631.282,3962.051,3928.205,4383.59,1607035894.3244
22,4630.256,3962.051,3927.692,4381.026,1607035894.3322
23,4636.41,3967.179,3934.359,4383.59,1607035894.3401
24,4640.0,3965.641,3935.385,4382.051,1607035894.348
25,4643.59,3968.718,3932.821,4383.077,1607035894.3559
26,4644.615,3969.744,3935.385,4380.0,1607035894.3637
27,4629.231,3956.41,3928.205,4363.077,1607035894.3716
28,4628.718,3958.462,3922.564,4363.077,1607035894.3794
29,4649.231,3978.462,3929.231,4384.615,1607035894.3872
30,4647.179,3973.333,3930.769,4382.564,1607035894.395
31,4630.256,3958.974,3924.615,4365.128,1607035894.4027
32,4625.641,3957.949,3921.538,4368.205,1607035894.4105
33,4632.308,3960.0,3924.615,4377.436,1607035894.4182
34,4644.615,3968.205,3933.846,4377.436,1607035894.4261
35,4645.128,3970.256,3932.821,4375.385,1607035894.4338
36,4631.282,3957.436,3922.051,4374.359,1607035894.4416
37,4633.333,3960.513,3928.718,4379.487,1607035894.4493
38,4648.718,3978.974,3944.615,4390.256,1607035894.4571
