,P7,O1,O2,P8,TIME
0,4614.359,3909.744,4014.872,4330.769,1606956570.4675
1,4610.769,3901.538,4005.128,4315.897,1606956570.4754
2,4615.385,3909.231,4011.282,4320.513,1606956570.4833
3,4612.821,3914.872,4018.974,4335.385,1606956570.4912
4,4607.692,3906.667,4011.282,4330.256,1606956570.499
5,4614.359,3908.205,4009.744,4322.051,1606956570.5069
6,4628.205,3925.641,4023.59,4337.949,1606956570.5147
7,4627.179,3923.077,4022.564,4344.615,1606956570.5227
8,4614.872,3904.615,4009.231,4325.641,1606956570.5305
9,4611.795,3906.154,4006.667,4322.564,1606956570.5384
10,4620.0,3915.385,4012.821,4333.333,1606956570.5462
11,4620.513,3906.154,4006.154,4320.513,1606956570.554
12,4615.385,3901.026,3996.923,4314.872,1606956570.5618
13,4616.923,3908.718,4004.103,4329.231,1606956570.5695
14,4615.385,3908.718,4005.128,4330.256,1606956570.5773
15,4606.667,3898.974,3993.846,4323.077,1606956570.585
16,4600.513,3896.923,3989.744,4323.59,1606956570.5928
17,4607.179,3903.59,3995.385,4317.436,1606956570.6006
18,4611.282,3903.077,3992.308,4302.564,1606956570.6084
19,4600.0,3889.744,3985.128,4303.59,1606956570.6161
20,4599.487,3884.615,3987.692,4321.026,1606956570.6239
21,4616.41,3900.0,3994.872,4328.205,1606956570.6316
22,4617.436,3906.667,3992.821,4302.564,1606956570.6395
23,4603.59,3890.256,3983.077,4284.615,1606956570.6472
24,4603.59,3878.462,3980.0,4305.128,1606956570.6551
25,4609.231,3886.154,3981.538,4315.897,1606956570.6629
26,4602.564,3889.231,3977.949,4295.897,1606956570.6708
27,4603.59,3886.154,3981.026,4301.026,1606956570.6787
28,4617.436,3889.231,3985.641,4323.59,1606956570.6866
29,4616.41,3886.667,3981.538,4313.846,1606956570.6944
30,4609.231,3887.179,3981.538,4307.692,1606956570.7023
31,4618.462,3900.0,3989.744,4332.821,1606956570.7101
32,4614.872,3893.846,3983.59,4324.615,1606956570.7181
33,4603.077,3883.077,3974.359,4296.923,1606956570.7259
34,4619.487,3898.974,3987.179,4321.026,1606956570.7338
35,4631.795,3907.179,3995.385,4348.718,1606956570.7416
36,4619.487,3898.974,3985.641,4325.128,1606956570.7493
37,4612.821,3900.513,3982.051,4308.205,1606956570.7572
38,4614.359,3899.487,3985.128,4322.564,1606956570.7649
39,4614.872,3892.308,3985.641,4331.282,1606956570.7727
40,4626.154,3902.051,3992.821,4339.487,1606956570.7804
41,4630.769,3909.231,3994.359,4343.077,1606956570.7882
42,4619.487,3902.051,3983.077,4325.641,1606956570.796
43,4614.872,3897.436,3976.923,4314.872,1606956570.8038
44,4615.897,3897.436,3977.949,4323.077,1606956570.8115
45,4612.308,3897.436,3975.385,4318.974,1606956570.8193
46,4610.769,3900.0,3970.769,4307.179,1606956570.827
47,4611.282,3902.051,3975.385,4312.821,1606956570.8349
48,4610.256,3904.615,3986.154,4322.051,1606956570.8426
49,4612.821,3907.179,3981.026,4321.538,1606956570.8505
50,4611.795,3903.077,3966.154,4314.872,1606956570.8583
51,4604.615,3900.513,3969.231,4302.051,1606956570.8662
52,4607.179,3902.051,3972.308,4295.897,1606956570.8741
53,4616.41,3904.103,3960.513,4310.769,1606956570.882
54,4618.974,3907.692,3960.0,4323.59,1606956570.8898
55,4624.103,3913.846,3972.821,4320.513,1606956570.8977
56,4627.692,3913.333,3971.282,4314.359,1606956570.9055
57,4621.026,3909.744,3964.103,4317.436,1606956570.9135
