,Counter,P7,O1,O2,P8
0,0.0,0.32531425025832267,0.43117196498197874,-0.7250500208546176,0.46767757533350834
1,1.0,-4.34723983615138,-3.5005154004167682,-3.4812533285774623,-3.4366216464656754
2,2.0,-4.424610872890868,-3.978202686933517,-5.2209751726928975,-4.179043650451522
3,3.0,1.026106819291571,1.1777806562596531,2.433702807050284,1.4709425867236616
4,4.0,-0.994297069944219,-1.60761176273187,-1.7773887151005048,-1.485160692287267
5,5.0,-1.8276846196493424,-1.3567231600593928,-1.357323852848377,-2.216732826535148
6,6.0,2.0647235633913485,2.9058492780307468,2.698820411102919,2.7618536178006083
7,7.0,2.4592198243000185,1.000915079243612,1.7786035809994856,1.9948084894382387
8,8.0,0.8298185667236988,1.2730036594227847,0.030119508695174158,0.9375757570035932
9,9.0,-0.9182794483408587,-0.7960032672638,-0.4779757288608928,-0.0743488979678831
10,10.0,1.060923327510115,2.645633779228145,1.3527998377425081,1.7460753424343027
11,11.0,1.5409828817589653,2.486741759150623,2.845531488288846,2.7154846475418157
12,12.0,-1.5368359067329254,-1.5346102893308378,-1.9222989617524489,-1.1206928328767785
13,13.0,1.1866053596907509,1.6081673948035227,1.0950291405359256,1.0613562525254467
14,14.0,4.461338697801891,5.152109056117575,4.323333634369432,3.6548888428815607
15,15.0,1.225347889581345,1.369322780463733,1.1501147885030358,0.9549807859602306
16,16.0,0.6237739688764385,2.4034539641754695,0.7282377286489456,2.13065579323547
17,17.0,-8.0097273202465,-7.455689068481178,-7.269065712777677,-7.0665919522245355
18,18.0,-2.256394312927857,-1.3380306751316602,-1.4128935162681207,-2.374840550778395
19,19.0,3.0271601512845487,2.4600616790059178,3.5236982191401363,3.4934486715440003
20,20.0,-2.473395747616274,-2.7715183630184805,-2.1121638604991406,-1.9494766094831162
21,21.0,-2.607423114682654,-2.555612817132736,-2.512493130803996,-1.488175197335725
22,22.0,-2.7294976265753754,-1.593912652559623,-1.7778924103844302,-1.7131177528911834
23,23.0,-0.02505246358326163,0.28639115312732644,0.5256509215253424,-0.570166503052806
24,24.0,-1.5981113189215579,-1.562373437845185,-1.9113773408375474,-1.3171330699599535
25,25.0,0.7722669571846248,1.7280584804304864,2.0334165277525935,1.4198620685006327
26,26.0,-4.510015048305359,-3.887528022393974,-3.8880349369529648,-3.6854893221543317
27,27.0,1.5752252040842838,0.6536934975869495,0.7335438865572586,0.47563012259874854
28,28.0,4.089149374978563,3.548261814283691,3.247404775852114,3.050140756727482
29,29.0,0.11118047660204133,-0.11461903585615024,0.1396965178666374,0.08361670917507863
30,30.0,-0.7174419764489902,-0.8743718551962647,-0.625729277458106,-0.7874051154763233
31,31.0,1.618615492327438,1.9148034463846528,1.2527084520802383,1.680425389720412
32,32.0,2.163588597464133,1.942972046726431,1.733277145329025,2.104606573531445
33,33.0,-3.0109913663783283,-3.2652469875754697,-1.9824405977867674,-2.7104074208128073
34,34.0,1.8612562327924145,0.6118987812792454,0.9348988381895373,0.8260333118355156
35,35.0,-1.6718577238034134,-1.279690657548569,-2.145734666867873,-1.6441995164648593
36,36.0,-0.6524024144692028,-1.1887286381341213,-1.0002327912787834,-0.19196239147537442
37,37.0,1.4313998040477136,1.2484687432928165,1.7078620945368335,2.0556175771689675
38,38.0,-3.5858457353165414,-2.6063204866835137,-3.824269011428067,-3.4084074394678185
39,39.0,-1.6835510135212877,-2.727706003954671,-1.2441462191755341,-2.6466741827315867
40,40.0,2.387091966182796,3.0019672071287964,3.2223645152383837,2.8126981859318803
41,41.0,0.7451737415970313,-1.5622014554749672,0.5184769644267785,0.14344622075678692
42,42.0,-0.338653191000986,-1.244541346516237,-0.9923007099239995,-0.4654382553598839
43,43.0,-2.8656443532087215,-2.967773338977853,-2.770798605354689,-2.95866394772137
44,44.0,0.21274618607312296,1.05361096399263,-0.10754470761308593,-1.1502228444045692
45,45.0,-1.0849584568428228,-0.3913661742505889,0.0015699334700718937,-1.0076059745036363
46,46.0,1.7327629981191024,1.3392277336927043,1.6349220474405362,0.4778164458385001
47,47.0,-1.770429540021382,-0.7565921142542493,-1.0584523423694494,-1.1889155558238194
48,48.0,-1.6926063863977394,-1.781530426701498,-1.3707341777292905,-1.0060248904276297
