color1,color2,color3,color4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,circles.thisRepN,circles.thisTrialN,circles.thisN,circles.thisIndex,instructions.started,instructions.stopped,ready.keys,ready.rt,ready.started,ready.stopped,blank_img.started,blank_img.stopped,pause.started,pause.stopped,indicate1.started,indicate1.stopped,indcate2.started,indcate2.stopped,indcate3.started,indcate3.stopped,indicate4.started,indicate4.stopped,square1.started,square1.stopped,square2.started,square2.stopped,square3.started,square3.stopped,square4.started,square4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,7.380664199998137,None,space,3.508310100005474,7.380664199998137,None,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_23_1350,offline,2020.2.6,120.03432988411734,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",0,0,0,0,0,0,0,1,,,,,,,10.896797200024594,None,11.902299400011543,None,11.902299400011543,None,11.902299400011543,None,11.902299400011543,None,11.902299400011543,None,12.899304200022016,None,12.899304200022016,None,12.899304200022016,None,12.899304200022016,None,,001,2020_Nov_23_1350,offline,2020.2.6,120.03432988411734,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",0,0,0,0,0,1,1,2,,,,,,,,,15.897959700028878,None,15.897959700028878,None,15.897959700028878,None,15.897959700028878,None,15.897959700028878,None,16.90023819997441,None,16.90023819997441,None,16.90023819997441,None,16.90023819997441,None,,001,2020_Nov_23_1350,offline,2020.2.6,120.03432988411734,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",0,0,0,0,0,2,2,0,,,,,,,,,19.89888539997628,None,19.89888539997628,None,19.89888539997628,None,19.89888539997628,None,19.89888539997628,None,20.901103599986527,None,20.901103599986527,None,20.901103599986527,None,20.901103599986527,None,,001,2020_Nov_23_1350,offline,2020.2.6,120.03432988411734,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",0,0,0,0,0,3,3,3,,,,,,,,,23.90009710000595,None,23.90009710000595,None,23.90009710000595,None,23.90009710000595,None,23.90009710000595,None,24.902330100012477,None,24.902330100012477,None,24.902330100012477,None,24.902330100012477,None,,001,2020_Nov_23_1350,offline,2020.2.6,120.03432988411734,
,,,,0,0,0,0,,,,,,,,,,,27.90387560002273,None,,,,,,,,,,,,,,,,,,,,001,2020_Nov_23_1350,offline,2020.2.6,120.03432988411734,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",1,0,1,0,0,0,0,2,,,,,,,28.899924899975304,None,29.903641599987168,None,29.903641599987168,None,29.903641599987168,None,29.903641599987168,None,29.903641599987168,None,30.902140100020915,None,30.902140100020915,None,30.902140100020915,None,30.902140100020915,None,,001,2020_Nov_23_1350,offline,2020.2.6,120.03432988411734,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",1,0,1,0,0,1,1,1,,,,,,,,,33.900830500002485,None,33.900830500002485,None,33.900830500002485,None,33.900830500002485,None,33.900830500002485,None,34.90305199997965,None,34.90305199997965,None,34.90305199997965,None,34.90305199997965,None,,001,2020_Nov_23_1350,offline,2020.2.6,120.03432988411734,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",1,0,1,0,0,2,2,0,,,,,,,,,37.90146620001178,None,37.90146620001178,None,37.90146620001178,None,37.90146620001178,None,37.90146620001178,None,38.90373620000901,None,38.90373620000901,None,38.90373620000901,None,38.90373620000901,None,,001,2020_Nov_23_1350,offline,2020.2.6,120.03432988411734,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",1,0,1,0,0,3,3,3,,,,,,,,,41.9024875999894,None,41.9024875999894,None,41.9024875999894,None,41.9024875999894,None,41.9024875999894,None,42.904685500019696,None,42.904685500019696,None,42.904685500019696,None,42.904685500019696,None,,001,2020_Nov_23_1350,offline,2020.2.6,120.03432988411734,
