color1,color2,color3,color4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,circles.thisRepN,circles.thisTrialN,circles.thisN,circles.thisIndex,instructions.started,instructions.stopped,ready.keys,ready.rt,ready.started,ready.stopped,blank_img.started,blank_img.stopped,pause.started,pause.stopped,indicate1.started,indicate1.stopped,indcate2.started,indcate2.stopped,indcate3.started,indcate3.stopped,indicate4.started,indicate4.stopped,square1.started,square1.stopped,square2.started,square2.stopped,square3.started,square3.stopped,square4.started,square4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,8.538115100003779,None,space,15.148600300017279,8.538115100003779,None,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_23_1729,offline,2020.2.6,119.85880631150528,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",0,0,0,0,0,0,0,0,,,,,,,23.6945150999818,None,24.719847499975003,None,24.719847499975003,None,24.719847499975003,None,24.719847499975003,None,24.719847499975003,None,25.699838100001216,None,25.699838100001216,None,25.699838100001216,None,25.699838100001216,None,,001,2020_Nov_23_1729,offline,2020.2.6,119.85880631150528,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",0,0,0,0,0,1,1,1,,,,,,,,,28.928282500011846,None,28.928282500011846,None,28.928282500011846,None,28.928282500011846,None,28.928282500011846,None,29.700212199997623,None,29.700212199997623,None,29.700212199997623,None,29.700212199997623,None,,001,2020_Nov_23_1729,offline,2020.2.6,119.85880631150528,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",0,0,0,0,0,2,2,3,,,,,,,,,32.93882280000253,None,32.93882280000253,None,32.93882280000253,None,32.93882280000253,None,32.93882280000253,None,33.699739400006365,None,33.699739400006365,None,33.699739400006365,None,33.699739400006365,None,,001,2020_Nov_23_1729,offline,2020.2.6,119.85880631150528,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",0,0,0,0,0,3,3,2,,,,,,,,,36.926200599991716,None,36.926200599991716,None,36.926200599991716,None,36.926200599991716,None,36.926200599991716,None,37.700925300014205,None,37.700925300014205,None,37.700925300014205,None,37.700925300014205,None,,001,2020_Nov_23_1729,offline,2020.2.6,119.85880631150528,
,,,,0,0,0,0,,,,,,,,,,,40.933683899987955,None,,,,,,,,,,,,,,,,,,,,001,2020_Nov_23_1729,offline,2020.2.6,119.85880631150528,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",1,0,1,0,0,0,0,1,,,,,,,41.700167200004216,None,42.7029368999647,None,42.7029368999647,None,42.7029368999647,None,42.7029368999647,None,42.7029368999647,None,43.69987630000105,None,43.69987630000105,None,43.69987630000105,None,43.69987630000105,None,,001,2020_Nov_23_1729,offline,2020.2.6,119.85880631150528,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",1,0,1,0,0,1,1,0,,,,,,,,,46.9371281999629,None,46.9371281999629,None,46.9371281999629,None,46.9371281999629,None,46.9371281999629,None,47.70060470001772,None,47.70060470001772,None,47.70060470001772,None,47.70060470001772,None,,001,2020_Nov_23_1729,offline,2020.2.6,119.85880631150528,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",1,0,1,0,0,2,2,2,,,,,,,,,50.93618319998495,None,50.93618319998495,None,50.93618319998495,None,50.93618319998495,None,50.93618319998495,None,51.70036259997869,None,51.70036259997869,None,51.70036259997869,None,51.70036259997869,None,,001,2020_Nov_23_1729,offline,2020.2.6,119.85880631150528,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",1,0,1,0,0,3,3,3,,,,,,,,,54.943137699970976,None,54.943137699970976,None,54.943137699970976,None,54.943137699970976,None,54.943137699970976,None,55.7016363000148,None,55.7016363000148,None,55.7016363000148,None,55.7016363000148,None,,001,2020_Nov_23_1729,offline,2020.2.6,119.85880631150528,
