color1,color2,color3,color4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,circles.thisRepN,circles.thisTrialN,circles.thisN,circles.thisIndex,instructions.started,instructions.stopped,ready.keys,ready.rt,ready.started,ready.stopped,blank_img.started,blank_img.stopped,pause.started,pause.stopped,indicate1.started,indicate1.stopped,indcate2.started,indcate2.stopped,indcate3.started,indcate3.stopped,indicate4.started,indicate4.stopped,square1.started,square1.stopped,square2.started,square2.stopped,square3.started,square3.stopped,square4.started,square4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,7.93326329998672,None,right,151.13134040002478,7.93326329998672,None,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_23_1802,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",0,0,0,0,0,0,0,1,,,,,,,159.07261779997498,None,160.08739509998122,None,160.08739509998122,None,160.08739509998122,None,160.08739509998122,None,160.08739509998122,None,161.0783376999898,None,161.0783376999898,None,161.0783376999898,None,161.0783376999898,None,,001,2020_Nov_23_1802,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",0,0,0,0,0,1,1,0,,,,,,,,,164.07349519996205,None,164.07349519996205,None,164.07349519996205,None,164.07349519996205,None,164.07349519996205,None,165.07574559998466,None,165.07574559998466,None,165.07574559998466,None,165.07574559998466,None,,001,2020_Nov_23_1802,offline,2020.2.6,120,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",0,0,0,0,0,2,2,2,,,,,,,,,168.07446689996868,None,168.07446689996868,None,168.07446689996868,None,168.07446689996868,None,168.07446689996868,None,169.07676560000982,None,169.07676560000982,None,169.07676560000982,None,169.07676560000982,None,,001,2020_Nov_23_1802,offline,2020.2.6,120,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",0,0,0,0,0,3,3,3,,,,,,,,,172.07494329998735,None,172.07494329998735,None,172.07494329998735,None,172.07494329998735,None,172.07494329998735,None,173.0774473999627,None,173.0774473999627,None,173.0774473999627,None,173.0774473999627,None,,001,2020_Nov_23_1802,offline,2020.2.6,120,
,,,,0,0,0,0,,,,,,,,,,,176.0758397000027,None,,,,,,,,,,,,,,,,,,,,001,2020_Nov_23_1802,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",1,0,1,0,0,0,0,0,,,,,,,177.07826849998673,None,178.08042909996584,None,178.08042909996584,None,178.08042909996584,None,178.08042909996584,None,178.08042909996584,None,179.07452490000287,None,179.07452490000287,None,179.07452490000287,None,179.07452490000287,None,,001,2020_Nov_23_1802,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",1,0,1,0,0,1,1,1,,,,,,,,,182.08116999996128,None,182.08116999996128,None,182.08116999996128,None,182.08116999996128,None,182.08116999996128,None,183.0751356999972,None,183.0751356999972,None,183.0751356999972,None,183.0751356999972,None,,001,2020_Nov_23_1802,offline,2020.2.6,120,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",1,0,1,0,0,2,2,3,,,,,,,,,186.07359400001587,None,186.07359400001587,None,186.07359400001587,None,186.07359400001587,None,186.07359400001587,None,187.0759411000181,None,187.0759411000181,None,187.0759411000181,None,187.0759411000181,None,,001,2020_Nov_23_1802,offline,2020.2.6,120,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",1,0,1,0,0,3,3,2,,,,,,,,,190.0744405000005,None,190.0744405000005,None,190.0744405000005,None,190.0744405000005,None,190.0744405000005,None,191.0767606999725,None,191.0767606999725,None,191.0767606999725,None,191.0767606999725,None,,001,2020_Nov_23_1802,offline,2020.2.6,120,
,,,,1,0,1,0,,,,,,,,,,,194.07503110001562,None,,,,,,,,,,,,,,,,,,,,001,2020_Nov_23_1802,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",2,0,2,0,0,0,0,1,,,,,,,195.07710809999844,None,196.07935790001648,None,196.07935790001648,None,196.07935790001648,None,196.07935790001648,None,196.07935790001648,None,197.0737305000075,None,197.0737305000075,None,197.0737305000075,None,197.0737305000075,None,,001,2020_Nov_23_1802,offline,2020.2.6,120,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",2,0,2,0,0,1,1,3,,,,,,,,,200.0801342999912,None,200.0801342999912,None,200.0801342999912,None,200.0801342999912,None,200.0801342999912,None,201.07398709998233,None,201.07398709998233,None,201.07398709998233,None,201.07398709998233,None,,001,2020_Nov_23_1802,offline,2020.2.6,120,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",2,0,2,0,0,2,2,2,,,,,,,,,204.080719999969,None,204.080719999969,None,204.080719999969,None,204.080719999969,None,204.080719999969,None,205.07549029996153,None,205.07549029996153,None,205.07549029996153,None,205.07549029996153,None,,001,2020_Nov_23_1802,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",2,0,2,0,0,3,3,0,,,,,,,,,208.07397729996592,None,208.07397729996592,None,208.07397729996592,None,208.07397729996592,None,208.07397729996592,None,209.07609479996609,None,209.07609479996609,None,209.07609479996609,None,209.07609479996609,None,,001,2020_Nov_23_1802,offline,2020.2.6,120,
,,,,2,0,2,0,,,,,,,,,,,212.07764959998894,None,,,,,,,,,,,,,,,,,,,,001,2020_Nov_23_1802,offline,2020.2.6,120,
