color1,color2,color3,color4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,circles.thisRepN,circles.thisTrialN,circles.thisN,circles.thisIndex,instructions.started,instructions.stopped,ready.keys,ready.rt,ready.started,ready.stopped,blank_img.started,blank_img.stopped,pause.started,pause.stopped,indicate1.started,indicate1.stopped,indcate2.started,indcate2.stopped,indcate3.started,indcate3.stopped,indicate4.started,indicate4.stopped,square1.started,square1.stopped,square2.started,square2.stopped,square3.started,square3.stopped,square4.started,square4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,10.273884800029919,None,right,5.7945244000293314,10.273884800029919,None,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_23_1736,offline,2020.2.6,119.96060494459832,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",0,0,0,0,0,0,0,1,,,,,,,16.07416870002635,None,17.080359800020233,None,17.080359800020233,None,17.080359800020233,None,17.080359800020233,None,17.080359800020233,None,18.078640100022312,None,18.078640100022312,None,18.078640100022312,None,18.078640100022312,None,,001,2020_Nov_23_1736,offline,2020.2.6,119.96060494459832,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",0,0,0,0,0,1,1,0,,,,,,,,,21.078465400030836,None,21.078465400030836,None,21.078465400030836,None,21.078465400030836,None,21.078465400030836,None,22.084413100034,None,22.084413100034,None,22.084413100034,None,22.084413100034,None,,001,2020_Nov_23_1736,offline,2020.2.6,119.96060494459832,
,,,,,,,,,,,,,,,,,,,,25.07950820005499,None,25.07950820005499,None,25.07950820005499,None,25.07950820005499,None,25.07950820005499,None,,,,,,,,,,,,,,,
