color1,color2,color3,color4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,circles.thisRepN,circles.thisTrialN,circles.thisN,circles.thisIndex,instructions.started,instructions.stopped,ready.keys,ready.rt,ready.started,ready.stopped,blank_img.started,blank_img.stopped,pause.started,pause.stopped,indicate1.started,indicate1.stopped,indcate2.started,indcate2.stopped,indcate3.started,indcate3.stopped,indicate4.started,indicate4.stopped,square1.started,square1.stopped,square2.started,square2.stopped,square3.started,square3.stopped,square4.started,square4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",3,0,3,0,0,1,1,0,,,,,,,,,80.43891560001066,None,80.43891560001066,None,80.43891560001066,None,80.43891560001066,None,80.43891560001066,None,81.43322379997699,None,81.43322379997699,None,81.43322379997699,None,81.43322379997699,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",3,0,3,0,0,2,2,1,,,,,,,,,84.4334049000172,None,84.4334049000172,None,84.4334049000172,None,84.4334049000172,None,84.4334049000172,None,85.43894770002225,None,85.43894770002225,None,85.43894770002225,None,85.43894770002225,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",3,0,3,0,0,3,3,3,,,,,,,,,88.43905639997683,None,88.43905639997683,None,88.43905639997683,None,88.43905639997683,None,88.43905639997683,None,89.43921009998303,None,89.43921009998303,None,89.43921009998303,None,89.43921009998303,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
,,,,3,0,3,0,,,,,,,,,,,92.43761159997666,None,,,,,,,,,,,,,,,,,,,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",4,0,4,0,0,0,0,0,,,,,,,93.44002839998575,None,94.43435509997653,None,94.43435509997653,None,94.43435509997653,None,94.43435509997653,None,94.43435509997653,None,95.43718780000927,None,95.43718780000927,None,95.43718780000927,None,95.43718780000927,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",4,0,4,0,0,1,1,3,,,,,,,,,98.43556010001339,None,98.43556010001339,None,98.43556010001339,None,98.43556010001339,None,98.43556010001339,None,99.43807089998154,None,99.43807089998154,None,99.43807089998154,None,99.43807089998154,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",4,0,4,0,0,2,2,2,,,,,,,,,102.43653840001207,None,102.43653840001207,None,102.43653840001207,None,102.43653840001207,None,102.43653840001207,None,103.43895779998275,None,103.43895779998275,None,103.43895779998275,None,103.43895779998275,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",4,0,4,0,0,3,3,1,,,,,,,,,106.43739490001462,None,106.43739490001462,None,106.43739490001462,None,106.43739490001462,None,106.43739490001462,None,107.43956650001928,None,107.43956650001928,None,107.43956650001928,None,107.43956650001928,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
,,,,4,0,4,0,,,,,,,,,,,110.43807939998806,None,,,,,,,,,,,,,,,,,,,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",5,0,5,0,0,0,0,2,,,,,,,111.44046180002624,None,112.43455810000887,None,112.43455810000887,None,112.43455810000887,None,112.43455810000887,None,112.43455810000887,None,113.43704109999817,None,113.43704109999817,None,113.43704109999817,None,113.43704109999817,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",5,0,5,0,0,1,1,3,,,,,,,,,116.43575950001832,None,116.43575950001832,None,116.43575950001832,None,116.43575950001832,None,116.43575950001832,None,117.43810610001674,None,117.43810610001674,None,117.43810610001674,None,117.43810610001674,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",5,0,5,0,0,2,2,1,,,,,,,,,120.43662410002435,None,120.43662410002435,None,120.43662410002435,None,120.43662410002435,None,120.43662410002435,None,121.43897169997217,None,121.43897169997217,None,121.43897169997217,None,121.43897169997217,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",5,0,5,0,0,3,3,0,,,,,,,,,124.43733300000895,None,124.43733300000895,None,124.43733300000895,None,124.43733300000895,None,124.43733300000895,None,125.43964100000449,None,125.43964100000449,None,125.43964100000449,None,125.43964100000449,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
,,,,5,0,5,0,,,,,,,,,,,128.43830560002243,None,,,,,,,,,,,,,,,,,,,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",6,0,6,0,0,0,0,2,,,,,,,129.44066480000038,None,130.43560730002355,None,130.43560730002355,None,130.43560730002355,None,130.43560730002355,None,130.43560730002355,None,131.43690450000577,None,131.43690450000577,None,131.43690450000577,None,131.43690450000577,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",6,0,6,0,0,1,1,1,,,,,,,,,134.4322982999729,None,134.4322982999729,None,134.4322982999729,None,134.4322982999729,None,134.4322982999729,None,135.43895390001126,None,135.43895390001126,None,135.43895390001126,None,135.43895390001126,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",6,0,6,0,0,2,2,0,,,,,,,,,138.43921759998193,None,138.43921759998193,None,138.43921759998193,None,138.43921759998193,None,138.43921759998193,None,139.4398798000184,None,139.4398798000184,None,139.4398798000184,None,139.4398798000184,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",6,0,6,0,0,3,3,3,,,,,,,,,142.43998450000072,None,142.43998450000072,None,142.43998450000072,None,142.43998450000072,None,142.43998450000072,None,143.43379550002282,None,143.43379550002282,None,143.43379550002282,None,143.43379550002282,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
,,,,6,0,6,0,,,,,,,,,,,146.4331821000087,None,,,,,,,,,,,,,,,,,,,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",7,0,7,0,0,0,0,3,,,,,,,147.4354473000276,None,148.43860689998837,None,148.43860689998837,None,148.43860689998837,None,148.43860689998837,None,148.43860689998837,None,149.4325916999951,None,149.4325916999951,None,149.4325916999951,None,149.4325916999951,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",7,0,7,0,0,1,1,1,,,,,,,,,152.43954220000887,None,152.43954220000887,None,152.43954220000887,None,152.43954220000887,None,152.43954220000887,None,153.43343729997287,None,153.43343729997287,None,153.43343729997287,None,153.43343729997287,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",7,0,7,0,0,2,2,2,,,,,,,,,156.4403565999819,None,156.4403565999819,None,156.4403565999819,None,156.4403565999819,None,156.4403565999819,None,157.43435200001113,None,157.43435200001113,None,157.43435200001113,None,157.43435200001113,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",7,0,7,0,0,3,3,0,,,,,,,,,160.43307979998644,None,160.43307979998644,None,160.43307979998644,None,160.43307979998644,None,160.43307979998644,None,161.43570149998413,None,161.43570149998413,None,161.43570149998413,None,161.43570149998413,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
,,,,7,0,7,0,,,,,,,,,,,164.43449389998568,None,,,,,,,,,,,,,,,,,,,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",8,0,8,0,0,0,0,2,,,,,,,165.43697600002633,None,166.43908189999638,None,166.43908189999638,None,166.43908189999638,None,166.43908189999638,None,166.43908189999638,None,167.43292320001638,None,167.43292320001638,None,167.43292320001638,None,167.43292320001638,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",8,0,8,0,0,1,1,1,,,,,,,,,170.43995119998,None,170.43995119998,None,170.43995119998,None,170.43995119998,None,170.43995119998,None,171.433992700011,None,171.433992700011,None,171.433992700011,None,171.433992700011,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",8,0,8,0,0,2,2,3,,,,,,,,,174.43245030002436,None,174.43245030002436,None,174.43245030002436,None,174.43245030002436,None,174.43245030002436,None,175.43580540001858,None,175.43580540001858,None,175.43580540001858,None,175.43580540001858,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",8,0,8,0,0,3,3,0,,,,,,,,,178.43390479998197,None,178.43390479998197,None,178.43390479998197,None,178.43390479998197,None,178.43390479998197,None,179.43634379998548,None,179.43634379998548,None,179.43634379998548,None,179.43634379998548,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
,,,,8,0,8,0,,,,,,,,,,,182.43472989997827,None,,,,,,,,,,,,,,,,,,,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",9,0,9,0,0,0,0,1,,,,,,,183.43948539998382,None,184.43430999998236,None,184.43430999998236,None,184.43430999998236,None,184.43430999998236,None,184.43430999998236,None,185.43914640002185,None,185.43914640002185,None,185.43914640002185,None,185.43914640002185,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
