0.1884 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
2.4987 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
11.6006 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000015421783490>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000154217B96A0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.6011 	EXP 	window1: mouseVisible = True
11.6011 	EXP 	window1: recordFrameIntervals = False
11.6811 	EXP 	window1: recordFrameIntervals = True
11.7538 	WARNING 	t of last frame was 13.48ms (=1/74)
11.7893 	WARNING 	t of last frame was 35.56ms (=1/28)
11.8246 	WARNING 	t of last frame was 10.14ms (=1/98)
11.8730 	EXP 	window1: recordFrameIntervals = False
11.8764 	EXP 	Created square1 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-1.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square1', opacity=1.0, ori=array(0.), pos=array([  0., 400.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
11.8782 	EXP 	Created square2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-2.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square2', opacity=1.0, ori=array(0.), pos=array([-400.,    0.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
11.8801 	EXP 	Created square3 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-3.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square3', opacity=1.0, ori=array(0.), pos=array([400.,   0.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
11.8822 	EXP 	Created square4 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-4.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square4', opacity=1.0, ori=array(0.), pos=array([   0., -400.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
11.8951 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.3, 0.3]), texRes=128, units='height', win=Window(...))
11.9309 	EXP 	image: image = 'game.jpg'
11.9309 	EXP 	image: image = 'game.jpg'
11.9309 	EXP 	square1: autoDraw = True
11.9309 	EXP 	square2: autoDraw = True
11.9309 	EXP 	square3: autoDraw = True
11.9309 	EXP 	square4: autoDraw = True
11.9309 	EXP 	image: autoDraw = True
11.9476 	EXP 	image: image = 'game.jpg'
11.9560 	EXP 	image: image = 'game.jpg'
11.9726 	EXP 	image: image = 'game.jpg'
11.9893 	EXP 	image: image = 'game.jpg'
12.0142 	EXP 	image: image = 'game.jpg'
12.0309 	EXP 	image: image = 'game.jpg'
12.0478 	EXP 	image: image = 'game.jpg'
12.0644 	EXP 	image: image = 'game.jpg'
12.0810 	EXP 	image: image = 'game.jpg'
12.0975 	EXP 	image: image = 'game.jpg'
12.1059 	EXP 	image: image = 'game.jpg'
12.1309 	EXP 	image: image = 'game.jpg'
12.1392 	EXP 	image: image = 'game.jpg'
12.1558 	EXP 	image: image = 'game.jpg'
12.1727 	EXP 	image: image = 'game.jpg'
12.1892 	EXP 	image: image = 'game.jpg'
12.2142 	EXP 	image: image = 'game.jpg'
12.2225 	EXP 	image: image = 'game.jpg'
12.2392 	EXP 	image: image = 'game.jpg'
12.2558 	EXP 	image: image = 'game.jpg'
12.2725 	EXP 	image: image = 'game.jpg'
12.2976 	EXP 	image: image = 'game.jpg'
12.3059 	EXP 	image: image = 'game.jpg'
12.3309 	EXP 	image: image = 'game.jpg'
12.3475 	EXP 	image: image = 'game.jpg'
12.3643 	EXP 	image: image = 'game.jpg'
12.3809 	EXP 	image: image = 'game.jpg'
12.3975 	EXP 	image: image = 'game.jpg'
12.4142 	EXP 	image: image = 'game.jpg'
12.4392 	EXP 	image: image = 'game.jpg'
12.4558 	EXP 	image: image = 'game.jpg'
12.4892 	EXP 	image: image = 'game.jpg'
12.4978 	EXP 	image: image = 'game.jpg'
12.5151 	EXP 	image: image = 'game.jpg'
12.5315 	EXP 	image: image = 'game.jpg'
12.5478 	EXP 	image: image = 'game.jpg'
12.5646 	EXP 	image: image = 'game.jpg'
12.5820 	EXP 	image: image = 'game.jpg'
12.5975 	EXP 	image: image = 'game.jpg'
12.6143 	EXP 	image: image = 'game.jpg'
12.6314 	EXP 	image: image = 'game.jpg'
