0.2704 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
1.5576 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
7.6895 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [3440, 1440]. Using actual size
7.9490 	WARNING 	Framebuffer object (FBO) not supported on this graphics card
8.0723 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=UNKNOWN, color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=UNKNOWN, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000161F4611DF0>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000161F4672D00>, multiSample=False, name='window1', numSamples=2, pos=None, screen=2, size=array([3440, 1440]), stencilBits=UNKNOWN, stereo=False, units='height', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pygame')
8.0726 	EXP 	window1: mouseVisible = True
8.0726 	EXP 	window1: recordFrameIntervals = False
8.0828 	EXP 	window1: recordFrameIntervals = True
8.0927 	WARNING 	t of last frame was 1.62ms (=1/615)
8.0941 	EXP 	window1: recordFrameIntervals = False
8.1149 	EXP 	Created square1 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-1.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square1', opacity=1.0, ori=array(0.), pos=array([  0., 400.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
8.1162 	EXP 	Created square2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-2.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square2', opacity=1.0, ori=array(0.), pos=array([-400.,    0.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
8.1172 	EXP 	Created square3 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-3.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square3', opacity=1.0, ori=array(0.), pos=array([400.,   0.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
8.1184 	EXP 	Created square4 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-4.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square4', opacity=1.0, ori=array(0.), pos=array([   0., -400.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
8.1253 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.3, 0.3]), texRes=128, units='height', win=Window(...))
8.1349 	EXP 	image: image = 'game.jpg'
8.1349 	EXP 	image: image = 'game.jpg'
8.1349 	EXP 	square1: autoDraw = True
8.1349 	EXP 	square2: autoDraw = True
8.1349 	EXP 	square3: autoDraw = True
8.1349 	EXP 	square4: autoDraw = True
8.1349 	EXP 	image: autoDraw = True
8.1784 	EXP 	image: image = 'game.jpg'
8.1882 	EXP 	image: image = 'game.jpg'
8.2025 	EXP 	image: image = 'game.jpg'
8.2190 	EXP 	image: image = 'game.jpg'
8.2686 	EXP 	image: image = 'game.jpg'
8.2830 	EXP 	image: image = 'game.jpg'
8.2948 	EXP 	image: image = 'game.jpg'
8.3119 	EXP 	image: image = 'game.jpg'
8.3494 	EXP 	image: image = 'game.jpg'
8.3628 	EXP 	image: image = 'game.jpg'
8.3771 	EXP 	image: image = 'game.jpg'
8.3908 	EXP 	image: image = 'game.jpg'
8.4069 	EXP 	image: image = 'game.jpg'
8.4223 	EXP 	image: image = 'game.jpg'
8.4629 	EXP 	image: image = 'game.jpg'
8.4837 	EXP 	image: image = 'game.jpg'
8.4935 	EXP 	image: image = 'game.jpg'
8.5103 	EXP 	image: image = 'game.jpg'
8.5530 	EXP 	image: image = 'game.jpg'
8.5716 	EXP 	image: image = 'game.jpg'
8.5894 	EXP 	image: image = 'game.jpg'
8.6015 	EXP 	image: image = 'game.jpg'
8.6143 	EXP 	image: image = 'game.jpg'
8.6329 	EXP 	image: image = 'game.jpg'
8.6492 	EXP 	image: image = 'game.jpg'
8.6824 	EXP 	image: image = 'game.jpg'
8.6975 	EXP 	image: image = 'game.jpg'
8.7098 	EXP 	image: image = 'game.jpg'
8.7267 	EXP 	image: image = 'game.jpg'
8.7401 	EXP 	image: image = 'game.jpg'
8.7583 	EXP 	image: image = 'game.jpg'
8.7763 	EXP 	image: image = 'game.jpg'
8.7941 	EXP 	image: image = 'game.jpg'
8.8091 	EXP 	image: image = 'game.jpg'
8.8240 	EXP 	image: image = 'game.jpg'
8.8424 	EXP 	image: image = 'game.jpg'
8.8570 	EXP 	image: image = 'game.jpg'
8.8758 	EXP 	image: image = 'game.jpg'
8.8967 	EXP 	image: image = 'game.jpg'
8.9067 	EXP 	image: image = 'game.jpg'
8.9227 	EXP 	image: image = 'game.jpg'
8.9425 	EXP 	image: image = 'game.jpg'
8.9599 	EXP 	image: image = 'game.jpg'
8.9766 	EXP 	image: image = 'game.jpg'
8.9926 	EXP 	image: image = 'game.jpg'
9.0071 	EXP 	image: image = 'game.jpg'
9.0234 	EXP 	image: image = 'game.jpg'
9.0395 	EXP 	image: image = 'game.jpg'
9.0568 	EXP 	image: image = 'game.jpg'
9.0758 	EXP 	image: image = 'game.jpg'
9.0916 	EXP 	image: image = 'game.jpg'
9.1066 	EXP 	image: image = 'game.jpg'
9.1246 	EXP 	image: image = 'game.jpg'
9.1405 	EXP 	image: image = 'game.jpg'
9.1583 	EXP 	image: image = 'game.jpg'
9.1739 	EXP 	image: image = 'game.jpg'
9.1923 	EXP 	image: image = 'game.jpg'
9.2076 	EXP 	image: image = 'game.jpg'
9.2243 	EXP 	image: image = 'game.jpg'
9.2419 	EXP 	image: image = 'game.jpg'
9.2576 	EXP 	image: image = 'game.jpg'
9.2746 	EXP 	image: image = 'game.jpg'
9.2900 	EXP 	image: image = 'game.jpg'
9.3072 	EXP 	image: image = 'game.jpg'
9.3232 	EXP 	image: image = 'game.jpg'
9.3422 	EXP 	image: image = 'game.jpg'
9.3570 	EXP 	image: image = 'game.jpg'
9.3743 	EXP 	image: image = 'game.jpg'
9.3903 	EXP 	image: image = 'game.jpg'
9.4071 	EXP 	image: image = 'game.jpg'
9.4309 	EXP 	image: image = 'game.jpg'
9.4403 	EXP 	image: image = 'game.jpg'
9.4566 	EXP 	image: image = 'game.jpg'
9.4734 	EXP 	image: image = 'game.jpg'
9.4908 	EXP 	image: image = 'game.jpg'
9.5077 	EXP 	image: image = 'game.jpg'
9.5238 	EXP 	image: image = 'game.jpg'
9.5408 	EXP 	image: image = 'game.jpg'
9.5571 	EXP 	image: image = 'game.jpg'
9.5734 	EXP 	image: image = 'game.jpg'
9.5898 	EXP 	image: image = 'game.jpg'
9.6135 	EXP 	image: image = 'game.jpg'
9.6268 	EXP 	image: image = 'game.jpg'
9.6412 	EXP 	image: image = 'game.jpg'
9.6574 	EXP 	image: image = 'game.jpg'
9.6732 	EXP 	image: image = 'game.jpg'
9.7091 	EXP 	image: image = 'game.jpg'
