0.1383 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
1.2947 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
7.9156 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001E611633490>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001E6116696A0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.9158 	EXP 	window1: mouseVisible = True
7.9158 	EXP 	window1: recordFrameIntervals = False
7.9987 	EXP 	window1: recordFrameIntervals = True
8.0428 	WARNING 	t of last frame was 10.89ms (=1/91)
8.0739 	WARNING 	t of last frame was 16.41ms (=1/60)
8.1153 	WARNING 	t of last frame was 16.71ms (=1/59)
8.1486 	WARNING 	t of last frame was 24.90ms (=1/40)
8.2321 	EXP 	window1: recordFrameIntervals = False
8.2340 	EXP 	Created square1 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-1.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square1', opacity=1.0, ori=array(0.), pos=array([  0., 400.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
8.2356 	EXP 	Created square2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-2.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square2', opacity=1.0, ori=array(0.), pos=array([-400.,    0.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
8.2370 	EXP 	Created square3 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-3.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square3', opacity=1.0, ori=array(0.), pos=array([400.,   0.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
8.2380 	EXP 	Created square4 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-4.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square4', opacity=1.0, ori=array(0.), pos=array([   0., -400.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
8.2414 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.3, 0.3]), texRes=128, units='height', win=Window(...))
8.2569 	EXP 	image: image = 'game.jpg'
8.2569 	EXP 	image: image = 'game.jpg'
8.2569 	EXP 	square1: autoDraw = True
8.2569 	EXP 	square2: autoDraw = True
8.2569 	EXP 	square3: autoDraw = True
8.2569 	EXP 	square4: autoDraw = True
8.2569 	EXP 	image: autoDraw = True
8.2651 	EXP 	image: image = 'game.jpg'
8.2986 	EXP 	image: image = 'game.jpg'
8.3152 	EXP 	image: image = 'game.jpg'
8.3238 	EXP 	image: image = 'game.jpg'
8.3487 	EXP 	image: image = 'game.jpg'
8.3652 	EXP 	image: image = 'game.jpg'
8.3819 	EXP 	image: image = 'game.jpg'
8.3985 	EXP 	image: image = 'game.jpg'
8.4068 	EXP 	image: image = 'game.jpg'
8.4235 	EXP 	image: image = 'game.jpg'
8.4401 	EXP 	image: image = 'game.jpg'
8.4652 	EXP 	image: image = 'game.jpg'
8.4735 	EXP 	image: image = 'game.jpg'
8.4901 	EXP 	image: image = 'game.jpg'
8.5154 	EXP 	image: image = 'game.jpg'
8.5402 	EXP 	image: image = 'game.jpg'
8.5568 	EXP 	image: image = 'game.jpg'
8.5651 	EXP 	image: image = 'game.jpg'
8.5817 	EXP 	image: image = 'game.jpg'
8.5984 	EXP 	image: image = 'game.jpg'
8.6151 	EXP 	image: image = 'game.jpg'
8.6401 	EXP 	image: image = 'game.jpg'
8.6485 	EXP 	image: image = 'game.jpg'
8.6651 	EXP 	image: image = 'game.jpg'
8.6818 	EXP 	image: image = 'game.jpg'
8.6985 	EXP 	image: image = 'game.jpg'
8.7152 	EXP 	image: image = 'game.jpg'
8.7402 	EXP 	image: image = 'game.jpg'
8.7568 	EXP 	image: image = 'game.jpg'
8.7984 	EXP 	image: image = 'game.jpg'
8.8071 	EXP 	image: image = 'game.jpg'
8.8196 	EXP 	image: image = 'game.jpg'
8.8361 	EXP 	image: image = 'game.jpg'
8.8520 	EXP 	image: image = 'game.jpg'
8.8691 	EXP 	image: image = 'game.jpg'
8.8859 	EXP 	image: image = 'game.jpg'
8.9020 	EXP 	image: image = 'game.jpg'
8.9192 	EXP 	image: image = 'game.jpg'
8.9362 	EXP 	image: image = 'game.jpg'
8.9527 	EXP 	image: image = 'game.jpg'
8.9693 	EXP 	image: image = 'game.jpg'
8.9855 	EXP 	image: image = 'game.jpg'
9.0020 	EXP 	image: image = 'game.jpg'
9.0186 	EXP 	image: image = 'game.jpg'
9.0371 	EXP 	image: image = 'game.jpg'
9.0532 	EXP 	image: image = 'game.jpg'
9.0690 	EXP 	image: image = 'game.jpg'
9.0859 	EXP 	image: image = 'game.jpg'
9.1027 	EXP 	image: image = 'game.jpg'
9.1188 	EXP 	image: image = 'game.jpg'
9.1369 	EXP 	image: image = 'game.jpg'
9.1519 	EXP 	image: image = 'game.jpg'
9.1684 	EXP 	image: image = 'game.jpg'
9.1855 	EXP 	image: image = 'game.jpg'
9.2027 	EXP 	image: image = 'game.jpg'
9.2196 	EXP 	image: image = 'game.jpg'
9.2356 	EXP 	image: image = 'game.jpg'
9.2526 	EXP 	image: image = 'game.jpg'
9.2695 	EXP 	image: image = 'game.jpg'
9.2858 	EXP 	image: image = 'game.jpg'
9.3015 	EXP 	image: image = 'game.jpg'
9.3185 	EXP 	image: image = 'game.jpg'
9.3354 	EXP 	image: image = 'game.jpg'
9.3525 	EXP 	image: image = 'game.jpg'
9.3691 	EXP 	image: image = 'game.jpg'
9.3852 	EXP 	image: image = 'game.jpg'
9.4030 	EXP 	image: image = 'game.jpg'
9.4195 	EXP 	image: image = 'game.jpg'
9.4441 	EXP 	image: image = 'game.jpg'
9.4553 	EXP 	image: image = 'game.jpg'
9.4704 	EXP 	image: image = 'game.jpg'
9.4855 	EXP 	image: image = 'game.jpg'
9.5015 	EXP 	image: image = 'game.jpg'
9.5193 	EXP 	image: image = 'game.jpg'
9.5529 	EXP 	image: image = 'game.jpg'
9.5653 	EXP 	image: image = 'game.jpg'
9.5739 	EXP 	image: image = 'game.jpg'
9.5900 	EXP 	image: image = 'game.jpg'
9.6072 	EXP 	image: image = 'game.jpg'
9.6232 	EXP 	image: image = 'game.jpg'
9.6400 	EXP 	image: image = 'game.jpg'
9.6567 	EXP 	image: image = 'game.jpg'
9.6734 	EXP 	image: image = 'game.jpg'
9.6913 	EXP 	image: image = 'game.jpg'
9.7066 	EXP 	image: image = 'game.jpg'
9.7232 	EXP 	image: image = 'game.jpg'
9.7407 	EXP 	image: image = 'game.jpg'
9.7564 	EXP 	image: image = 'game.jpg'
9.7732 	EXP 	image: image = 'game.jpg'
9.7900 	EXP 	image: image = 'game.jpg'
9.8073 	EXP 	image: image = 'game.jpg'
9.8234 	EXP 	image: image = 'game.jpg'
9.8408 	EXP 	image: image = 'game.jpg'
9.8576 	EXP 	image: image = 'game.jpg'
9.8732 	EXP 	image: image = 'game.jpg'
9.8901 	EXP 	image: image = 'game.jpg'
9.9068 	EXP 	image: image = 'game.jpg'
9.9231 	EXP 	image: image = 'game.jpg'
9.9404 	EXP 	image: image = 'game.jpg'
9.9569 	EXP 	image: image = 'game.jpg'
9.9738 	EXP 	image: image = 'game.jpg'
9.9904 	EXP 	image: image = 'game.jpg'
10.0062 	EXP 	image: image = 'game.jpg'
10.0231 	EXP 	image: image = 'game.jpg'
10.0403 	EXP 	image: image = 'game.jpg'
10.0571 	EXP 	image: image = 'game.jpg'
10.0731 	EXP 	image: image = 'game.jpg'
10.0901 	EXP 	image: image = 'game.jpg'
10.1080 	EXP 	image: image = 'game.jpg'
10.1249 	EXP 	image: image = 'game.jpg'
10.1408 	EXP 	image: image = 'game.jpg'
10.1568 	EXP 	image: image = 'game.jpg'
10.1737 	EXP 	image: image = 'game.jpg'
10.1904 	EXP 	image: image = 'game.jpg'
10.2070 	EXP 	image: image = 'game.jpg'
10.2233 	EXP 	image: image = 'game.jpg'
10.2396 	EXP 	image: image = 'game.jpg'
10.2569 	EXP 	image: image = 'game.jpg'
10.2727 	EXP 	image: image = 'game.jpg'
10.2924 	EXP 	image: image = 'game.jpg'
10.3073 	EXP 	image: image = 'game.jpg'
10.3232 	EXP 	image: image = 'game.jpg'
10.3405 	EXP 	image: image = 'game.jpg'
10.3562 	EXP 	image: image = 'game.jpg'
10.3732 	EXP 	image: image = 'game.jpg'
10.3904 	EXP 	image: image = 'game.jpg'
10.4072 	EXP 	image: image = 'game.jpg'
10.4252 	EXP 	image: image = 'game.jpg'
10.4402 	EXP 	image: image = 'game.jpg'
10.4562 	EXP 	image: image = 'game.jpg'
10.4741 	EXP 	image: image = 'game.jpg'
10.4901 	EXP 	image: image = 'game.jpg'
10.5061 	EXP 	image: image = 'game.jpg'
10.5232 	EXP 	image: image = 'game.jpg'
10.5403 	EXP 	image: image = 'game.jpg'
10.5561 	EXP 	image: image = 'game.jpg'
10.5733 	EXP 	image: image = 'game.jpg'
10.5912 	EXP 	image: image = 'game.jpg'
10.6072 	EXP 	image: image = 'game.jpg'
10.6235 	EXP 	image: image = 'game.jpg'
10.6402 	EXP 	image: image = 'game.jpg'
10.6567 	EXP 	image: image = 'game.jpg'
10.6740 	EXP 	image: image = 'game.jpg'
10.6902 	EXP 	image: image = 'game.jpg'
10.7068 	EXP 	image: image = 'game.jpg'
10.7231 	EXP 	image: image = 'game.jpg'
10.7404 	EXP 	image: image = 'game.jpg'
10.7737 	EXP 	image: image = 'game.jpg'
10.7856 	EXP 	image: image = 'game.jpg'
10.7957 	EXP 	image: image = 'game.jpg'
10.8167 	EXP 	image: image = 'game.jpg'
10.8308 	EXP 	image: image = 'game.jpg'
10.8454 	EXP 	image: image = 'game.jpg'
10.8618 	EXP 	image: image = 'game.jpg'
10.8781 	EXP 	image: image = 'game.jpg'
10.8944 	EXP 	image: image = 'game.jpg'
10.9122 	EXP 	image: image = 'game.jpg'
10.9288 	EXP 	image: image = 'game.jpg'
10.9452 	EXP 	image: image = 'game.jpg'
10.9627 	EXP 	image: image = 'game.jpg'
10.9776 	EXP 	image: image = 'game.jpg'
10.9952 	EXP 	image: image = 'game.jpg'
11.0116 	EXP 	image: image = 'game.jpg'
11.0280 	EXP 	image: image = 'game.jpg'
11.0459 	EXP 	image: image = 'game.jpg'
11.0615 	EXP 	image: image = 'game.jpg'
11.0958 	EXP 	image: image = 'game.jpg'
11.1095 	EXP 	image: image = 'game.jpg'
11.1195 	EXP 	image: image = 'game.jpg'
11.1354 	EXP 	image: image = 'game.jpg'
11.1523 	EXP 	image: image = 'game.jpg'
